Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Piutang Lain-Lain,Pihak Berelasi,Total Piutang Lain-Lain,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Pendek,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Bank,Utang Lain-Lain,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2021,,,3684683525.000000,17279535756.000000,,,17279535756.000000,86115261.000000,40193985.000000,45921276.000000,86115261.000000,67817637525.000000,8710921159.000000,97578893226.000000,,143874458698.000000,,,,6899832666.000000,17893092704.000000,168667384068.000000,266246277294.000000,,,76214511103.000000,,1160351055.000000,,1160351055.000000,,1464237605.000000,,1464237605.000000,122872946.000000,925149776.000000,,70025000000.000000,2014185271.000000,72039185271.000000,502714450.000000,76214511103.000000,66475756264.000000,38790000000.000000,,27685756264.000000,66475756264.000000,142690267367.000000,,1600000000.000000,1010560441.000000,121144580750.000000,1276000000.000000,119868580750.000000,121144580750.000000,476896885.000000,-676028149.000000,123556009927.000000,266246277294.000000,1600.000000
12M 2022,,,9166930763.000000,31725723773.000000,,,31725723773.000000,167988328.000000,162624024.000000,5364304.000000,167988328.000000,93152610424.000000,7450249976.000000,141663503264.000000,,144210162939.000000,,,,1867643099.000000,15601318559.000000,161679124597.000000,303342627861.000000,,,95614498297.000000,,8315320101.000000,156351825.000000,8471671926.000000,,1648452889.000000,,1648452889.000000,272775111.000000,4780273788.000000,,77999651972.000000,1857556949.000000,79857208921.000000,584115662.000000,95614498297.000000,59158592679.000000,38280000000.000000,,20878592679.000000,59158592679.000000,154773090976.000000,,101600000000.000000,1010560441.000000,42395119168.000000,1276000000.000000,41119119168.000000,42395119168.000000,508803345.000000,3055053931.000000,148569536885.000000,303342627861.000000,2032000000.000000
12M 2023,,,16917409693.000000,30781043288.000000,,,30781043288.000000,926153373.000000,835280902.000000,90872471.000000,926153373.000000,154646607447.000000,14195173568.000000,217466387369.000000,,149807270787.000000,,,,2357462403.000000,14825429352.000000,166990162542.000000,384456549911.000000,,,51573717336.000000,,11513719513.000000,141946800.000000,11655666313.000000,,3410407217.000000,,3410407217.000000,731814705.000000,8662440436.000000,,22303397036.000000,3985432291.000000,26288829327.000000,824559338.000000,51573717336.000000,66102557535.000000,46580000000.000000,,19522557535.000000,66102557535.000000,117676274871.000000,,135500000000.000000,51194793773.000000,76731573458.000000,20320000000.000000,56411573458.000000,76731573458.000000,1330764701.000000,2023143108.000000,266780275040.000000,384456549911.000000,2710000000.000000
12M 2024,,,8652153208.000000,34595139908.000000,,,34595139908.000000,612269252.000000,541195101.000000,71074151.000000,612269252.000000,205222888877.000000,19468433834.000000,268550885079.000000,,163271815728.000000,,,,2369271495.000000,17190944987.000000,182832032210.000000,451382917289.000000,,,97849160726.000000,,16166754288.000000,436063499.000000,16602817787.000000,,3162723933.000000,,3162723933.000000,1409202509.000000,5967144283.000000,,65000000000.000000,4699343678.000000,69699343678.000000,1007928536.000000,97849160726.000000,46807600229.000000,28380000000.000000,,18427600229.000000,46807600229.000000,144656760955.000000,,135500000000.000000,51194793774.000000,115151879678.000000,27100000000.000000,88051879678.000000,115151879678.000000,1447558373.000000,3431924509.000000,306726156334.000000,451382917289.000000,2710000000.000000
