Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pengeluaran Kas Kepada Pemasok,Pembayaran Aktivitas Administrasi Dan Operasi,Pembayaran Pajak Penghasilan Dan Bea Cukai,Pembayaran Untuk Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Liabilitas Sewa,Penerimaan Setoran Modal Kepentingan Non Pengendali,Penerimaan Utang Bank,Pembayaran Utang Bank,Penambahan Modal,Penerimaan Dari Penjualan Saham,Pembayaran Biaya Pendanaan,Pembagian Deviden,Pembelian Saham Entitas Anak,Penjualan Saham Entitas Anak,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2021,-23139779935.000000,79857558760.000000,-42319963149.000000,-37515256373.000000,-21304196339.000000,-1857922834.000000,-23139779935.000000,-1652811547.000000,-1683811547.000000,31000000.000000,-1652811547.000000,11542659996.000000,-441644872.000000,,111139107663.000000,-99154802795.000000,,,,,,,11542659996.000000,-13249931486.000000,,16934615011.000000,3684683525.000000
12M 2022,1572661002.000000,184348069297.000000,-91225549706.000000,-34413268561.000000,-50636364194.000000,-6500225834.000000,1572661002.000000,-3267185857.000000,-3504685857.000000,237500000.000000,-3267185857.000000,7176772093.000000,-242879879.000000,,297649811237.000000,-290185159265.000000,,,,,-45000000.000000,,7176772093.000000,5482247238.000000,,3684683525.000000,9166930763.000000
12M 2023,-16825917605.000000,237318402753.000000,-134707449597.000000,-59649382915.000000,-65260379544.000000,5472891698.000000,-16825917605.000000,-7705523718.000000,-8553523718.000000,848000000.000000,-7705523718.000000,32281920253.000000,198441856.000000,680000000.000000,243739217126.000000,-291135472062.000000,84084233333.000000,,,-5284500000.000000,,,32281920253.000000,7750478930.000000,,9166930763.000000,16917409693.000000
12M 2024,-8987266704.000000,288796385755.000000,-149733810927.000000,-50736169078.000000,-95279218624.000000,-2034453830.000000,-8987266704.000000,-17604534601.000000,-17847434601.000000,242900000.000000,-17604534601.000000,18326544820.000000,198441856.000000,,384176581834.000000,-359679978870.000000,,,,-6368500000.000000,,,18326544820.000000,-8265256485.000000,,16917409693.000000,8652153208.000000
