Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Others,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2021,82068487467.000000,-44970090985.000000,37098396482.000000,-36814045307.000000,-5568598568.000000,-31245446739.000000,-36814045307.000000,284351175.000000,-10255676895.000000,-10677526625.000000,421849730.000000,-10255676895.000000,-9971325720.000000,1239024289.000000,,1239024289.000000,,1239024289.000000,-8732301431.000000,1024925670.000000,1024925670.000000,1024925670.000000,-7707375761.000000,-8732301431.000000,-8713294729.000000,-19006702.000000,-8732301431.000000,-7707375761.000000,-7693927139.000000,-13448622.000000,-7707375761.000000
12M 2022,189386467213.000000,-98536870575.000000,90849596638.000000,-49361070786.000000,-10451443415.000000,-38909627371.000000,-49361070786.000000,41488525852.000000,-12601872170.000000,-11536999083.000000,-1064873087.000000,-12601872170.000000,28886653682.000000,-7566299206.000000,-3588465980.000000,-3977833226.000000,,-7566299206.000000,21320354476.000000,3738172482.000000,3738172482.000000,3738172482.000000,25058526958.000000,21320354476.000000,21235396846.000000,84957630.000000,21320354476.000000,25058526958.000000,24967008386.000000,91518572.000000,25058526958.000000
12M 2023,253679069291.000000,-137891443984.000000,115787625307.000000,-57382019381.000000,-10045128726.000000,-47336890655.000000,-57382019381.000000,58405605926.000000,-5959345590.000000,-7504225201.000000,1544879611.000000,-5959345590.000000,52446260336.000000,-12678142196.000000,-12875442360.000000,197300164.000000,,-12678142196.000000,39768118140.000000,-1037113318.000000,-1037113318.000000,-1037113318.000000,38731004822.000000,39768118140.000000,39620952370.000000,147165770.000000,39768118140.000000,38731004822.000000,38589041518.000000,141963304.000000,38731004822.000000
12M 2024,283975763805.000000,-154680962401.000000,129294801404.000000,-59423506494.000000,-9840069017.000000,-49583437477.000000,-59423506494.000000,69871294910.000000,-10446289926.000000,-8563371763.000000,-1882918163.000000,-10446289926.000000,59425004984.000000,-14523029187.000000,-14933209060.000000,410179873.000000,,-14523029187.000000,44901975797.000000,1412405497.000000,1412405497.000000,1412405497.000000,46314381294.000000,44901975797.000000,44788806221.000000,113169576.000000,44901975797.000000,46314381294.000000,46197587622.000000,116793672.000000,46314381294.000000
