Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,866915143.000000,-819809117.000000,47106026.000000,-11356516.000000,-12269087.000000,-25383581.000000,26296152.000000,-11356516.000000,35749510.000000,-9564615.000000,438550.000000,-16664617.000000,422319.000000,6239133.000000,-9564615.000000,26184895.000000,-7200424.000000,18984471.000000,4650284.000000,23634755.000000,18984471.000000,18984471.000000,,18984471.000000,23634755.000000,23634755.000000,,23634755.000000
12M 2019,823508325.000000,-782780197.000000,40728128.000000,-53048115.000000,-13573992.000000,-30808108.000000,-8666015.000000,-53048115.000000,-12319987.000000,-14861452.000000,399324.000000,-15260776.000000,,,-14861452.000000,-27181439.000000,6411245.000000,-20770194.000000,8236435.000000,-12533759.000000,-20770194.000000,-20770194.000000,,-20770194.000000,-12533759.000000,-12533759.000000,,-12533759.000000
12M 2020,613006216.000000,-578526114.000000,34480102.000000,-30782704.000000,-10521316.000000,-20173219.000000,-88169.000000,-30782704.000000,3697398.000000,-10417557.000000,216254.000000,-10633811.000000,,,-10417557.000000,-6720159.000000,-2233383.000000,-8953542.000000,7389207.000000,-1564335.000000,-8953542.000000,-8953542.000000,,-8953542.000000,-1564335.000000,-1564335.000000,,-1564335.000000
12M 2021,721806619.000000,-616990393.000000,104816226.000000,-17452789.000000,-6712310.000000,-21881463.000000,11140984.000000,-17452789.000000,87363437.000000,-7580118.000000,401128.000000,-7981246.000000,,,-7580118.000000,79783319.000000,-17886459.000000,61896860.000000,989139.000000,62885999.000000,61896860.000000,61896860.000000,,61896860.000000,62885999.000000,62885999.000000,,62885999.000000
12M 2022,945497149.000000,-857106806.000000,88390343.000000,-3975735.000000,-5937872.000000,-24210936.000000,26173073.000000,-3975735.000000,84414608.000000,-10013544.000000,984430.000000,-10997974.000000,,,-10013544.000000,74401064.000000,-16000966.000000,58400098.000000,943642.000000,59343740.000000,58400098.000000,58400098.000000,,58400098.000000,59343740.000000,59343740.000000,,59343740.000000
12M 2023,463873187.000000,-436799394.000000,27073793.000000,-10166540.000000,-3082709.000000,-12277127.000000,5193296.000000,-10166540.000000,16907253.000000,-5249384.000000,2453370.000000,-7702754.000000,,,-5249384.000000,11657869.000000,26169845.000000,37827714.000000,65752.000000,37893466.000000,37827714.000000,37270196.000000,557518.000000,37827714.000000,37893466.000000,37333859.000000,559607.000000,37893466.000000
12M 2024,351799326.000000,-343016624.000000,8782702.000000,5637867.000000,-2511581.000000,-19457796.000000,27607244.000000,5637867.000000,14420569.000000,3578416.000000,8996212.000000,-5417796.000000,,,3578416.000000,17998985.000000,106074640.000000,124073625.000000,1862255.000000,125935880.000000,124073625.000000,122279248.000000,1794377.000000,124073625.000000,125935880.000000,124141503.000000,1794377.000000,125935880.000000
