Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Properti Investasi,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Utang Bank Jangka Pendek,Beban Akrual,Utang Pajak,Liabilitas Keuangan Lainnya,Sukuk Ijarah,Kewajiban Lembaga Keuangan Non Bank,Medium Term Notes,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Surat Berharga Jangka Menengah,Utang Obligasi,Kewajiban Lembaga Keuangan Non Bank,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Sukuk Ijarah,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2011,,,2540799291.000000,15339849905.000000,,14574121667.000000,32454770863.000000,,212151136669.000000,599355353.000000,3609242911.000000,24284451507.000000,240644186440.000000,273098957303.000000,,,55034992258.000000,3679228683.000000,,518551935.000000,1713069338.000000,3416471768.000000,,,,,,,29898297002.000000,15809373532.000000,45707670534.000000,,55034992258.000000,164583581615.000000,,,,159671972129.000000,,,,1245000000.000000,160916972129.000000,,3035597187.000000,631012299.000000,164583581615.000000,219618573873.000000,,5000000000.000000,,2545438978.000000,,,2545438978.000000,-45055548.000000,45980000000.000000,53480383430.000000,273098957303.000000,509800000.000000
12M 2012,,,4157952509.000000,18158253131.000000,520754868.000000,18939470244.000000,41776430752.000000,,370736143789.000000,683312505.000000,5761100592.000000,34543515626.000000,411724072512.000000,453500503264.000000,,,110512352376.000000,27368749273.000000,,1194608215.000000,949284861.000000,4077918249.000000,,,,,,,54730867280.000000,22190924498.000000,76921791778.000000,,110512352376.000000,193932688368.000000,,,,162754976246.000000,,,,,162754976246.000000,,29905883282.000000,1271828840.000000,193932688368.000000,304445040744.000000,,50980000000.000000,,96536138745.000000,,,96536138745.000000,1539323775.000000,,149055462520.000000,453500503264.000000,509800000.000000
12M 2013,,,6896122016.000000,39508689421.000000,3201350487.000000,7130565319.000000,56736727243.000000,,527329677411.000000,7485361403.000000,3259628903.000000,63557437834.000000,601632105551.000000,658368832794.000000,,,201321757291.000000,47764672644.000000,,3428715243.000000,487328062.000000,6129640409.000000,,,,,652090298.000000,,89657100331.000000,53202210304.000000,143511400933.000000,,201321757291.000000,225244453658.000000,,1230457211.000000,,156227832891.000000,,,,3478111106.000000,160936401208.000000,,62099607710.000000,2208444740.000000,225244453658.000000,426566210949.000000,,50980000000.000000,,182139098590.000000,,,182139098590.000000,-49622933.000000,-1266853812.000000,231802621845.000000,658368832794.000000,509800000.000000
12M 2014,,,25229417309.000000,16858307841.000000,2062047256.000000,7660311150.000000,51810083556.000000,,620842295037.000000,66802166158.000000,2301992640.000000,67011481906.000000,756957935741.000000,808768019297.000000,,,155096919189.000000,30942883705.000000,,4673071328.000000,9719720559.000000,3416395695.000000,,,,,1338759161.000000,,66199599413.000000,38806489328.000000,106344847902.000000,,155096919189.000000,285301750442.000000,,1509378737.000000,,195072951486.000000,,,,3256031738.000000,199838361961.000000,,81958549898.000000,3504838583.000000,285301750442.000000,440398669631.000000,,68584310000.000000,50806583328.000000,250294009605.000000,11956000000.000000,238338009605.000000,250294009605.000000,-48699455.000000,-1266853812.000000,368369349666.000000,808768019297.000000,685843100.000000
12M 2015,,,13630994353.000000,40482051927.000000,2032612148.000000,22396187223.000000,78541845651.000000,,961125140622.000000,74813610871.000000,1098417701.000000,89145483083.000000,1126182652277.000000,1204724497928.000000,,,247265664090.000000,85675410929.000000,,9773574019.000000,660323985.000000,3795061662.000000,,,,,2721250505.000000,,85398698448.000000,59241344542.000000,147361293495.000000,,247265664090.000000,456908081573.000000,,2266948225.000000,,329124184375.000000,,,,3046809014.000000,334437941614.000000,,116874479259.000000,5595660700.000000,456908081573.000000,704173745663.000000,,71475326000.000000,59479631328.000000,370911344678.000000,13716862000.000000,357194482678.000000,370911344678.000000,-48695929.000000,-1266853812.000000,500550752265.000000,1204724497928.000000,3573766300.000000
12M 2016,,,5967149474.000000,96404239427.000000,2711292688.000000,31197326468.000000,136280008057.000000,,1392281167342.000000,80401077617.000000,,98287057516.000000,1570969302475.000000,1707249310532.000000,,,322825079592.000000,78157368043.000000,,21486523571.000000,5757667964.000000,4666589735.000000,,,,,2725957148.000000,,150203982422.000000,59826990709.000000,212756930279.000000,,322825079592.000000,682898423941.000000,,1331051764.000000,,492144631000.000000,,,,9703048226.000000,503178730990.000000,,170939925545.000000,8779767406.000000,682898423941.000000,1005723503533.000000,,72681972000.000000,63099569328.000000,567059806589.000000,14295065200.000000,552764741389.000000,567059806589.000000,-48687106.000000,-1266853812.000000,701525806999.000000,1707249310532.000000,3634098600.000000
12M 2017,,,39465299921.000000,81846187247.000000,20808585375.000000,145319909202.000000,287439981745.000000,,,1943345508630.000000,11020811985.000000,179897346390.000000,2134263667005.000000,2421703648750.000000,,,495349216771.000000,63303286430.000000,,50721264732.000000,2659522092.000000,8460329004.000000,,,,,1451506918.000000,,286319626405.000000,82433681190.000000,370204814513.000000,,495349216771.000000,788599500902.000000,,622758392.000000,,429140676056.000000,345862873339.000000,,,2625793634.000000,778252101421.000000,,,10347399481.000000,788599500902.000000,1283948717673.000000,,72689134000.000000,63121055328.000000,149691798386.000000,14536394400.000000,135155403986.000000,149691798386.000000,-48313382.000000,852301256745.000000,1137754931077.000000,2421703648750.000000,3634456700.000000
12M 2018,,,18363043002.000000,126043516643.000000,39006447056.000000,115752395850.000000,299165402551.000000,,,2951938419996.000000,,186549518714.000000,3138487938710.000000,3437653341261.000000,,,516318541594.000000,79272391783.000000,,73884876802.000000,2487826775.000000,21713175159.000000,,,,,490368218.000000,,260247781011.000000,78222121846.000000,338960271075.000000,,516318541594.000000,1227465633677.000000,,339106959.000000,,832819689261.000000,347302322124.000000,,,2415714266.000000,1182876832610.000000,,30944925131.000000,13643875936.000000,1227465633677.000000,1743784175271.000000,,73307534000.000000,64976255328.000000,233697947679.000000,14537826800.000000,219160120879.000000,233697947679.000000,-47720997.000000,1321935149980.000000,1693869165990.000000,3437653341261.000000,3665376700.000000
12M 2019,,,20975304044.000000,132375145774.000000,62021441902.000000,140385452662.000000,355757344382.000000,,,3614982277552.000000,,176949700819.000000,3791931978371.000000,4147689322753.000000,,,1091568985440.000000,156060135493.000000,,60017107691.000000,1516621875.000000,19414686417.000000,,,348941132935.000000,,304949098.000000,3379207545.000000,382204195163.000000,119730949223.000000,505619301029.000000,,1091568985440.000000,1157803880867.000000,,34121996.000000,17517759067.000000,1070255817794.000000,,,,7016573071.000000,1094824271928.000000,,43611360089.000000,19368248850.000000,1157803880867.000000,2249372866307.000000,,78691850000.000000,159999203328.000000,338716576298.000000,14661506800.000000,324055069498.000000,338716576298.000000,-46088377.000000,1320954915197.000000,1898316456446.000000,4147689322753.000000,3934592500.000000
12M 2020,,,104870198132.000000,144403778103.000000,59778891915.000000,92143738029.000000,401196606179.000000,,,4153187169540.000000,,97556199969.000000,4250743369509.000000,4651939975688.000000,,,642283365635.000000,72909229308.000000,,84775664524.000000,5284402220.000000,24085775133.000000,,,,,74636241.000000,5916181265.000000,304050109641.000000,145187367303.000000,455228294450.000000,,642283365635.000000,1829812485240.000000,,43019323.000000,24325085642.000000,670256958582.000000,,546883328463.000000,497713487827.000000,17597568607.000000,1756819448444.000000,,54258677391.000000,18734359405.000000,1829812485240.000000,2472095850875.000000,,78691850000.000000,159999203328.000000,484090720038.000000,15738370000.000000,468352350038.000000,484090720038.000000,-40474883.000000,1457102826330.000000,2179844124813.000000,4651939975688.000000,3934592500.000000
