Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Penerimaan Bunga,Pembayaran Pajak,Penerimaan Dari Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Pembayaran Sewa Lahan Dibayar Di Muka,Perolehan Properti Investasi,Penjualan Properti Investasi,Pembelian Saham Entitas Anak Dari Pihak Nonpengendali,Penambahan Kas Dan Setara Kas Yang Dibatasi Penggunaannya,Pencairan Dana Yang Dibatasi Penggunaannya,Penempatan Dana Yang Dibatasi Penggunannya,Pembayaran Dimuka Untuk Investasi Saham,Pembayaran Angsuran Sewa Pembiayaan,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Utang Jangka Panjang,Penerimaan,Pembayaran,Total Utang Jangka Panjang,Utang Bank,Penerimaan Utang Bank Jangka Panjang,Penerimaan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Pendek,Total Utang Bank,Pembayaran Utang Lembaga Keuangan Non Bank,Penerimaan Dari Utang Lembaga Keuangan Non Bank,Pembayaran Beban Keuangan,Pembayaran Medium Term Note,"Penerimaan Dari Penjualan Saham Pada Penawaran Umum Perdana, Bersih Dari Biaya Emisi Efek",Biaya Emisi Saham Penawaran Umum Saham Perdana,Pembelian Saham Entitas Anak Oleh Pihak Nonpengendali,Pembelian Saham Entitas Anak Dari Pihak Nonpengendali,Pencairan Dana Yang Dibatasi Penggunaannya,Penempatan Dana Yang Dibatasi Penggunannya,Penerimaan Dari Penjualan Saham Atas Pelaksanaan Waran Seri I,Penerimaan Dari Penerbitan Obligasi,Biaya Emisi Penerbitan Obligasi,Biaya Penjaminan Penerbitan Obligasi,Pembayaran Angsuran Sewa Pembiayaan,Penerimaan Dari Penerbitan Surat Utang Berjangka Menengah,Biaya Emisi Surat Utang Berjangka Menengah,Penerimaan Dari Penerbitan Sukuk Ijarah,Pembayaran Utang Sukuk Ijarah,Biaya Penerbitan Sukuk Ijarah,Pembayaran Dividen,Penerimaan Dari Pelaksaan Penambahan Modal Tanpa Memberikan Hak Memesan Efek Terlebih Dahulu,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2012,54198357795.000000,78980720232.000000,-16541324387.000000,-8081693441.000000,68716833.000000,-576064290.000000,348002848.000000,54198357795.000000,-56115390167.000000,-870037556.000000,,-16996070421.000000,-38249282190.000000,,,,,,,,-56115390167.000000,3534186252.000000,,49799600000.000000,-21320698173.000000,28478901827.000000,,,,,,,,,-24944715575.000000,,,,,,,,,,,,,,,,,,,,3534186252.000000,1617153880.000000,-662.000000,2540799291.000000,4157952509.000000
12M 2013,94759081110.000000,130919528916.000000,-23672704809.000000,-12756659781.000000,79506733.000000,-667338054.000000,856748105.000000,94759081110.000000,-93982526299.000000,-3799303865.000000,,-18761309109.000000,-68395141925.000000,,-2857000000.000000,,,,,-169771400.000000,-93982526299.000000,1999177154.000000,,81973600000.000000,-53350364578.000000,28623235422.000000,,,,,,,,,-26624058268.000000,,,,,,,,,,,,,,,,,,,,1999177154.000000,2775731965.000000,-37562458.000000,4157952509.000000,6896122016.000000
12M 2014,130221584966.000000,197585833725.000000,-41159953200.000000,-23585621261.000000,442997469.000000,-3578915714.000000,517243947.000000,130221584966.000000,-140217897343.000000,-63167329238.000000,265454545.000000,-13228342167.000000,-64130880483.000000,43200000.000000,,,,,,,-140217897343.000000,28331285081.000000,,111354793500.000000,-96142356111.000000,15212437389.000000,,,,,,,,,-33136481936.000000,,35200000000.000000,-2006346672.000000,2000000.000000,,,,35217240000.000000,,,,-1234563700.000000,,,,,,-20923000000.000000,,28331285081.000000,18334972704.000000,-1677411.000000,6896122016.000000,25229417309.000000
12M 2015,84285422707.000000,186815533090.000000,-49323538800.000000,-36924363020.000000,137630961.000000,-16948586988.000000,528747464.000000,84285422707.000000,-212581706229.000000,-10788424491.000000,1500000.000000,-402259293.000000,-201392522445.000000,,,,,,,,-212581706229.000000,116645983655.000000,,240397500000.000000,-85737390993.000000,154660109007.000000,,,,,,,,,-47237163419.000000,,,,,,,,11564064000.000000,,,,-2341025933.000000,,,,,,,,116645983655.000000,-11650299867.000000,51876911.000000,25229417309.000000,13630994353.000000
12M 2016,102845819807.000000,231958806521.000000,-73792573108.000000,-48298487054.000000,166047849.000000,-7187974401.000000,,102845819807.000000,-263201453378.000000,-10168413204.000000,141118298.000000,-8251349380.000000,-247366434174.000000,2443625082.000000,,,,,,,-263201453378.000000,152690870454.000000,,333945172962.000000,-105532765521.000000,228412407441.000000,,,,,,,,,-77266702612.000000,,,,,,,,4826584000.000000,,,,-3281418375.000000,,,,,,,,152690870454.000000,-7664763117.000000,918238.000000,13630994353.000000,5967149474.000000
12M 2017,212998014449.000000,358902007268.000000,-82664444935.000000,-45777512323.000000,2192987726.000000,-19655023287.000000,,212998014449.000000,-491875833528.000000,-387800014440.000000,79699092.000000,-5155518180.000000,,,,-99000000000.000000,,,,,-491875833528.000000,312373291526.000000,,1010877895621.000000,-938786820293.000000,72091075328.000000,,,,,,,,,-102271118201.000000,,,,,,,,28648000.000000,,,,-2791383601.000000,350000000000.000000,-4683930000.000000,,,,,,312373291526.000000,33495472447.000000,2678000.000000,5967149474.000000,39465299921.000000
12M 2018,152137760417.000000,422349759957.000000,-156999358753.000000,-94073703619.000000,886268024.000000,-20025205192.000000,,152137760417.000000,-405306658367.000000,-466252256034.000000,182930947.000000,-26943861280.000000,,,,,87706528000.000000,,,,-405306658367.000000,232136766760.000000,,836890478133.000000,-456880649369.000000,380009828764.000000,,,,,,,,,-148766335143.000000,,,,,,,,2473600000.000000,,,,-1580326861.000000,,,,,,,,232136766760.000000,-21032131190.000000,-70125729.000000,39465299921.000000,18363043002.000000
12M 2019,379996418321.000000,664487923354.000000,-211479728884.000000,-56484429428.000000,778262458.000000,-17305609179.000000,,379996418321.000000,-633928351743.000000,-647879151590.000000,21906651130.000000,-8158771283.000000,,,,,202920000.000000,,,,-633928351743.000000,256627408951.000000,,809379433155.000000,-448823487810.000000,360555945345.000000,,,,,,,,,-203845396311.000000,,,,,,,,16257264000.000000,,,,-490404083.000000,,,,,,,84150000000.000000,256627408951.000000,2695475529.000000,-83214487.000000,18363043002.000000,20975304044.000000
12M 2020,594547206740.000000,796378480956.000000,-107567655791.000000,-60208985162.000000,707731992.000000,-34762365255.000000,,594547206740.000000,-465159859180.000000,-469875973160.000000,13807239697.000000,-8712277717.000000,,,,,70587000.000000,-449435000.000000,,,-465159859180.000000,-44987279355.000000,,437882960281.000000,-919364741292.000000,-481481781011.000000,,,,,,,,500000000000.000000,-247633511625.000000,-350000000000.000000,,,,,11000000000.000000,-14196250000.000000,,554000000000.000000,-6354794346.000000,-6232500000.000000,-4088442373.000000,,,,,,,,-44987279355.000000,84400068205.000000,-505174117.000000,20975304044.000000,104870198132.000000
12M 2021,633625417511.000000,907904090419.000000,-152398329454.000000,-76232619057.000000,881064052.000000,-46528788449.000000,,633625417511.000000,-512116563675.000000,-494956798262.000000,518835181.000000,-17654222412.000000,,,,,469400000.000000,-493778182.000000,,,-512116563675.000000,-89294657029.000000,,1128411322336.000000,-629066528474.000000,499344793862.000000,,,,,,,-500000000000.000000,800000000000.000000,-219614608385.000000,,,,,,14196250000.000000,-4500000000.000000,,-554000000000.000000,,-692500000.000000,-5990817506.000000,,,,,,-118037775000.000000,,-89294657029.000000,32214196807.000000,-8273057.000000,104870198132.000000,137076121882.000000
12M 2022,643453844739.000000,961951385347.000000,-189795817484.000000,-82758434055.000000,1864895933.000000,-47808185002.000000,,643453844739.000000,-330840703655.000000,-331061895121.000000,1392692284.000000,,,,,,493778182.000000,-1665279000.000000,,,-330840703655.000000,-204486252974.000000,,366351736077.000000,-449992086183.000000,-83640350106.000000,,,,,,,,,-209032690934.000000,,,,,,,,,,,,-7638617159.000000,,,221000000000.000000,,-2612038400.000000,-122562556375.000000,,-204486252974.000000,108126888110.000000,712804.000000,137076121882.000000,245203722796.000000
12M 2023,628527566163.000000,958925501290.000000,-201354816796.000000,-90157610794.000000,7087204833.000000,-45972712370.000000,,628527566163.000000,-520628178441.000000,-522408631947.000000,519251172.000000,,,,,,1637869000.000000,-376666666.000000,,,-520628178441.000000,-209750722828.000000,,300000000000.000000,-363021393460.000000,-63021393460.000000,,1541146247.000000,,,,1541146247.000000,,,-226953917079.000000,,,,,,,,,,,,-13989580595.000000,,,425000000000.000000,-200000000000.000000,-5065898254.000000,-127261079687.000000,,-209750722828.000000,-101851335106.000000,51521118.000000,245203722796.000000,143403908808.000000
