Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2012,65881349604.000000,-19449223801.000000,46432125803.000000,-9362808452.000000,-9362808452.000000,-9362808452.000000,37069317351.000000,83224190154.000000,-24477033683.000000,,107701223837.000000,83224190154.000000,120293507505.000000,-24718428415.000000,95575079090.000000,,95575079090.000000,95575079090.000000,93990699766.000000,1584379324.000000,95575079090.000000,95575079090.000000,93990699766.000000,1584379324.000000,95575079090.000000
12M 2013,103194488509.000000,-23723718248.000000,79470770261.000000,-13988792149.000000,-13988792149.000000,-13988792149.000000,65481978112.000000,54828018013.000000,-26954306558.000000,,81782324571.000000,54828018013.000000,120309996125.000000,-34707036811.000000,85602959314.000000,,85602959314.000000,85602959314.000000,85602959845.000000,-531.000000,85602959314.000000,85602959314.000000,85602959845.000000,-531.000000,85602959314.000000
12M 2014,136527115277.000000,-35151285831.000000,101375829446.000000,-23672384796.000000,-23672384796.000000,-23672384796.000000,77703444650.000000,44873532316.000000,-34770017847.000000,,79643550163.000000,44873532316.000000,122576976966.000000,-33499142473.000000,89077834493.000000,,89077834493.000000,89077834493.000000,89077911015.000000,-76522.000000,89077834493.000000,89077834493.000000,89077911015.000000,-76522.000000,89077834493.000000
12M 2015,170480118683.000000,-46889580365.000000,123590538318.000000,-36918855044.000000,-36918855044.000000,-36918855044.000000,86671683274.000000,77491048367.000000,-47543617979.000000,,125034666346.000000,77491048367.000000,164162731641.000000,-43365574321.000000,120797157320.000000,135794733.000000,120932952053.000000,120797157320.000000,120797154318.000000,3002.000000,120797157320.000000,120932952053.000000,120932948919.000000,3134.000000,120932952053.000000
12M 2016,254686463862.000000,-73426603299.000000,181259860563.000000,-37905989240.000000,-37905989240.000000,-37905989240.000000,143353871323.000000,120355265610.000000,-78503280132.000000,,198858545742.000000,120355265610.000000,263709136933.000000,-67079395353.000000,196629741580.000000,-481270846.000000,196148470734.000000,196629741580.000000,196629732751.000000,8829.000000,196629741580.000000,196148470734.000000,196148461911.000000,8823.000000,196148470734.000000
12M 2017,320065951849.000000,-119308356466.000000,200757595383.000000,-42521207792.000000,-42521207792.000000,-42521207792.000000,158236387591.000000,-105625903231.000000,-113071000595.000000,,7445097364.000000,-105625903231.000000,52610484360.000000,8916509178.000000,61526993538.000000,374673482540.000000,436200476078.000000,61526993538.000000,61526619787.000000,373751.000000,61526993538.000000,436200476078.000000,436200102354.000000,373724.000000,436200476078.000000
12M 2018,464175762884.000000,-192251488101.000000,271924274783.000000,-55900939513.000000,-55900939513.000000,-55900939513.000000,216023335270.000000,-152427134093.000000,-149916493296.000000,,-2510640797.000000,-152427134093.000000,63596201177.000000,-13243025913.000000,50353175264.000000,503287459649.000000,553640634913.000000,50353175264.000000,50352596405.000000,578859.000000,50353175264.000000,553640634913.000000,553640042528.000000,592385.000000,553640634913.000000
12M 2019,617522982196.000000,-280844719850.000000,336678262346.000000,-58801501351.000000,-58801501351.000000,-58801501351.000000,277876760995.000000,-218700569093.000000,-205841909907.000000,,-12858659186.000000,-218700569093.000000,59176191902.000000,-13151754701.000000,46024437201.000000,58015589255.000000,104040026456.000000,46024437201.000000,46022823146.000000,1614055.000000,46024437201.000000,104040026456.000000,104038393836.000000,1632620.000000,104040026456.000000
12M 2020,778896099135.000000,-356126150223.000000,422769948912.000000,-61193829525.000000,-61193829525.000000,-61193829525.000000,361576119387.000000,-254284910063.000000,-225571029007.000000,,-28713881056.000000,-254284910063.000000,107291209324.000000,-22887993519.000000,84403215805.000000,197124452562.000000,281527668367.000000,84403215805.000000,84397633086.000000,5582719.000000,84403215805.000000,281527668367.000000,281522054873.000000,5613494.000000,281527668367.000000
12M 2021,946633191563.000000,-401915332550.000000,544717859013.000000,-63399040313.000000,-63399040313.000000,-63399040313.000000,481318818700.000000,-266201463747.000000,-227149588451.000000,,-39051875296.000000,-266201463747.000000,215117354953.000000,-26580850813.000000,188536504140.000000,101378678555.000000,289915182695.000000,188536504140.000000,188533778753.000000,2725387.000000,188536504140.000000,289915182695.000000,289912454035.000000,2728660.000000,289915182695.000000
