Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Tanaman Perkebunan,Tanaman Belum Menghasilkan,Tanaman Telah Menghasilkan,Total Tanaman Perkebunan,Piutang Pihak Berelasi,Properti Investasi,Aset Tetap,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Adjustment,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,3879767886.000000,30273872406.000000,30269124542.000000,4747864.000000,30273872406.000000,289113619545.000000,263605636799.000000,25507982746.000000,289113619545.000000,27010313085.000000,18790215540.000000,369067788462.000000,,11639722041.000000,,,,,,19109364470.000000,7089668242.000000,,10642131924.000000,48480886677.000000,417548675139.000000,,,132819025982.000000,64771476199.000000,,29309663668.000000,7806265806.000000,37115929474.000000,24978095521.000000,,,24978095521.000000,1552181213.000000,1316961135.000000,,366733829.000000,,,366733829.000000,,2717648611.000000,132819025982.000000,35266892424.000000,,,,,,33002982365.000000,,,305067329.000000,,305067329.000000,1958842730.000000,35266892424.000000,168085918406.000000,,484148500000.000000,203367307912.000000,-438693222129.000000,,,-438693222129.000000,640170951.000000,,249462756734.000000,417548675140.000000,968297000.000000
12M 2009,,,2291289573.000000,118806236908.000000,75396217127.000000,43410019781.000000,118806236908.000000,277143315614.000000,207009682823.000000,70133632791.000000,277143315614.000000,11917703157.000000,10490279615.000000,420648824867.000000,,13003815096.000000,,,,,,25983200000.000000,20062757476.000000,,56097974027.000000,115147746599.000000,535796571466.000000,,,267909694380.000000,56790716922.000000,,164457070980.000000,12786944104.000000,177244015084.000000,24800065891.000000,,,24800065891.000000,972952458.000000,1402399006.000000,,243469596.000000,36622700.000000,,280092296.000000,,6419452723.000000,267909694380.000000,3062415463.000000,,,,,,232112622.000000,,,61597733.000000,59009704.000000,120607437.000000,2709695404.000000,3062415463.000000,270972109843.000000,,484148500000.000000,203367307912.000000,-428276335879.000000,,,-428276335879.000000,680143740.000000,4904845849.000000,264824461622.000000,535796571465.000000,968297000.000000
12M 2010,,,3124152714.000000,102451672393.000000,102323753570.000000,127918823.000000,102451672393.000000,82270793549.000000,42604244115.000000,39666549434.000000,82270793549.000000,28565071370.000000,39784072631.000000,256195762657.000000,,7697036290.000000,102692298930.000000,,,102692298930.000000,,41573000000.000000,40951655518.000000,3434203348.000000,80836392325.000000,277184586411.000000,533380349068.000000,,,223775974085.000000,65093440641.000000,,,85027139383.000000,85027139383.000000,51723238138.000000,,,51723238138.000000,1678077774.000000,3378708025.000000,,131478648.000000,,1366653970.000000,1498132618.000000,,15377237506.000000,223775974085.000000,6609939354.000000,,,,,,,,,84586089.000000,2138324777.000000,2222910866.000000,4387028488.000000,6609939354.000000,230385913439.000000,,484148500000.000000,203367307912.000000,-390238002584.000000,,,-390238002584.000000,811784451.000000,4904845849.000000,302994435628.000000,533380349067.000000,968297000.000000
12M 2011,,,7985519927.000000,119496947891.000000,119496947891.000000,,119496947891.000000,36557213602.000000,36557213602.000000,,36557213602.000000,34676773946.000000,35768070783.000000,234484526149.000000,,582034076.000000,175493486782.000000,,,175493486782.000000,,81845000000.000000,64534772161.000000,3434203348.000000,60335429559.000000,386224925926.000000,620709452075.000000,,,232929885801.000000,158086473667.000000,,16587231560.000000,34377811715.000000,50965043275.000000,,3577511382.000000,,3577511382.000000,2630312656.000000,6977832818.000000,,291696556.000000,,2048050196.000000,2339746752.000000,,8352965251.000000,232929885801.000000,11824085447.000000,2979066258.000000,,,,,,,,449490763.000000,4291362496.000000,4740853259.000000,4104165930.000000,11824085447.000000,244753971248.000000,,484148500000.000000,203367307912.000000,-317595397113.000000,,,-317595397113.000000,1130224179.000000,4904845849.000000,375955480827.000000,620709452075.000000,968297000.000000
12M 2012,,,7642800984.000000,188463549922.000000,188408832408.000000,54717514.000000,188463549922.000000,18059179856.000000,16168063598.000000,1891116258.000000,18059179856.000000,36774167644.000000,44964357901.000000,295904056307.000000,,1914876890.000000,214784639072.000000,,,214784639072.000000,,81845000000.000000,240977632596.000000,3434203348.000000,122096400171.000000,665052752077.000000,960956808384.000000,,,383478950310.000000,225483528780.000000,,3740374182.000000,115698829923.000000,119439204105.000000,,9996454023.000000,3698265253.000000,13694719276.000000,4876919523.000000,15081408819.000000,,,826076246.000000,2364721622.000000,3190797868.000000,,1712371939.000000,383478950310.000000,139728624229.000000,3322352164.000000,,,,,,,125175276338.000000,982865127.000000,1457219291.000000,127615360756.000000,8790911309.000000,139728624229.000000,523207574539.000000,,387318800000.000000,19497125240.000000,29614576706.000000,,,29614576706.000000,1318731899.000000,,437749233845.000000,960956808384.000000,968297000.000000
12M 2013,,,24213187512.000000,226494191522.000000,224205499369.000000,2288692153.000000,226494191522.000000,45651087931.000000,20388453488.000000,25262634443.000000,45651087931.000000,125591418748.000000,130198863440.000000,552148749153.000000,,1638149665.000000,281440686569.000000,227681839585.000000,53758846984.000000,281440686569.000000,,81881000000.000000,227661565764.000000,3434203348.000000,143506915880.000000,739562521226.000000,1291711270379.000000,,,525233987715.000000,425467189343.000000,,,52587988623.000000,52587988623.000000,,9062236526.000000,,9062236526.000000,5378502448.000000,4808853561.000000,,20360650000.000000,1035984374.000000,1435871390.000000,22832505764.000000,,5096711450.000000,525233987715.000000,320816847815.000000,6212554624.000000,,,,,,,304204649145.000000,549940687.000000,36242489.000000,304790832321.000000,9813460870.000000,320816847815.000000,846050835530.000000,,387318800000.000000,19497125240.000000,37473521596.000000,,,37473521596.000000,1370988013.000000,,445660434849.000000,1291711270379.000000,968297000.000000
12M 2014,,,13291915074.000000,143314823168.000000,134749221535.000000,8565601633.000000,143314823168.000000,75479478833.000000,15422500537.000000,60056978296.000000,75479478833.000000,19896679297.000000,55087835744.000000,307070732116.000000,,22523649642.000000,489491535848.000000,327834524756.000000,161657011092.000000,489491535848.000000,,82497000000.000000,306874976839.000000,3434203348.000000,119156955430.000000,1023978321107.000000,1331049053223.000000,,,647372192013.000000,461430860340.000000,,28463123593.000000,88966630838.000000,117429754431.000000,,7355078866.000000,21852399120.000000,29207477986.000000,7100980984.000000,971078991.000000,,29473500000.000000,636814478.000000,265153500.000000,30375467978.000000,,856571303.000000,647372192013.000000,381724536604.000000,16307025.000000,,,,,,,365777033059.000000,364949505.000000,276903145.000000,366418885709.000000,15289343870.000000,381724536604.000000,1029096728617.000000,,387318800000.000000,19497125240.000000,-105906835881.000000,100000000.000000,-106006835881.000000,-105906835881.000000,1043235247.000000,,301952324606.000000,1331049053223.000000,968297000.000000
12M 2015,,,6176733250.000000,110103394224.000000,105155292261.000000,4948101963.000000,110103394224.000000,62273860058.000000,62168601866.000000,105258192.000000,62273860058.000000,68243720187.000000,32042345204.000000,278840052923.000000,,17823973846.000000,477598692118.000000,300047561578.000000,177551130540.000000,477598692118.000000,,126668000000.000000,302194341937.000000,3434203348.000000,126171898964.000000,1053891110213.000000,1332731163136.000000,,,440560665313.000000,129251000000.000000,,102988900897.000000,84588955274.000000,187577856171.000000,,34709085832.000000,49240960518.000000,83950046350.000000,6626002757.000000,1348601198.000000,,929018525.000000,243656737.000000,253981645.000000,1426656907.000000,,30380501930.000000,440560665313.000000,816396492400.000000,47736236.000000,,,,,,,793518944657.000000,120103226.000000,22921500.000000,793661969383.000000,22686786781.000000,816396492400.000000,1256957157713.000000,,387318800000.000000,19497125240.000000,-331785266635.000000,100000000.000000,-331885266635.000000,-331785266635.000000,743346818.000000,,75774005423.000000,1332731163136.000000,968297000.000000
12M 2016,,,810373599.000000,47285282382.000000,46815071412.000000,470210970.000000,47285282382.000000,16128377220.000000,16023119028.000000,105258192.000000,16128377220.000000,8123333556.000000,10425432579.000000,82772799336.000000,,41028434567.000000,476051166447.000000,240116484318.000000,235934682129.000000,476051166447.000000,,149403400000.000000,291708026819.000000,3434203348.000000,114537540517.000000,1076162771698.000000,1158935571034.000000,,,170334228356.000000,64550695767.000000,,,34491296312.000000,34491296312.000000,,3535257747.000000,,3535257747.000000,45468221314.000000,1553376354.000000,,8492229803.000000,120103226.000000,22637396.000000,8634970425.000000,,12100410437.000000,170334228356.000000,981499675650.000000,72871277.000000,,35921155584.000000,144070335565.000000,179991491149.000000,,,790011778387.000000,,,790011778387.000000,11423534837.000000,981499675650.000000,1151833904006.000000,,387318800000.000000,19497125240.000000,-400428164500.000000,100000000.000000,-400528164500.000000,-400428164500.000000,713906288.000000,,7101667028.000000,1158935571034.000000,968297000.000000
12M 2017,,,616432772.000000,18159747909.000000,18159747909.000000,,18159747909.000000,5502191244.000000,5502191244.000000,,5502191244.000000,6131190918.000000,9857391429.000000,40266954272.000000,,53805792054.000000,457011831376.000000,129080534766.000000,327931296610.000000,457011831376.000000,,149403400000.000000,286364350812.000000,3434203348.000000,124282040035.000000,1074301617625.000000,1114568571897.000000,,,303431764582.000000,75690947952.000000,,,15772998975.000000,15772998975.000000,,6337054231.000000,,6337054231.000000,147438362450.000000,5568029306.000000,,39841483848.000000,,,39841483848.000000,,12782887820.000000,303431764582.000000,932441600117.000000,47072736.000000,,,162086200444.000000,162086200444.000000,,,761849603213.000000,,,761849603213.000000,8458723724.000000,932441600117.000000,1235873364699.000000,,387318800000.000000,19497125240.000000,-528652074034.000000,100000000.000000,-528752074034.000000,-528652074034.000000,531355991.000000,,-121304792803.000000,1114568571896.000000,968297000.000000
