Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.38,256.97,0.38,256.97,65 B,33 B,98 B,95 B,236 B
12M 2009,0.75,272.79,0.75,272.79,57 B,0 B,57 B,55 B,153 B
12M 2010,0.74,312.08,0.75,308.53,67 B,2 B,69 B,66 B,32 B
12M 2011,1.11,387.10,1.12,383.55,160 B,5 B,165 B,157 B,2 B
12M 2012,0.69,450.72,0.69,447.17,229 B,128 B,356 B,349 B,(88 B)
12M 2013,0.80,458.84,0.80,455.29,448 B,305 B,753 B,729 B,27 B
12M 2014,0.84,310.76,0.85,307.21,492 B,366 B,858 B,845 B,(340 B)
12M 2015,1.01,77.49,1.05,73.94,131 B,794 B,924 B,918 B,(162 B)
12M 2016,12.42,6.60,26.89,3.05,73 B,790 B,863 B,862 B,(88 B)
12M 2017,-0.50,-125.83,-0.49,-129.37,116 B,762 B,877 B,877 B,(263 B)
12M 2018,-0.30,-267.47,-0.30,-271.02,607 B,277 B,885 B,884 B,(846 B)
12M 2019,-0.18,-357.47,-0.18,-361.02,611 B,277 B,888 B,886 B,(912 B)
12M 2020,-0.22,-277.39,-0.22,-280.94,99 B,802 B,902 B,901 B,(261 B)
12M 2021,-2.52,-24.63,-2.44,-25.37,109 B,802 B,911 B,896 B,(288 B)
12M 2022,-2.10,-85.15,-2.08,-85.89,140 B,823 B,963 B,962 B,(388 B)
