Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Kas Dari Tagihan Pengembalian Pajak,"Pembayaran Kas Kepada Pemasok, Karyawan Dan Beban Operasi",Pembayaran Kas Untuk Beban Usaha,Penghasilan Bunga,Pembayaran Bunga,Penerimaan Restitusi Pajak,Pembayaran Pajak Penghasilan,Penerimaan Kas Klaim Asuransi,Penempatan Uang Jaminan,Pengembalian Uang Jaminan,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Pengembalian Uang Muka Pembelian Aset Tetap,Uang Muka Pembangunan Pabrik Kelapa Sawit,Uang Muka Pembelian Bibit,Penerimaan Hasil Penjualan Investasi,Penambahan Tanaman Perkebunan Belum Menghasilkan,Perolehan Investasi,Kenaikan Aset Lain-Lain,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan (Pembayaran) Utang Bank,Perolehan Investasi,Penerimaan Pinjaman Dari Pihak Ketiga,Pembayaran Pinjaman Kepada Pihak Ketiga,Pembayaran Liabilitas Anjak Piutang,Penerimaan Dari Pihak Berelasi,Pembayaran Kepada Pihak Berelasi,Penerimaan Dari Pihak Hubungan Istimewa,Penerimaan Dari Liabilitas Anjak Piutang,Pembayayran Dividen,Pembayaran Utang Sewa Pembiayaan,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Bank Dari Entitas Anak Yang Dikonsolidasian,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2008,21053693376.000000,743323500979.000000,,-720882119136.000000,,59345030.000000,-81220375.000000,,-1365813122.000000,,,,,21053693376.000000,-179838584.000000,-285838584.000000,106000000.000000,,,,,,,,-179838584.000000,-22198899333.000000,-270469223.000000,,,,,,-33784419970.000000,11855989860.000000,,,,-22198899333.000000,-1325044541.000000,4046728525.000000,353883745.000000,804200157.000000,,3879767886.000000
12M 2009,-1025273940.000000,679651246648.000000,,-669896699269.000000,,12756546.000000,-5498296679.000000,,-5294281186.000000,,,,,-1025273940.000000,127294986.000000,-13624714347.000000,70000000.000000,,,,61185520333.000000,,-47503511000.000000,,127294986.000000,-531422936.000000,,,,,-7949837030.000000,,,,7854204625.000000,,-435790531.000000,-531422936.000000,-1429401890.000000,3879767886.000000,-159076423.000000,,,2291289573.000000
12M 2010,-150767486193.000000,798003836386.000000,,-941979734504.000000,,8903046112.000000,-7662248716.000000,,-8032385471.000000,,,,,-150767486193.000000,129889515910.000000,-6674791352.000000,245447400.000000,,,,204878899112.000000,,-68560039250.000000,,129889515910.000000,21845467735.000000,15506459647.000000,,,,-143332570295.000000,,-4040687944.000000,,154346023210.000000,,-633756883.000000,21845467735.000000,967497452.000000,2291289573.000000,-498614403.000000,363980092.000000,,3124152714.000000
12M 2011,-72595323695.000000,919185459043.000000,,-963679499435.000000,,227614703.000000,-11525320181.000000,,-16803577825.000000,,,,,-72595323695.000000,-1182070853.000000,-1182070853.000000,,,,,,,,,-1182070853.000000,79297881823.000000,93022416381.000000,,,,-12087739239.000000,,,,,,-1636795319.000000,79297881823.000000,5520487275.000000,3124152714.000000,-659120062.000000,,,7985519927.000000
12M 2012,53434113078.000000,920132750917.000000,,-833681285045.000000,,138989441.000000,-14908451370.000000,,-18247890865.000000,,,,,53434113078.000000,-237205440007.000000,-147797098745.000000,,,,,,-61898788221.000000,,-27509553041.000000,-237205440007.000000,145685964449.000000,149824421447.000000,,,,,,,,,,-4138456998.000000,145685964449.000000,-38085362480.000000,6907645405.000000,858097821.000000,,,-30319619254.000000
12M 2013,-226069588983.000000,1124864971060.000000,,-1280193399007.000000,,280072055.000000,-41227248178.000000,,-29793984913.000000,,,,,-226069588983.000000,-67417559813.000000,-6255101172.000000,96678900.000000,,,,,-56122861609.000000,,-5136275932.000000,-67417559813.000000,329068733561.000000,332847169128.000000,,,,,,,,,,-3778435567.000000,329068733561.000000,35581584765.000000,-30319619254.000000,-685409842.000000,,,4576555669.000000
12M 2014,176214206577.000000,1049918755768.000000,,-918159892233.000000,,351441488.000000,-50024253635.000000,109783711176.000000,-15655555987.000000,,,,,176214206577.000000,-266473649751.000000,-35367749854.000000,8372250.000000,,,,,-230901580147.000000,,-212692000.000000,-266473649751.000000,79105441281.000000,83537974615.000000,,,,,,,,,-1567374427.000000,-2865158907.000000,79105441281.000000,-11154001893.000000,4576555669.000000,489463564.000000,,,-6087982660.000000
12M 2015,39690065583.000000,461215593910.000000,,-407738584559.000000,,65045842.000000,-59915649245.000000,9729770503.000000,-4881837932.000000,41215727064.000000,,,,39690065583.000000,-85156569489.000000,-1354471925.000000,357837132.000000,,,,,-84159934696.000000,,,-85156569489.000000,56940444383.000000,57843601908.000000,,,,,,,,,,-903157525.000000,56940444383.000000,11473940477.000000,-6087982660.000000,790775433.000000,,,6176733250.000000
12M 2016,76620066830.000000,378689145813.000000,,-300867600183.000000,,4515503904.000000,-26359402588.000000,23113000178.000000,-2470580294.000000,,,,,76620066830.000000,-8653787881.000000,-70390000.000000,435262500.000000,,,,,-9018660381.000000,,,-8653787881.000000,-73288356453.000000,-72736300133.000000,,,,,,,,,,-552056320.000000,-73288356453.000000,-5322077504.000000,6176733250.000000,-44282147.000000,,,810373599.000000
12M 2017,-9837000718.000000,85212956361.000000,,-89698721292.000000,,12541292.000000,-5290843599.000000,,-72933480.000000,,,,,-9837000718.000000,-1349738804.000000,-5000000.000000,369400000.000000,,,,,-1714138804.000000,,,-1349738804.000000,10997511563.000000,11140252185.000000,,,,,,,,,,-142740622.000000,10997511563.000000,-189227959.000000,810373599.000000,-4712868.000000,,,616432772.000000
12M 2018,21133817027.000000,44206998343.000000,,-16252917790.000000,,20469574.000000,-6509358719.000000,,-331374381.000000,,,,,21133817027.000000,-7108935023.000000,-772832775.000000,568691800.000000,,,,,-6904794048.000000,,,-7108935023.000000,-13900252185.000000,-13900252185.000000,,,,,,,,,,,-13900252185.000000,124629819.000000,616432772.000000,-2229454.000000,,,738833137.000000
12M 2019,-9513631012.000000,156413325193.000000,,-157700331046.000000,,14270388.000000,-5498929544.000000,,-2741966003.000000,,,,,-9513631012.000000,-183888709.000000,-340752625.000000,156863916.000000,,,,,,,,-183888709.000000,11246564310.000000,-7050240000.000000,,18296804310.000000,,,,,,,,,11246564310.000000,1549044589.000000,738833137.000000,-9292863.000000,,,2278584863.000000
12M 2020,11984940571.000000,57150966196.000000,6616756064.000000,-50370800853.000000,,3442721.000000,-739784129.000000,,-675639428.000000,,,,,11984940571.000000,,,,,,,,,,,,-13970248199.000000,,,8058951801.000000,-22029200000.000000,,,,,,,,-13970248199.000000,-1985307628.000000,2278584863.000000,986759.000000,,,294263994.000000
