Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Final,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Bagian Atas Hasil Bersih Entitas Asosiasi,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,714819368323.000000,-691780199996.000000,23039168327.000000,-16563895466.000000,-6525483849.000000,-10038411617.000000,-16563895466.000000,6475272861.000000,613024648946.000000,59345030.000000,-81220375.000000,,-2425908614.000000,106000000.000000,-61038460649.000000,,676404893554.000000,613024648946.000000,619499921807.000000,-2288368304.000000,-2325149600.000000,36781296.000000,-2288368304.000000,617211553503.000000,,617211553503.000000,,617211553503.000000,617211553503.000000,617211553503.000000,,617211553503.000000,617211553503.000000,617211553503.000000,,617211553503.000000
12M 2009,765430931319.000000,-732283070434.000000,33147860885.000000,-21027146272.000000,-6884843196.000000,-14142303076.000000,-21027146272.000000,12120714613.000000,963848062.000000,14667692434.000000,-5823560178.000000,,-4813453561.000000,70000000.000000,,,-3136830633.000000,963848062.000000,13084562675.000000,-2649473746.000000,-4044503120.000000,1395029374.000000,-2649473746.000000,10435088929.000000,-18202678.000000,10416886251.000000,,10416886251.000000,10416886251.000000,10416886251.000000,,10416886251.000000,10416886251.000000,10416886251.000000,,10416886251.000000
12M 2010,810859291874.000000,-749136554113.000000,61722737761.000000,-25791864353.000000,-8791209961.000000,-17000654392.000000,-25791864353.000000,35930873408.000000,11332480848.000000,8901670724.000000,-8036177762.000000,,-3604463196.000000,185674246.000000,,,13885776836.000000,11332480848.000000,47263354256.000000,-9102981556.000000,-3796202750.000000,-5306778806.000000,-9102981556.000000,38160372700.000000,-122039404.000000,38038333296.000000,,38038333296.000000,38038333296.000000,38038333296.000000,,38038333296.000000,38038333296.000000,38038333296.000000,,38038333296.000000
12M 2011,904236103280.000000,-797291867695.000000,106944235585.000000,-37808659731.000000,-14171880021.000000,-23636779710.000000,-37808659731.000000,69135575854.000000,20833868017.000000,227614703.000000,-11525320181.000000,,-5263010274.000000,232870000.000000,,,37161713769.000000,20833868017.000000,89969443871.000000,-17008398672.000000,-6914330200.000000,-10094068472.000000,-17008398672.000000,72961045199.000000,,72961045199.000000,,72961045199.000000,72961045199.000000,72642605471.000000,318439728.000000,72961045199.000000,72961045199.000000,72642605471.000000,318439728.000000,72961045199.000000
12M 2012,1002231896868.000000,-872107095902.000000,130124800966.000000,-50630490166.000000,-19159928988.000000,-31470561178.000000,-50630490166.000000,79494310800.000000,-24690580283.000000,138989442.000000,-15867352506.000000,,-6847344521.000000,-262671362.000000,,,-1852201336.000000,-24690580283.000000,54803730517.000000,-16203936892.000000,-17193493800.000000,989556908.000000,-16203936892.000000,38599793625.000000,,38599793625.000000,,38599793625.000000,38599793625.000000,38496232841.000000,103560784.000000,38599793625.000000,38599793625.000000,38496232841.000000,103560784.000000,38599793625.000000
12M 2013,1206066005447.000000,-1027224843383.000000,178841162064.000000,-66623744922.000000,-26185041927.000000,-40438702995.000000,-66623744922.000000,112217417142.000000,-80830964253.000000,280072055.000000,-41479518071.000000,,-45038529300.000000,-81919099.000000,,,5488930162.000000,-80830964253.000000,31386452889.000000,-23475251885.000000,-20308322200.000000,-3166929685.000000,-23475251885.000000,7911201004.000000,,7911201004.000000,,7911201004.000000,7911201004.000000,7858944890.000000,52256114.000000,7911201004.000000,7911201004.000000,7858944890.000000,52256114.000000,7911201004.000000
12M 2014,1000086695089.000000,-998026807836.000000,2059887253.000000,-97601174411.000000,-34705873743.000000,-62895300668.000000,-97601174411.000000,-95541287158.000000,-73676781683.000000,351441488.000000,-55447793001.000000,,-10718151642.000000,3318250.000000,,,-7865596778.000000,-73676781683.000000,-169218068841.000000,27081747576.000000,,27081747576.000000,27081747576.000000,-142136321265.000000,,-142136321265.000000,,-142136321265.000000,-142136321265.000000,-141808568499.000000,-327752766.000000,-142136321265.000000,-142136321265.000000,-141808568499.000000,-327752766.000000,-142136321265.000000
12M 2015,395798115446.000000,-398420273529.000000,-2622158083.000000,-69964204498.000000,-15432424747.000000,-54531779751.000000,-69964204498.000000,-72586362581.000000,-143554362303.000000,65045842.000000,-67721192204.000000,,-50454438583.000000,-323046867.000000,,,-25120730491.000000,-143554362303.000000,-216140724884.000000,-8090330418.000000,-1531144000.000000,-6559186418.000000,-8090330418.000000,-224231055302.000000,,-224231055302.000000,4011217385.000000,-220219837917.000000,-224231055302.000000,-223934070057.000000,-296985245.000000,-224231055302.000000,-220219837917.000000,-219922639199.000000,-297198718.000000,-220219837917.000000
12M 2016,243013782107.000000,-260343937651.000000,-17330155544.000000,-27804088664.000000,-8127226243.000000,-19676862421.000000,-27804088664.000000,-45134244208.000000,-46398286027.000000,4515503904.000000,-66002748988.000000,,5218363656.000000,435262500.000000,,,9435332901.000000,-46398286027.000000,-91532530235.000000,23043755820.000000,,23043755820.000000,23043755820.000000,-68488774415.000000,,-68488774415.000000,-183563980.000000,-68672338395.000000,-68488774415.000000,-68457058192.000000,-31716223.000000,-68488774415.000000,-68672338395.000000,-68642897865.000000,-29440530.000000,-68672338395.000000
12M 2017,51671051196.000000,-83301719635.000000,-31630668439.000000,-15661209280.000000,-918689371.000000,-14742519909.000000,-15661209280.000000,-47291877719.000000,-93212806402.000000,12541292.000000,-87110947292.000000,,-6254033240.000000,,,,139632838.000000,-93212806402.000000,-140504684121.000000,12984641996.000000,,12984641996.000000,12984641996.000000,-127520042125.000000,,-127520042125.000000,-886417705.000000,-128406459830.000000,-127520042125.000000,-127337163386.000000,-182878739.000000,-127520042125.000000,-128406459830.000000,-128223909532.000000,-182550298.000000,-128406459830.000000
