Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Beban Penyusutan,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,7392483649350.000000,-6469323123232.000000,923160526118.000000,-560056663951.000000,-471629109785.000000,-88427554166.000000,,,-560056663951.000000,363103862167.000000,19052401485.000000,-3899800675.000000,9990732839.000000,2822060979.000000,14969826970.000000,,-4830418628.000000,19052401485.000000,382156263652.000000,-115145043706.000000,-118015023500.000000,2869979794.000000,,-115145043706.000000,267011219946.000000,-116396171.000000,266894823775.000000,,,,,266894823775.000000,267011219946.000000,-116396171.000000,266894823775.000000,,,,
12M 2009,8550126695215.000000,-7454076584084.000000,1096050111131.000000,-611693588985.000000,-499187899270.000000,-112505689715.000000,,,-611693588985.000000,484356522146.000000,-24682319914.000000,-14077535462.000000,10629949968.000000,6678980722.000000,-27210257608.000000,,-703457534.000000,-24682319914.000000,459674202232.000000,-130728842124.000000,-132005681360.000000,1276839236.000000,,-130728842124.000000,328945360108.000000,122252752.000000,329067612860.000000,,,,,329067612860.000000,328945360108.000000,122252752.000000,329067612860.000000,,,,
12M 2010,9713882916261.000000,-8644659230563.000000,1069223685698.000000,-708369218919.000000,-583493483948.000000,-124875734971.000000,,,-708369218919.000000,360854466779.000000,-10990043741.000000,-14681587574.000000,3638988077.000000,6209381315.000000,-8202105632.000000,,2045280073.000000,-10990043741.000000,349864423038.000000,-92473564753.000000,-95341737887.000000,2868173134.000000,,-92473564753.000000,257390858285.000000,24160711.000000,257415018996.000000,,,,,257415018996.000000,257390858285.000000,24160711.000000,257415018996.000000,,,,
12M 2011,10610084882427.000000,-9400741535414.000000,1209343347013.000000,-763880967073.000000,-625832136870.000000,-137999562574.000000,,-49267629.000000,-763880967073.000000,445462379940.000000,17281265624.000000,-8415654068.000000,25696919692.000000,,,,,17281265624.000000,462743645564.000000,-111704049128.000000,-113716617351.000000,2012568223.000000,,-111704049128.000000,351039596436.000000,,351039596436.000000,979296826.000000,979296826.000000,979296826.000000,352018893262.000000,351039596436.000000,351043367801.000000,-3771365.000000,351039596436.000000,352018893262.000000,352022664627.000000,-3771365.000000,352018893262.000000
12M 2012,13373032803518.000000,-11936614846788.000000,1436417956730.000000,-907237193805.000000,-772020946685.000000,-149563090507.000000,,14346843387.000000,-907237193805.000000,529180762925.000000,10841315156.000000,-9331051726.000000,20172366882.000000,,,,,10841315156.000000,540022078081.000000,-137250472013.000000,,,,-137250472013.000000,402771606068.000000,,402771606068.000000,,,,402771606068.000000,402771606068.000000,402753390390.000000,18215678.000000,402771606068.000000,402771606068.000000,402753390390.000000,18215678.000000,402771606068.000000
12M 2013,15623239533384.000000,-13859943386095.000000,1763296147289.000000,-1144529893927.000000,-960772934735.000000,-177990790669.000000,,-5766168523.000000,-1144529893927.000000,618766253362.000000,4016390716.000000,-13278250331.000000,17294641047.000000,,,,,4016390716.000000,622782644078.000000,-158410663090.000000,,,,-158410663090.000000,464371980988.000000,,464371980988.000000,227547369.000000,227547369.000000,227547369.000000,464599528357.000000,464371980988.000000,464315262113.000000,56718875.000000,464371980988.000000,464599528357.000000,464542809482.000000,56718875.000000,464599528357.000000
12M 2014,17011549906297.000000,-15081772392758.000000,1929777513539.000000,-1250948355897.000000,-1094276001959.000000,-188918541107.000000,,32246187169.000000,-1250948355897.000000,678829157642.000000,8344048215.000000,-15425289890.000000,23769338105.000000,,,,,8344048215.000000,687173205857.000000,-176508977039.000000,,,,-176508977039.000000,510664228818.000000,,510664228818.000000,366260274.000000,366260274.000000,366260274.000000,511030489092.000000,510664228818.000000,510609383058.000000,54845760.000000,510664228818.000000,511030489092.000000,510975643332.000000,54845760.000000,511030489092.000000
12M 2015,17476102963479.000000,-15366259312698.000000,2109843650781.000000,-1399705016539.000000,-1207778203019.000000,-195426566148.000000,,3499752628.000000,-1399705016539.000000,710138634242.000000,36772793282.000000,-13037854649.000000,49810647931.000000,,,,,36772793282.000000,746911427524.000000,-199737582909.000000,-189726814797.000000,,-10010768112.000000,-199737582909.000000,547173844615.000000,,547173844615.000000,6482994171.000000,6482994171.000000,6482994171.000000,553656838786.000000,547173844615.000000,547124228884.000000,49615731.000000,547173844615.000000,553656838786.000000,553606785752.000000,50053034.000000,553656838786.000000
12M 2016,18936240950891.000000,-16758998925440.000000,2177242025451.000000,-1477333657140.000000,-1308230678293.000000,-195343279349.000000,,26240300502.000000,-1477333657140.000000,699908368311.000000,60250758603.000000,-10762560065.000000,71013318668.000000,,,,,60250758603.000000,760159126914.000000,-204038431238.000000,-189455764384.000000,,-14582666854.000000,-204038431238.000000,556120695676.000000,,556120695676.000000,7158044849.000000,,7158044849.000000,563278740525.000000,556120695676.000000,556025919821.000000,94775855.000000,556120695676.000000,563278740525.000000,563184752313.000000,93988212.000000,563278740525.000000
12M 2017,19669096571146.000000,-17534905310570.000000,2134191260576.000000,-1480054295105.000000,-1293815619677.000000,-204449159490.000000,,18210484062.000000,-1480054295105.000000,654136965471.000000,41417190441.000000,-9924174581.000000,51341365022.000000,,,,,41417190441.000000,695554155912.000000,-177717985297.000000,-166921580695.000000,,-10796404602.000000,-177717985297.000000,517836170615.000000,,517836170615.000000,6495219691.000000,,6495219691.000000,524331390306.000000,517836170615.000000,517670912837.000000,165257778.000000,517836170615.000000,524331390306.000000,524166303594.000000,165086712.000000,524331390306.000000
