Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Untuk Pemasok Dan Karyawan,Pembayaran Kas Untuk Pemasok,Pembayaran Kas Untuk Karyawan,Total Pembayaran Kas Untuk Pemasok Dan Karyawan,Penerimaan Tagihan Restitusi Pajak,Penerimaan Pendapatan Sewa,Pembayaran Pajak,Pembayaran Beban Bunga Dan Keuangan Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Dari Pencairan Efek Tersedia Untuk Dijual,Penerimaan Pendapatan Bunga,Penerimaan Dari Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Perolehan Aset Hak Guna,Penempatan Pada Efek Tersedia Untuk Dijual,Penempatan Pada Aset Keuangan Lancar Lainnya,Penerimaan Dari Hasil Penjualan Aset Keuangan Lancar Lainnya,Pencairan (Penempatan) Pada Investasi Jangka Pendek,Penempatan Investasi Pada Entitas Asosiasi,Investasi Dalam Saham,Penyertaan Saham,Pendapatan Dividen,Kenaikan (Penurunan) Piutang Kepada Pihak Yang Mempunyai Hubungan Istimewa,Perolehan Entitas Anak,Pencairan Aset Tidak Lancar Lainnya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank,Pembayaran Utang Bank,Pembayaran Beban Bunga Dan Keuangan Lainnya,Pembayaran Utang Pembiayaan,Pembayaran Liabilitas Sewa,Pembayaran Dividen Kas :,Pemilik Entitas Induk,Entitas Anak,Kepentingan Non-Pengendali,Total Pembayaran Dividen Kas :,Penerimaan Dari Penawaran Umum Terbatas 1 (Right Issue),Pembayaran Biaya Emisi Saham,Penerimaan Pinjaman Dari Pihak Berelasi,Pembayaran Pinjaman Kepada Pihak Berelasi,Kenaikan (Penurunan) Hutang Kepada Pihak Yang Mempunyai Hubungan Istimewa,Penerimaan Setoran Modal,Penerimaan Setoran Modal Saham Dari Kepentingan Non-Pengendali Entitas Anak,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,254756415763.000000,8051958914721.000000,-7687495495880.000000,,,-7687495495880.000000,,1350572073.000000,-107157774476.000000,-3899800675.000000,254756415763.000000,-50520148817.000000,,9556237319.000000,3870805863.000000,-84886031294.000000,,-357843250.000000,,,,,,,,,,21296682545.000000,,,-50520148817.000000,-34238711315.000000,25000000000.000000,,,,,-57000000000.000000,,,,-57000000000.000000,,,,,-2739711315.000000,501000000.000000,,-34238711315.000000,169997555631.000000,133938332566.000000,27230332276.000000,331166220473.000000
12M 2009,71149278969.000000,9304970006809.000000,-9097469286205.000000,,,-9097469286205.000000,,1205394145.000000,-124015419078.000000,-13541416702.000000,71149278969.000000,-93418267810.000000,,10194896308.000000,9897662854.000000,-110614314103.000000,,-1210742160.000000,,,,,,,-1000000.000000,,,-2311086872.000000,,626316163.000000,-93418267810.000000,-16842923957.000000,735025000043.000000,-705025000000.000000,,,,-62700000000.000000,,,,-62700000000.000000,,,,,15857076000.000000,,,-16842923957.000000,-39111912798.000000,331166220473.000000,-23986290688.000000,268068016987.000000
12M 2010,213362237729.000000,10576196552733.000000,,-9913292251970.000000,-303524372442.000000,-10216816624412.000000,,588812458.000000,-131924915476.000000,-14681587574.000000,213362237729.000000,-138640998873.000000,,3638988077.000000,7681538665.000000,-148376860313.000000,,-1584665302.000000,,,,,,,,,,,,,-138640998873.000000,-101965750000.000000,500138567182.000000,-539404317182.000000,,,,-62700000000.000000,,,,-62700000000.000000,,,,,,,,-101965750000.000000,-27244511144.000000,268068016987.000000,-4395820410.000000,236427685433.000000
12M 2011,384494552989.000000,11426853535404.000000,,-10614176948158.000000,-330988252951.000000,-10945165201109.000000,3000798975.000000,513836083.000000,-92292762296.000000,-8415654068.000000,384494552989.000000,-156322245648.000000,,24864699531.000000,16426946257.000000,-156155795161.000000,,-1458096275.000000,,-40000000000.000000,,,,,,,,,,,-156322245648.000000,295148812616.000000,35043000000.000000,-24263250000.000000,,,,-13543200000.000000,,,,-13543200000.000000,300048000000.000000,-2135737384.000000,,,,,,295148812616.000000,523321119957.000000,236427685433.000000,-720429622.000000,759028375768.000000
12M 2012,359080766092.000000,14489672514354.000000,,-13647501352662.000000,-370993252446.000000,-14018494605108.000000,11250322538.000000,448112823.000000,-123795578515.000000,,359080766092.000000,-85464977730.000000,82402992591.000000,21726128981.000000,18485132175.000000,-162972727500.000000,,-8106503977.000000,,-37000000000.000000,,,,,,,,,,,-85464977730.000000,-235071451726.000000,73339030216.000000,-41758630216.000000,-9331051726.000000,,,,-236086703525.000000,,-21234096475.000000,-257320800000.000000,,,,,,,,-235071451726.000000,38544336636.000000,759028375768.000000,1243579352.000000,798816291756.000000
12M 2013,-153301485087.000000,16925824556750.000000,,-16404750444468.000000,-482907158012.000000,-16887657602480.000000,5120251971.000000,614669324.000000,-197203360652.000000,,-153301485087.000000,-258482529263.000000,40951359257.000000,17142440773.000000,24772918596.000000,-264943415067.000000,,-7155832822.000000,,-69250000000.000000,,,,,,,,,,,-258482529263.000000,-1370330331.000000,68878400000.000000,-51553200000.000000,-13278250331.000000,,,-5417280000.000000,,,,-5417280000.000000,,,,,,,,-1370330331.000000,-413154344681.000000,798816291756.000000,2664863928.000000,388326811003.000000
12M 2014,520135657562.000000,18444507712744.000000,,-17167246169459.000000,-574549418298.000000,-17741795587757.000000,,488600646.000000,-183065068071.000000,,520135657562.000000,-183193002268.000000,61586920515.000000,22264707422.000000,36195931263.000000,-214596796653.000000,,-543764815.000000,,-88100000000.000000,,,,,,,,,,,-183193002268.000000,-40285189890.000000,85526500000.000000,-110386400000.000000,-15425289890.000000,,,,,,,,,,,,,,,-40285189890.000000,296657465404.000000,388326811003.000000,-770554106.000000,684213722301.000000
12M 2015,614574249011.000000,19208427335205.000000,,-17799125632791.000000,-599173279777.000000,-18398298912568.000000,11907066869.000000,437746735.000000,-207898987230.000000,,614574249011.000000,-196790677629.000000,61899647384.000000,39309855531.000000,12047735188.000000,-180081897668.000000,,-666018064.000000,,-129300000000.000000,,,,,,,,,,,-196790677629.000000,-27698454649.000000,94294000000.000000,-95411400000.000000,-13037854649.000000,,,-13543200000.000000,,,,-13543200000.000000,,,,,,,,-27698454649.000000,390085116733.000000,684213722301.000000,2936722958.000000,1077235561992.000000
12M 2016,244821541649.000000,20705353026933.000000,,-19627849261441.000000,-629528461996.000000,-20257377723437.000000,,,-204034683523.000000,880921676.000000,244821541649.000000,-31740666460.000000,,56873336528.000000,7955645372.000000,-96461120290.000000,,-58528070.000000,,,,,,,,,,,-50000000.000000,,-31740666460.000000,-114106560065.000000,13795000000.000000,-103595800000.000000,-10762560065.000000,,,-13543200000.000000,,,,-13543200000.000000,,,,,,,,-114106560065.000000,98974315124.000000,1077235561992.000000,-682449560.000000,1175527427556.000000
12M 2017,-203606805066.000000,21383851068042.000000,,-20772633667784.000000,-631045632196.000000,-21403679299980.000000,,,-184914664372.000000,1136091244.000000,-203606805066.000000,-137437503897.000000,,40955633683.000000,20671031483.000000,-196372419557.000000,,-2691749506.000000,,,,,,,,,,,,,-137437503897.000000,-23467374581.000000,30000000000.000000,-30000000000.000000,-9924174581.000000,,,-13543200000.000000,,,,-13543200000.000000,,,,,,,,-23467374581.000000,-364511683544.000000,1175527427556.000000,477382567.000000,811493126579.000000
