Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.55,586.42,0.56,575.70,42 B,9 B,51 B,(297 B),"1,030 B"
12M 2009,1.12,703.25,1.14,694.92,57 B,16 B,73 B,(198 B),"1,247 B"
12M 2010,1.44,788.65,1.45,782.57,24 B,,24 B,(221 B),"1,315 B"
12M 2011,0.83,898.88,0.84,895.65,29 B,,29 B,(732 B),"1,858 B"
12M 2012,1.84,952.21,1.85,948.02,88 B,,88 B,(738 B),"1,891 B"
12M 2013,3.57,1121.71,3.58,1116.82,120 B,,120 B,(285 B),"2,130 B"
12M 2014,2.14,1310.36,2.14,1306.65,114 B,,114 B,(603 B),"2,535 B"
12M 2015,2.00,1502.45,2.00,1499.86,144 B,,144 B,(985 B),"3,035 B"
12M 2016,1.71,1705.37,1.71,1704.07,42 B,,42 B,"(1,176 B)","3,577 B"
12M 2017,1.58,1893.89,1.58,1891.95,,,,(811 B),"3,934 B"
12M 2018,0.98,2136.42,0.98,2133.06,,,,"(1,263 B)","4,518 B"
12M 2019,0.91,2262.42,0.91,2257.76,44 B,,44 B,(997 B),"4,657 B"
12M 2020,0.87,2415.45,0.88,2408.52,,,,"(1,619 B)","5,007 B"
12M 2021,1.07,2521.96,1.07,2516.60,,,,"(1,325 B)","5,361 B"
12M 2022,1.05,2625.91,1.05,2621.35,,,,(988 B),"5,626 B"
12M 2023,0.97,2676.11,0.97,2671.93,1 B,2 B,3 B,(683 B),"5,692 B"
12M 2024,0.87,2780.69,0.88,2776.91,96 B,2 B,97 B,(590 B),"5,821 B"
