Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Adjustment,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Utang Lain-Lain,Utang Pajak,Beban Akrual,Pinjaman Jangka Pendek,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Utang Lain Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Adjustment,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Obligasi Konversi,Utang Lain Jangka Panjang,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Adjustment,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2009,,,2366831030.000000,12276473229.000000,12276473229.000000,,12276473229.000000,801262855.000000,801262855.000000,,801262855.000000,2057425040.000000,,292400927.000000,17794393081.000000,,56579998723.000000,379855971.000000,12879612505.000000,69839467199.000000,87633860280.000000,,,20390904826.000000,10397765134.000000,4713162062.000000,211266098.000000,850536361.000000,,,,1972149944.000000,995428375.000000,139563451.000000,,,3107141770.000000,,1111033401.000000,20390904826.000000,16321511983.000000,,2644173028.000000,1271066075.000000,10319820361.000000,,,,14235059464.000000,2086452519.000000,16321511983.000000,36712416809.000000,,40000000000.000000,,9689864739.000000,,,9689864739.000000,1231578732.000000,,,50921443471.000000,87633860280.000000,40000000.000000
12M 2010,,,2846115308.000000,17387611430.000000,17387611430.000000,,17387611430.000000,1293918171.000000,1293918171.000000,,1293918171.000000,1720666407.000000,,2581749995.000000,25830061311.000000,,101102250998.000000,527504663.000000,15900897202.000000,117530652863.000000,143360714174.000000,,,18050723182.000000,6946894565.000000,1722032287.000000,,5434180498.000000,,,,2356772849.000000,703738558.000000,,,,3060511407.000000,,887104425.000000,18050723182.000000,6879298644.000000,,3243014007.000000,870782234.000000,,,,,4113796241.000000,2765502403.000000,6879298644.000000,24930021826.000000,,100000000000.000000,,8799483385.000000,,,8799483385.000000,35265653.000000,,9595943310.000000,118430692348.000000,143360714174.000000,1000000000.000000
12M 2011,,,41898562017.000000,28731847368.000000,28731847368.000000,,28731847368.000000,1543616952.000000,1543616952.000000,,1543616952.000000,1664322832.000000,,6967333537.000000,80805682706.000000,,115904319869.000000,705166271.000000,444730453.000000,117054216593.000000,197859899299.000000,,,18982408279.000000,14284048469.000000,2088583967.000000,,457086936.000000,95000000.000000,,,1412322608.000000,645366299.000000,,,,2057688907.000000,,,18982408279.000000,4857609028.000000,,1370115080.000000,11345115.000000,,,,,1381460195.000000,3476148833.000000,4857609028.000000,23840017307.000000,,90070000000.000000,25813880414.000000,9386322297.000000,,,9386322297.000000,43899261.000000,,48705780020.000000,174019881992.000000,197859899299.000000,900700000.000000
12M 2012,,,4379336704.000000,35647038731.000000,35647038731.000000,,35647038731.000000,6835184063.000000,3835184063.000000,3000000000.000000,6835184063.000000,1664332479.000000,,35245095532.000000,83770987509.000000,,189510412037.000000,1038392405.000000,3352326000.000000,193901130442.000000,277672117951.000000,,,73824548939.000000,27432064671.000000,3099097112.000000,,2682776717.000000,182183730.000000,37147950462.000000,,3076701171.000000,203775076.000000,,,,3280476247.000000,,,73824548939.000000,26212688635.000000,,21708044472.000000,351074551.000000,,,,,22059119023.000000,4153569612.000000,26212688635.000000,100037237574.000000,,90070000000.000000,25813880414.000000,12214807468.000000,298427877.000000,11916379591.000000,12214807468.000000,846943725.000000,,48689248770.000000,177634880377.000000,277672117951.000000,900700000.000000
12M 2013,,,3525602164.000000,67875769575.000000,65775705096.000000,2100064479.000000,67875769575.000000,7064580065.000000,4051930065.000000,3012650000.000000,7064580065.000000,3335136752.000000,,12313510168.000000,94114598724.000000,,271310952265.000000,1321437270.000000,3631413774.000000,276263803309.000000,370378402033.000000,,,111897711704.000000,62562005173.000000,2027986125.000000,2000000.000000,397995351.000000,486441092.000000,33697930000.000000,,12251971911.000000,471382052.000000,,,,12723353963.000000,,,111897711704.000000,55339091665.000000,,49704186810.000000,445053437.000000,,,,,50149240247.000000,5189851418.000000,55339091665.000000,167236803369.000000,,112587500000.000000,3296380414.000000,72739290686.000000,1298427877.000000,71440862809.000000,72739290686.000000,846808146.000000,,13671619418.000000,203141598664.000000,370378402033.000000,1125875000.000000
12M 2014,,,2378701533.000000,64184531135.000000,64184531135.000000,,64184531135.000000,9874007178.000000,5836257178.000000,4037750000.000000,9874007178.000000,7258167532.000000,,9924223736.000000,93619631114.000000,,301532565515.000000,796983266.000000,9151226231.000000,311480775012.000000,405100406126.000000,,,115465961241.000000,70766298034.000000,1809247116.000000,4477000000.000000,3155804605.000000,246953217.000000,,,19755244254.000000,556922415.000000,,14698491600.000000,,35010658269.000000,,,115465961241.000000,79302169478.000000,,65235071400.000000,301930376.000000,,,7349574171.000000,,72886575947.000000,6415593531.000000,79302169478.000000,194768130719.000000,,112587500000.000000,3296380414.000000,80302771517.000000,2298427877.000000,78004343640.000000,80302771517.000000,1501417877.000000,,12644205599.000000,210332275407.000000,405100406126.000000,1125875000.000000
12M 2015,,,3575486222.000000,85380822439.000000,85380822439.000000,,85380822439.000000,8901500791.000000,4863750791.000000,4037750000.000000,8901500791.000000,5548933456.000000,,7677998061.000000,111084740969.000000,,283467285357.000000,597764309.000000,8834296423.000000,292899346089.000000,403984087058.000000,,,118700001817.000000,71515367908.000000,3527095863.000000,6043264815.000000,2699505129.000000,594138075.000000,,,11318217339.000000,237394343.000000,,22752958689.000000,,34308570371.000000,,12059656.000000,118700001817.000000,74343446438.000000,,66441763099.000000,64534896.000000,,,,,66506297995.000000,7837148443.000000,74343446438.000000,193043448255.000000,,112587500000.000000,3296380414.000000,82052665179.000000,2298427877.000000,79754237302.000000,82052665179.000000,1368668899.000000,,11635424311.000000,210940638803.000000,403984087058.000000,1125875000.000000
12M 2016,,,3877981853.000000,75729351004.000000,75729351004.000000,,75729351004.000000,7741678918.000000,3557630212.000000,4184048706.000000,7741678918.000000,5611825969.000000,,24472994742.000000,117433832486.000000,,318252635780.000000,518372531.000000,,318771008311.000000,436204840797.000000,,,97664839437.000000,72000000000.000000,1329010838.000000,50500000.000000,1773767613.000000,105033424.000000,,,18082934405.000000,4295662666.000000,,,,22378597071.000000,,27930491.000000,97664839437.000000,77380412310.000000,,62665227602.000000,2512191529.000000,,,,3248553470.000000,68425972601.000000,8954439709.000000,77380412310.000000,175045251747.000000,,113522500000.000000,6429382223.000000,53381583474.000000,,,53381583474.000000,1450844645.000000,,86375278708.000000,261159589050.000000,436204840797.000000,1125875000.000000
12M 2017,,,5244754144.000000,55200800469.000000,55200800469.000000,,55200800469.000000,6711430987.000000,6461430987.000000,250000000.000000,6711430987.000000,8755990271.000000,,9550963597.000000,85463939468.000000,,298507419992.000000,1474816068.000000,,299982236060.000000,385446175528.000000,,,79820531573.000000,65934878367.000000,957186124.000000,792328103.000000,281082641.000000,523953808.000000,,,7963909277.000000,3355167914.000000,,,,11319077191.000000,,12025339.000000,79820531573.000000,83048742473.000000,,68888487882.000000,,,,,2621160331.000000,71509648213.000000,11539094260.000000,83048742473.000000,162869274046.000000,,113522500000.000000,6912130414.000000,16453657036.000000,2298427877.000000,14155229159.000000,16453657036.000000,1143674848.000000,,84544939184.000000,222576901482.000000,385446175528.000000,1135225000.000000
12M 2018,,,4144582927.000000,61423326221.000000,61423326221.000000,,61423326221.000000,6719053861.000000,6469053861.000000,250000000.000000,6719053861.000000,7547018329.000000,,7864977759.000000,87698959097.000000,,270761259708.000000,3905475665.000000,,274666735373.000000,362365694470.000000,,,84374199166.000000,,1421570357.000000,555293898.000000,450228250.000000,221927978.000000,,,,,,81725178683.000000,,81725178683.000000,,,84374199166.000000,85729994658.000000,,,,,,73074930155.000000,,73074930155.000000,12655064503.000000,85729994658.000000,170104193824.000000,,113522500000.000000,6912130414.000000,-12490551430.000000,2298427877.000000,-14788979307.000000,-12490551430.000000,1226547091.000000,,83090874571.000000,192261500646.000000,362365694470.000000,1135225000.000000
