Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2010,101908694417.000000,-72675497942.000000,29233196475.000000,-15640693826.000000,-15640693826.000000,-15640693826.000000,13592502649.000000,-1638472675.000000,14313537.000000,-1747921573.000000,,16121197.000000,9947917.000000,69066247.000000,-1638472675.000000,11954029974.000000,-3033960626.000000,8920069348.000000,,8920069348.000000,48796725395.000000,57716794743.000000,8920069348.000000,8743483385.000000,176585963.000000,,8920069348.000000,57716794743.000000,57540208780.000000,176585963.000000,,57716794743.000000
12M 2011,100310520202.000000,-73800437236.000000,26510082966.000000,-18858257523.000000,-18858257523.000000,-18858257523.000000,7651825443.000000,19362884.000000,1271770029.000000,-1495289646.000000,,430066801.000000,,-187184300.000000,19362884.000000,7671188327.000000,-1702630786.000000,5968557541.000000,,5968557541.000000,,5968557541.000000,5968557541.000000,5959923933.000000,8633608.000000,,5968557541.000000,5968557541.000000,5959923933.000000,8633608.000000,,5968557541.000000
12M 2012,128068393633.000000,-96374501101.000000,31693892532.000000,-19983655805.000000,-19983655805.000000,-19983655805.000000,11710236727.000000,-4666601923.000000,872747013.000000,-2890565953.000000,110680891.000000,,,-2759463874.000000,-4666601923.000000,7043634804.000000,-1891781419.000000,5151853385.000000,,5151853385.000000,,5151853385.000000,5151853385.000000,5198808921.000000,-46955536.000000,,5151853385.000000,5151853385.000000,5198808921.000000,-46955536.000000,,5151853385.000000
12M 2013,176556067956.000000,-129635301684.000000,46920766272.000000,-22831189883.000000,-22831189883.000000,-22831189883.000000,24089576389.000000,-15819344588.000000,2928113661.000000,-12458157188.000000,164737190.000000,,,-6454038251.000000,-15819344588.000000,8270231801.000000,-2013793987.000000,6256437814.000000,,6256437814.000000,21952380473.000000,28208818287.000000,6256437814.000000,6256573393.000000,-135579.000000,,6256437814.000000,28208818287.000000,28208953866.000000,-135579.000000,,28208818287.000000
12M 2014,147275097145.000000,-95756262509.000000,51518834636.000000,-29193814566.000000,-29193814566.000000,-29193814566.000000,22325020070.000000,-10894380222.000000,21257159.000000,-20378117458.000000,-110153879.000000,,,9572633956.000000,-10894380222.000000,11430639848.000000,-1832825892.000000,9597813956.000000,,9597813956.000000,,9597813956.000000,9597813956.000000,9654740762.000000,-56926806.000000,,9597813956.000000,9597813956.000000,9654740762.000000,-56926806.000000,,9597813956.000000
12M 2015,143213177033.000000,-88648205564.000000,54564971469.000000,-25328391322.000000,-25328391322.000000,-25328391322.000000,29236580147.000000,-26353761752.000000,5253598.000000,-23772540362.000000,-320929808.000000,,,-2265545180.000000,-26353761752.000000,2882818395.000000,-2078756533.000000,804061862.000000,,804061862.000000,495662104.000000,1299723966.000000,804061878.000000,917377320.000000,-113315442.000000,,804061878.000000,1299723966.000000,1412898248.000000,-113174282.000000,,1299723966.000000
12M 2016,118192390630.000000,-75095201161.000000,43097189469.000000,-27801430271.000000,-27801430271.000000,-27801430271.000000,15295759198.000000,-12358151612.000000,27002893.000000,-15407383078.000000,,,,3022228573.000000,-12358151612.000000,2937607586.000000,-1812264099.000000,1125343487.000000,,1125343487.000000,,1125343487.000000,1125343487.000000,1126179391.000000,-835904.000000,,1125343487.000000,1125343487.000000,1126179391.000000,-835904.000000,,1125343487.000000
12M 2017,102961872508.000000,-87551340531.000000,15410531977.000000,-36464399270.000000,-36464399270.000000,-36464399270.000000,-21053867293.000000,-17457124711.000000,23544197.000000,-17784053110.000000,,,,303384202.000000,-17457124711.000000,-38510992004.000000,710605807.000000,-37800386197.000000,,-37800386197.000000,-938551371.000000,-38738937568.000000,-37800386197.000000,-37494784262.000000,-305601935.000000,,-37800386197.000000,-38738937568.000000,-38431767771.000000,-307169797.000000,,-38738937568.000000
12M 2018,102990754237.000000,-90128262221.000000,12862492016.000000,-31667650197.000000,-31667650197.000000,-31667650197.000000,-18805158181.000000,-14057700018.000000,34538130.000000,-10010620821.000000,,,,-4081617327.000000,-14057700018.000000,-32862858199.000000,2067079022.000000,-30795779177.000000,,-30795779177.000000,480378341.000000,-30315400836.000000,-30795779177.000000,-30863700376.000000,67921199.000000,,-30795779177.000000,-30315400836.000000,-30398273079.000000,82872243.000000,,-30315400836.000000
12M 2019,106273588474.000000,-101587013017.000000,4686575457.000000,-46214275284.000000,-46214275284.000000,-46214275284.000000,-41527699827.000000,4022997128.000000,39768242.000000,-2315346087.000000,,,,6298574973.000000,4022997128.000000,-37504702699.000000,1280613671.000000,-36224089028.000000,,-36224089028.000000,721799891.000000,-35502289137.000000,-36224089028.000000,-36289342808.000000,65253780.000000,,-36224089028.000000,-35502289137.000000,-35559300158.000000,57011021.000000,,-35502289137.000000
