Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Untuk Karyawan,Penerimaan Kas Lainnya Dari Aktivitas Operasi,Pembayaran Kas Untuk Imbalan Kerja,Usaha Lainnya,Pembayaran Kas Untuk Beban Operasi Lainnya,Penerimaan Bunga,Pembayaran Beban Keuangan,Uang Muka Pajak,Penambahan (Pengurangan) Pajak Penghasilan Badan,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Uang Muka Untuk Perolehan Aset Tetap,Perolehan Aset Tetap,Penjualan Aset Tetap,Perolehan Aset Hak Guna,Penjualan Aset Tetap Melalui Jual Dan Sewa Balik,Penerimaan Penjualan Aset Yang Dimiliki Untuk Dijual,Perolehan Aset Yang Belum Digunakan,Uang Muka Kepada Pihak Berelasi,Investasi Kepada Entitas Asosiasi,Kenaikan Bank Yang Dibatasi Penggunaannya,Uang Muka Investasi,Investasi,Perolehan Lain-Lain,Penerimaan Dari Revaluasi Aktiva Tetap,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Hutang Bank Jangka Pendek,Penambahan,Pembayaran,Total Hutang Bank Jangka Pendek,Hutang Bank Jangka Panjang,Penambahan,Pembayaran,Total Hutang Bank Jangka Panjang,Penerimaan Pinjaman Jangka Pendek,Pembayaran Pinjaman Jangka Pendek,Pembayaran Pinjaman Jangka Panjang,Surplus Revaluasi,Pembayaran Utang Lain-Lain,Saldo Laba Ditahan,Pembayaran Deviden,Tambahan Modal Disetor,Pembayaran Bunga Bank,Penerimaan Bunga,Penambahan Modal Saham,Kenaikan Hutang Pemegang Saham,Kenaikan Piutang Pemegang Saham,Pembayaran Pokok Liabilitas Sewa,Pembayaran Hutang Sewa Pembiayaan,Pembayaran Hutang Kredit Pembiayaan,Kenaikan Bank Yang Dibatasi Penggunaannya,Pembayaran Utang Pembiayaan Konsumen,Akuisisi Entitas Anak Dari Setoran Non Pengendali,Penerimaan (Pengeluaran) Kas Lainnya Dari Aktivitas Pendanaan,Tambahan Modal Saham Anak Perusahaan Oleh Pemegang Saham Minoritas,Penerimaan Pengembalian (Pembayaran) Pajak Pengasilan Dari Aktivitas Pendanaan,Pinjaman Pihak Berelasi,Pinjaman Pihak Ketiga,Penerimaan Jaminan Lancar,Kenaikan Modal Dari Pihak Ketiga,Pembayaran Beban Keuangan,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Bank Entitas Anak Pada Saat Di Akuisisi,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2010,7056460015.000000,96573627240.000000,-62794401085.000000,-15193174405.000000,,,,-7581272380.000000,14313537.000000,-1693965278.000000,,-2268667614.000000,,7056460015.000000,-3461613359.000000,,-3082282109.000000,482968750.000000,,,,,,,,,,-862300000.000000,,,-3461613359.000000,-3115562378.000000,,1316756632.000000,-3784163316.000000,-2467406684.000000,,,,,,,,,,,,,,,100181229.000000,489338060.000000,,,-139563451.000000,-903850335.000000,-194261197.000000,,,,,,,,,,,,-3115562378.000000,,479284278.000000,2366831030.000000,,,2846115308.000000
12M 2011,-581762261.000000,88079179838.000000,-56855915121.000000,-14714963647.000000,,,,-13572087222.000000,1271770029.000000,-1428705330.000000,,-3361040808.000000,,-581762261.000000,-14450718491.000000,-4113945276.000000,-10336773215.000000,,,,,,,,,,,,,,-14450718491.000000,54084927461.000000,,7337153904.000000,-2817349169.000000,4519804735.000000,,,,,,,,,,,,26676180414.000000,,,23806751689.000000,,,,,-917809377.000000,,,,,,,,,,,,,54084927461.000000,,39052446709.000000,2846115308.000000,,,41898562017.000000
12M 2012,14589149192.000000,121153202271.000000,-75121724908.000000,-17495072729.000000,,,,-9560963044.000000,872747013.000000,-2890565953.000000,,-2368473458.000000,,14589149192.000000,-118184370598.000000,-26227502307.000000,-86271723182.000000,556500000.000000,,,,,-3000000000.000000,-3000000000.000000,-241645109.000000,,,,,,-118184370598.000000,66075996093.000000,,27432064671.000000,-14284048469.000000,13148016202.000000,,24575144687.000000,-2572836732.000000,22002307955.000000,33799047272.000000,,,,,,-2386855000.000000,,,,,,,,,-931250788.000000,444730452.000000,,,,,,,,,,,,66075996093.000000,,-37519225313.000000,41898562017.000000,,,4379336704.000000
12M 2013,-12573308541.000000,144327337112.000000,-114721235030.000000,-12864169071.000000,,,,-17919931619.000000,2928113661.000000,-12091716097.000000,,-2231707497.000000,,-12573308541.000000,-53911694395.000000,-3308234363.000000,-53423247532.000000,2819787500.000000,,,,,,,,,,,,,-53911694395.000000,65631268396.000000,,35955172175.000000,-825231673.000000,35129940502.000000,,40620917314.000000,-3449504236.000000,37171413078.000000,,-3450020462.000000,,,,,-2702100000.000000,,,,,,,,,-403614139.000000,-114350583.000000,,,,,,,,,,,,65631268396.000000,,-853734540.000000,4379336704.000000,,,3525602164.000000
12M 2014,18404365965.000000,157969099498.000000,-90179105040.000000,-22682376850.000000,,,,-4765130539.000000,17229784.000000,-20628577958.000000,,-1326772930.000000,,18404365965.000000,-20455053510.000000,-16726514858.000000,-7703867360.000000,3880713124.000000,,,,,,,114350584.000000,,,-19735000.000000,,,-20455053510.000000,897992350.000000,,205820311197.000000,-197616018336.000000,8204292861.000000,,24430993051.000000,-16207172887.000000,8223820164.000000,,,-11649864229.000000,,,,-3118673749.000000,,,,,,,,,-761582697.000000,,,,,,,,,,,,,897992350.000000,,-1152695195.000000,3525602164.000000,5794564.000000,,2378701533.000000
12M 2015,11526309153.000000,122016885729.000000,-59074586276.000000,-20695565649.000000,,,,-5418923407.000000,5253598.000000,-23445355504.000000,,-1861399338.000000,,11526309153.000000,-3291335572.000000,,-3467648948.000000,180313376.000000,,,,,,,,,,-4000000.000000,,,-3291335572.000000,-7038188892.000000,,749069874.000000,,749069874.000000,,1414078831.000000,-8644414045.000000,-7230335214.000000,,,,,,,,,,,,,,,,-556923552.000000,,,,,,,,,,,,,-7038188892.000000,,1196784689.000000,2378701533.000000,,,3575486222.000000
12M 2016,26800455061.000000,126459204900.000000,-51499702433.000000,-18414328938.000000,,,,-12770143866.000000,27002893.000000,-15407383078.000000,,-1594194417.000000,,26800455061.000000,-42431000.000000,,-42431000.000000,,,,,,,,,,,,,,-42431000.000000,-26455528430.000000,,3472813661.000000,,3472813661.000000,,,,,,,,,,,,,,,,,,,,-7517028511.000000,241645109.000000,,100000000.000000,,,-22752958689.000000,,,,,,,-26455528430.000000,,302495631.000000,3575486222.000000,,,3877981853.000000
12M 2017,3113327823.000000,124045990120.000000,-64764670854.000000,-23590491397.000000,,,,-14826726999.000000,23544197.000000,-17784053110.000000,,9735866.000000,,3113327823.000000,11966406000.000000,,-36804000.000000,3210000.000000,,,12000000000.000000,,,,,,,,,,11966406000.000000,-13712961532.000000,,59851910129.000000,-65917031762.000000,-6065121633.000000,,6335863915.000000,-10231628763.000000,-3895764848.000000,,,,,,,,,,,,,,,,-3752075051.000000,,,,,,,,,,,,,-13712961532.000000,,1366772291.000000,3877981853.000000,,,5244754144.000000
12M 2018,5958807034.000000,96756203146.000000,-60718118682.000000,-22479596699.000000,,,,-5184858542.000000,34538130.000000,-2168142779.000000,,-281217540.000000,,5958807034.000000,-74897769.000000,,-74897769.000000,,,,,,,,,,,,,,-74897769.000000,-6984080482.000000,,,-1055045147.000000,-1055045147.000000,,,,,,,-2573867421.000000,,,,,,,,,,,,,-3355167914.000000,,,,,,,,,,,,,-6984080482.000000,,-1100171217.000000,5244754144.000000,,,4144582927.000000
12M 2019,6223367451.000000,137516975039.000000,-80813382205.000000,-27485288957.000000,,,,-20207192345.000000,39768242.000000,-2172378274.000000,,-655134049.000000,,6223367451.000000,128063818.000000,,-71936182.000000,200000000.000000,,,,,,,,,,,,,128063818.000000,1100000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100000000.000000,,,1100000000.000000,,7451431269.000000,4144582927.000000,,,11596014196.000000
