Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2009,0.00,1242.25,0.00,1242.25,14 B,14 B,28 B,25 B,(3 B)
12M 2010,0.00,118.40,0.00,118.40,10 B,4 B,14 B,11 B,8 B
12M 2011,1.55,193.16,1.55,193.16,16 B,1 B,18 B,(24 B),62 B
12M 2012,1.53,196.28,1.53,196.28,68 B,22 B,90 B,86 B,10 B
12M 2013,1.84,179.68,1.84,179.68,109 B,50 B,159 B,156 B,(18 B)
12M 2014,2.75,185.48,2.75,185.48,106 B,73 B,179 B,176 B,(22 B)
12M 2015,2.69,186.14,2.69,186.14,106 B,67 B,172 B,169 B,(8 B)
12M 2016,1.94,230.67,1.94,230.67,94 B,65 B,160 B,156 B,20 B
12M 2017,2.41,195.06,2.41,195.06,77 B,69 B,146 B,141 B,6 B
12M 2018,0.30,168.28,0.30,168.28,82 B,73 B,155 B,151 B,3 B
12M 2019,1.16,43.05,1.16,43.05,107 B,41 B,149 B,137 B,(47 B)
12M 2020,10.36,5.50,10.36,5.50,139 B,12 B,151 B,148 B,(98 B)
12M 2021,-25.09,-2.71,-25.09,-2.71,154 B,0 B,155 B,152 B,(111 B)
12M 2022,31.11,2.25,31.11,2.25,30 B,106 B,136 B,134 B,6 B
12M 2023,1.58,31.70,1.58,31.70,13 B,11 B,24 B,22 B,(53 B)
12M 2024,0.90,28.79,0.90,28.79,73 B,23 B,96 B,90 B,(38 B)
