Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Pendapatan Keuangan,Final,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Pos Luar Biasa,Others,Total Pos Luar Biasa,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Pos Luar Biasa,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Pos Luar Biasa,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,3020530044668.000000,-2460754841017.000000,559775203651.000000,-142500234528.000000,-120072068944.000000,-22500990405.000000,72824821.000000,-142500234528.000000,417274969123.000000,-272319961416.000000,-197384617318.000000,-79058055235.000000,106114086.000000,2165241961.000000,,1851355090.000000,-272319961416.000000,144955007707.000000,-61885115726.000000,,,-61885115726.000000,83069891981.000000,,,,83069891981.000000,,,83069891981.000000,83069891981.000000,,,83069891981.000000,,,,,
12M 2009,1641555178128.000000,-1829359302348.000000,-187804124220.000000,-85622266352.000000,-62824380817.000000,-22797705862.000000,-179673.000000,-85622266352.000000,-273426390572.000000,64196320017.000000,94378650330.000000,-32607064974.000000,211000000.000000,1571813501.000000,,641921160.000000,64196320017.000000,-209230070555.000000,50241329289.000000,,,50241329289.000000,-158988741266.000000,8933619755.000000,8933619755.000000,8933619755.000000,-150055121511.000000,,,-150055121511.000000,-158988741266.000000,,8933619755.000000,-150055121511.000000,,,,,
12M 2010,1710131747278.000000,-1413250956160.000000,296880791118.000000,-86789408078.000000,-58973826887.000000,-31783049131.000000,3967467940.000000,-86789408078.000000,210091383040.000000,4558039659.000000,13365437122.000000,-10964498646.000000,685639633.000000,329033104.000000,,1142428446.000000,4558039659.000000,214649422699.000000,-60025818648.000000,,,-60025818648.000000,154623604051.000000,16804010794.000000,16804010794.000000,16804010794.000000,171427614845.000000,,,171427614845.000000,154623604051.000000,,16804010794.000000,171427614845.000000,,,,,
12M 2011,2093544754762.000000,-1846950280693.000000,246594474069.000000,-113098974754.000000,-82730175435.000000,-30368799319.000000,,-113098974754.000000,133495499315.000000,6359798704.000000,,-6928215924.000000,,,,13288014628.000000,6359798704.000000,139855298019.000000,-40180348839.000000,,,-40180348839.000000,99674949180.000000,,,,99674949180.000000,-15564375.000000,99659384805.000000,99674949180.000000,99674949180.000000,,,99674949180.000000,99659384805.000000,99659384805.000000,,,99659384805.000000
12M 2012,1647928004308.000000,-1512090652332.000000,135837351976.000000,-75386097476.000000,-47543697418.000000,-27842400058.000000,,-75386097476.000000,60451254500.000000,1337809383.000000,,-7015787063.000000,,,,8353596446.000000,1337809383.000000,61789063883.000000,-15198021164.000000,,,-15198021164.000000,46591042719.000000,,,,46591042719.000000,960747863.000000,47551790582.000000,46591042719.000000,46591042719.000000,,,46591042719.000000,47551790582.000000,47551790582.000000,,,47551790582.000000
12M 2013,1410117393010.000000,-1195084143835.000000,215033249175.000000,-62904150051.000000,-30031387572.000000,-32872762479.000000,,-62904150051.000000,152129099124.000000,-30543696792.000000,,-11887211546.000000,,,,-18656485246.000000,-30543696792.000000,121585402332.000000,-29699714531.000000,,,-29699714531.000000,91885687801.000000,,,,91885687801.000000,-397631250.000000,91488056551.000000,91885687801.000000,91885687801.000000,,,91885687801.000000,91488056551.000000,91488056551.000000,,,91488056551.000000
12M 2014,1215611781842.000000,-1153721252048.000000,61890529794.000000,-65907256677.000000,-29863091174.000000,-36044165503.000000,,-65907256677.000000,-4016726883.000000,-14901407362.000000,,-13543858755.000000,,,,-1357548607.000000,-14901407362.000000,-18918134245.000000,4979839268.000000,,,4979839268.000000,-13938294977.000000,,,,-13938294977.000000,-26508750.000000,-13964803727.000000,-13938294977.000000,-13938294977.000000,,,-13938294977.000000,-13964803727.000000,-13964803727.000000,,,-13964803727.000000
12M 2015,913792626540.000000,-904111212203.000000,9681414337.000000,-76490955606.000000,-37619642965.000000,-38871312641.000000,,-76490955606.000000,-66809541269.000000,-6536557609.000000,,-13816545313.000000,,,,7279987704.000000,-6536557609.000000,-73346098878.000000,18133395026.000000,,,18133395026.000000,-55212703852.000000,,,,-55212703852.000000,-896287731.000000,-56108991583.000000,-55212703852.000000,-55212703852.000000,,,-55212703852.000000,-56108991583.000000,-56108991583.000000,,,-56108991583.000000
12M 2016,757282528180.000000,-647653123099.000000,109629405081.000000,-63744147163.000000,-21784556119.000000,-41959591044.000000,,-63744147163.000000,45885257918.000000,-371120005.000000,,-10239099310.000000,,,,9867979305.000000,-371120005.000000,45514137913.000000,-13809580895.000000,,,-13809580895.000000,31704557018.000000,,,,31704557018.000000,-3991596875.000000,27712960143.000000,31704557018.000000,31704557018.000000,,,31704557018.000000,27712960143.000000,27712960143.000000,,,27712960143.000000
12M 2017,1228528694746.000000,-1101594363771.000000,126934330975.000000,-82683475634.000000,-29848673722.000000,-52834801912.000000,,-82683475634.000000,44250855341.000000,-22345179586.000000,,-12605186192.000000,,,,-9739993394.000000,-22345179586.000000,21905675755.000000,-11620978441.000000,,,-11620978441.000000,10284697314.000000,,,,10284697314.000000,2871754742.000000,13156452056.000000,10284697314.000000,10284697314.000000,,,10284697314.000000,13156452056.000000,13156452056.000000,,,13156452056.000000
12M 2018,1556287984166.000000,-1555731948764.000000,556035402.000000,-104859344203.000000,-37586111310.000000,-67273232893.000000,,-104859344203.000000,-104303308801.000000,-22163467401.000000,,-12254968044.000000,,,-3724025000.000000,-6184474357.000000,-22163467401.000000,-126466776202.000000,38667918493.000000,,,38667918493.000000,-87798857709.000000,,,,-87798857709.000000,960560473.000000,-86838297236.000000,-87798857709.000000,-87798857709.000000,,,-87798857709.000000,-86838297236.000000,-86838297236.000000,,,-86838297236.000000
12M 2019,1852766916975.000000,-1705714518834.000000,147052398141.000000,-120031217834.000000,-42024196809.000000,-78007021025.000000,,-120031217834.000000,27021180307.000000,4286984396.000000,,-24406999492.000000,,,,28693983888.000000,4286984396.000000,31308164703.000000,-4500747982.000000,,,-4500747982.000000,26807416721.000000,,,,26807416721.000000,-5393197709.000000,21414219012.000000,26807416721.000000,26807416721.000000,,,26807416721.000000,21414219012.000000,21414219012.000000,,,21414219012.000000
12M 2020,1331774939496.000000,-1249199154803.000000,82575784693.000000,-94057093247.000000,-31695746178.000000,-62361347069.000000,,-94057093247.000000,-11481308554.000000,-56236924521.000000,,-27901608213.000000,,,,-28335316308.000000,-56236924521.000000,-67718233075.000000,-10127095730.000000,,,-10127095730.000000,-77845328805.000000,,,,-77845328805.000000,1065143538.000000,-76780185267.000000,-77845328805.000000,-77845328805.000000,,,-77845328805.000000,-76780185267.000000,-76780185267.000000,,,-76780185267.000000
12M 2021,1672251184142.000000,-1596978488567.000000,75272695575.000000,-106903711349.000000,-44506016848.000000,-62397694501.000000,,-106903711349.000000,-31631015774.000000,-45301999464.000000,,-38675417101.000000,,,,-6626582363.000000,-45301999464.000000,-76933015238.000000,13221469970.000000,,,13221469970.000000,-63711545268.000000,,,,-63711545268.000000,4330130858.000000,-59381414410.000000,-63711545268.000000,-63711545268.000000,,,-63711545268.000000,-59381414410.000000,-59381414410.000000,,,-59381414410.000000
12M 2022,2594504651438.000000,-2105990242478.000000,488514408960.000000,-125906530749.000000,-51625328783.000000,-74281201966.000000,,-125906530749.000000,362607878211.000000,-10433349723.000000,,-38789190913.000000,,,,28355841190.000000,-10433349723.000000,352174528488.000000,-78500614613.000000,-41435228340.000000,-37065386273.000000,-78500614613.000000,273673913875.000000,,,,273673913875.000000,-2804633222.000000,270869280653.000000,273673913875.000000,273673913875.000000,,,273673913875.000000,270869280653.000000,270869280653.000000,,,270869280653.000000
12M 2023,2524984145491.000000,-2062255515845.000000,462728629646.000000,-147018463300.000000,-61786420235.000000,-85232043065.000000,,-147018463300.000000,315710166346.000000,-37787421957.000000,,-55442245552.000000,,,,17654823595.000000,-37787421957.000000,277922744389.000000,-64934627919.000000,-62888128600.000000,-2046499319.000000,-64934627919.000000,212988116470.000000,,,,212988116470.000000,808125179.000000,213796241649.000000,212988116470.000000,212988116470.000000,,,212988116470.000000,213796241649.000000,213796241649.000000,,,213796241649.000000
12M 2024,2594517811912.000000,-2290290339421.000000,304227472491.000000,-167509226583.000000,-77212651645.000000,-90296574938.000000,,-167509226583.000000,136718245908.000000,-9739467413.000000,,-60926434233.000000,,,,51186966820.000000,-9739467413.000000,126978778495.000000,-22300779197.000000,-21689161560.000000,-611617637.000000,-22300779197.000000,104677999298.000000,,,,104677999298.000000,-163297331.000000,104514701967.000000,104677999298.000000,104677999298.000000,,,104677999298.000000,104514701967.000000,104514701967.000000,,,104514701967.000000
