Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,"Pembayaran Kepada Pemasok, Direktur Dan Karyawan",Adjustment,Penerimaan Penghasilan Bunga,Pembayaran Beban Bunga,Penerimaan Restitusi Pajak,Penerimaan Pendapatan Klaim,Penerimaan Laba Aset Tersedia Dijual,Pembayaran Pajak Penghasilan,Penerimaan Dari Aktivitas Operasi Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Dividen Kas,Perolehan Investasi Jangka Pendek,Hasil Penjualan Investasi Jangka Pendek,Penjualan Efek Tersedia Untuk Dijual,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Penambahan Properti Investasi,Penambahan Piutang Lain-Lain,Penambahan Aset Lancar Lainnya,(Penambahan) Pengurangan Aset Lancar Lainnya,Pengurangan Piutang Lain-Lain,Penambahan Uang Muka Pembelian,Uang Muka Pembelian Mesin,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Utang Bank Jangka Pendek,Penambahan Utang Bank Jangka Panjang,Pembayaran Dividen,Pembayaran Utang Bank Jangka Panjang,Penerimaan Piutang Pihak Berelasi,Penerimaan Dari Penawaran Umum Saham,Penambahan (Pengurangan) Hutang Lain-Lain,Penambahan (Pembayaran) Hutang Bank,Penjualan Saham Treasuri,Pembelian Kembali Saham,Pembayaran Hutang Lembaga Keuangan Bukan Bank,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,213874201718.000000,3087931920219.000000,-2711811729358.000000,,2165241961.000000,-44781424607.000000,,,,-119629806497.000000,,213874201718.000000,-89714475.000000,,,,,112000000.000000,-201714475.000000,,,,,,,,,-89714475.000000,9926632.000000,,,,,9926632.000000,,,,,,,9926632.000000,213794413875.000000,6795451150.000000,-15746455040.000000,204843409985.000000
12M 2009,-52402082152.000000,1648522531641.000000,-1642334080742.000000,,1571813501.000000,-21929499775.000000,,,,-38232846777.000000,,-52402082152.000000,-542765450.000000,,,,,211000000.000000,-643765450.000000,,-110000000.000000,,,,,,,-542765450.000000,-98851000000.000000,,,,,,160000000000.000000,,,,,-258851000000.000000,-98851000000.000000,-151795847602.000000,204843409985.000000,-12813160016.000000,40234402367.000000
12M 2010,-34995025328.000000,1902956859819.000000,-1879455341444.000000,,329033104.000000,-45681824995.000000,,,,-13143751812.000000,,-34995025328.000000,-1336490768.000000,,,,,848636364.000000,-2185127132.000000,,,,,,,,,-1336490768.000000,,,,,,,,,,,,,,-36331516096.000000,40234402367.000000,-182011110.000000,3720875161.000000
12M 2011,20585967602.000000,2164576246742.000000,-2141179581970.000000,,384000156.000000,-19500597272.000000,16305899946.000000,,,,,20585967602.000000,-20720137520.000000,,-1081223713.000000,,,138181818.000000,-19777095625.000000,,,,,,,,,-20720137520.000000,,,,,,,,,,,,,,-134169918.000000,3720875161.000000,-47045462.000000,3539659781.000000
12M 2012,370214801681.000000,1713785076989.000000,-1335712000072.000000,,4663389207.000000,-6841738885.000000,3892524681.000000,,,-15055120247.000000,5482670008.000000,370214801681.000000,-38979219996.000000,70690000.000000,-132681636.000000,,,985350000.000000,-39902578360.000000,,,,,,,,,-38979219996.000000,,,,,,,,,,,,,,331235581685.000000,3539659781.000000,2183512943.000000,336958754409.000000
12M 2013,192924779196.000000,1588440632099.000000,-1365133583024.000000,,8434220456.000000,-11214166338.000000,,,,-27602323997.000000,,192924779196.000000,-311189219933.000000,,-68550100000.000000,,,126000000.000000,-3272225520.000000,,-239492894413.000000,,,,,,,-311189219933.000000,,,,,,,,,,,,,,-118264440737.000000,336958754409.000000,3849910343.000000,222544224015.000000
12M 2014,220244499811.000000,1358489135928.000000,-1127405584471.000000,,6832973112.000000,-11259142543.000000,12809305547.000000,,,-20093662762.000000,871475000.000000,220244499811.000000,-216824103349.000000,,-80377508559.000000,,,383200000.000000,-136039794790.000000,,,-790000000.000000,,,,,,-216824103349.000000,32004906250.000000,,,,,,,833346250.000000,31171560000.000000,,,,32004906250.000000,35425302712.000000,222544224015.000000,12374621543.000000,270344148270.000000
12M 2015,-39316274672.000000,964090758566.000000,-986026316293.000000,,6122664689.000000,-14573139649.000000,,,,-8930241985.000000,,-39316274672.000000,-34925962011.000000,70690000.000000,10983152446.000000,,,72500000.000000,-46680566947.000000,,,628262490.000000,,,,,,-34925962011.000000,-33243702868.000000,,,,,,,4328397132.000000,-37572100000.000000,,,,-33243702868.000000,-107485939551.000000,270344148270.000000,-526255121.000000,162331953598.000000
12M 2016,87280999316.000000,885528858036.000000,-795919573561.000000,,1681720951.000000,-10643802526.000000,17406355059.000000,,,-10772558643.000000,,87280999316.000000,-63295742924.000000,,-886741355.000000,,,81250000.000000,-62345401137.000000,,,-144850432.000000,,,,,,-63295742924.000000,9486490868.000000,,,,,,,9486490868.000000,,,,,9486490868.000000,33471747260.000000,162331953598.000000,-1547553881.000000,194256146977.000000
12M 2017,31357855008.000000,1325165452661.000000,-1280423097898.000000,,2476827875.000000,-8182975329.000000,8929962413.000000,,,-16608314714.000000,,31357855008.000000,-61096081530.000000,,,,,,-61129162543.000000,,,33081013.000000,,,,,,-61096081530.000000,-5405405251.000000,,,,,,,-5405405251.000000,,,,,-5405405251.000000,-35143631773.000000,194256146977.000000,348683466.000000,159461198670.000000
