Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Properti Investasi,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Bank Jangka Pendek,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Lembaga Keuangan Lain,Utang Bank,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,204843409985.000000,,124682508724.000000,118125365109.000000,6557143615.000000,124682508724.000000,3121275803.000000,366475653.000000,2754800150.000000,3121275803.000000,1347395155421.000000,34781574460.000000,1714823924393.000000,,66585646886.000000,2235311177.000000,284867683810.000000,24267728792.000000,377956370665.000000,2092780295058.000000,,,1913424083846.000000,,1235137846654.000000,55400182697.000000,1290538029351.000000,2974802569.000000,,,2974802569.000000,,15427377100.000000,46033874826.000000,,558450000000.000000,,,558450000000.000000,,1913424083846.000000,6142972481.000000,,,,,6142972481.000000,6142972481.000000,1919567056327.000000,,425286000000.000000,,-252072761269.000000,,173213238731.000000,2092780295058.000000,425286000.000000
12M 2009,,,40234402367.000000,,196962760520.000000,195402478434.000000,1560282086.000000,196962760520.000000,5330937180.000000,4457337863.000000,873599317.000000,5330937180.000000,234313675542.000000,64160165450.000000,541001941059.000000,,116826976175.000000,2345311177.000000,255836745163.000000,54726110521.000000,429735143036.000000,970737084095.000000,,,488515367520.000000,,361072825717.000000,56400000000.000000,417472825717.000000,1272740647.000000,,,1272740647.000000,,6588010178.000000,63181790978.000000,,,,,,,488515367520.000000,7936044340.000000,,,,,7936044340.000000,7936044340.000000,496451411860.000000,,820000000000.000000,56413555015.000000,-402127882780.000000,,474285672235.000000,970737084095.000000,8200000000.000000
12M 2010,,,3720875161.000000,6046577601.000000,89918675022.000000,77699773574.000000,12218901448.000000,89918675022.000000,4158879344.000000,3613699194.000000,545180150.000000,4158879344.000000,556893664606.000000,48858928470.000000,709597600204.000000,,56801157527.000000,981311177.000000,246469275174.000000,60720268670.000000,364972012548.000000,1074569612752.000000,,,419815817120.000000,,312532154596.000000,64490483236.000000,377022637832.000000,,1900803124.000000,,1900803124.000000,,7019337231.000000,9989883707.000000,,,,,,23883155226.000000,419815817120.000000,9040508552.000000,,,,,9040508552.000000,9040508552.000000,428856325672.000000,,820000000000.000000,56413555015.000000,-230700267935.000000,,645713287080.000000,1074569612752.000000,8200000000.000000
12M 2011,,,3539659781.000000,7141108555.000000,114577569707.000000,94552025238.000000,20025544469.000000,114577569707.000000,4545797447.000000,3729766187.000000,816031260.000000,4545797447.000000,470310785235.000000,66731966961.000000,666846887686.000000,,16625996813.000000,981311177.000000,253003551355.000000,40004928979.000000,310615788324.000000,977462676010.000000,,,220681090241.000000,,54077650630.000000,141401722386.000000,195479373016.000000,,849133348.000000,,849133348.000000,,5323674964.000000,10830998954.000000,,,,,,8197909959.000000,220681090241.000000,11408913884.000000,,,,,11408913884.000000,11408913884.000000,232090004125.000000,,820000000000.000000,56413555015.000000,-131025318755.000000,-15564375.000000,745372671885.000000,977462676010.000000,8200000000.000000
12M 2012,,,336958754409.000000,12153486644.000000,175819267097.000000,150009645579.000000,25809621518.000000,175819267097.000000,5095496014.000000,5087814883.000000,7681131.000000,5095496014.000000,257229052211.000000,38692765766.000000,825948822141.000000,,2533587122.000000,981311177.000000,320878076916.000000,13629259486.000000,338022234701.000000,1163971056842.000000,,,356946246804.000000,,177059194881.000000,142644004999.000000,319703199880.000000,,7017142261.000000,2245616814.000000,9262759075.000000,,1108962690.000000,11235860582.000000,,,,,,15635464577.000000,356946246804.000000,14100347571.000000,,,,,14100347571.000000,14100347571.000000,371046594375.000000,,820000000000.000000,56413555015.000000,-84434276036.000000,945183488.000000,792924462467.000000,1163971056842.000000,8200000000.000000
12M 2013,,,222544224015.000000,98881626949.000000,141979420614.000000,110642066411.000000,31337354203.000000,141979420614.000000,,,,,140464144159.000000,261962194938.000000,865831610675.000000,,1234935091.000000,981311177.000000,309819502723.000000,13629259486.000000,325665008477.000000,1191496619152.000000,,,289689021437.000000,,179209313049.000000,73134000000.000000,252343313049.000000,,219402000.000000,,219402000.000000,,2844840927.000000,13868556035.000000,,,,,,20412909426.000000,289689021437.000000,17395078697.000000,,,,,17395078697.000000,17395078697.000000,307084100134.000000,,820000000000.000000,56413555015.000000,7451411765.000000,547552238.000000,884412519018.000000,1191496619152.000000,8200000000.000000
12M 2014,,,270344148270.000000,18670186694.000000,123727140038.000000,99921274730.000000,23805865308.000000,123727140038.000000,790000000.000000,790000000.000000,,790000000.000000,208434322075.000000,28551892717.000000,650517689794.000000,,6223610609.000000,981311177.000000,677473284056.000000,19426674309.000000,704104880151.000000,1354622569945.000000,,,462845556161.000000,,236584699910.000000,140578970754.000000,377163670664.000000,,1065482000.000000,,1065482000.000000,,1129853787.000000,19152774685.000000,,,,,,64333775025.000000,462845556161.000000,21329298493.000000,,,,,21329298493.000000,21329298493.000000,484174854654.000000,,820000000000.000000,56413555015.000000,-6486883212.000000,521043488.000000,870447715291.000000,1354622569945.000000,8200000000.000000
12M 2015,,,162331953598.000000,7956234245.000000,118600025773.000000,77734724105.000000,40865301668.000000,118600025773.000000,161737510.000000,161737510.000000,,161737510.000000,108193612870.000000,17518349943.000000,414761913939.000000,,27965342789.000000,981311177.000000,711868978631.000000,28356636721.000000,769172269318.000000,1183934183257.000000,,,341082784842.000000,,158375888101.000000,137950000000.000000,296325888101.000000,,5393879132.000000,,5393879132.000000,,1137515543.000000,24270279344.000000,,,,,,13955222722.000000,341082784842.000000,38441398438.000000,,,,,38441398438.000000,38441398438.000000,379524183280.000000,,820000000000.000000,56413555015.000000,-60505940098.000000,-11497614940.000000,804409999977.000000,1183934183257.000000,8200000000.000000
12M 2016,,,194256146977.000000,8961123320.000000,89453546278.000000,60047972278.000000,29405574000.000000,89453546278.000000,306587942.000000,306587942.000000,,306587942.000000,157354192666.000000,17306061064.000000,467637658247.000000,,15486294185.000000,981311177.000000,753802085246.000000,19702521055.000000,789972211663.000000,1257609869910.000000,,,377013051111.000000,,169027290420.000000,134920560969.000000,303947851389.000000,,1877004003.000000,13570360000.000000,15447364003.000000,,926898379.000000,14476106750.000000,,,,,,42214830590.000000,377013051111.000000,48473858679.000000,,,,,48473858679.000000,48473858679.000000,425486909790.000000,,820000000000.000000,56413555015.000000,-28801383080.000000,-15489211815.000000,832122960120.000000,1257609869910.000000,8200000000.000000
12M 2017,,,159461198670.000000,8825174687.000000,88898661742.000000,65593139225.000000,23305522517.000000,88898661742.000000,273506929.000000,273506929.000000,,273506929.000000,159301167748.000000,35259534664.000000,452019244440.000000,,11369271163.000000,981311177.000000,803665227329.000000,18919666356.000000,834935476025.000000,1286954720465.000000,,,392632933617.000000,,190292487968.000000,143105558560.000000,333398046528.000000,,930928752.000000,9111030000.000000,10041958752.000000,,1481750080.000000,22957176989.000000,,,,,,24754001268.000000,392632933617.000000,49042374672.000000,,,,,49042374672.000000,49042374672.000000,441675308289.000000,,820000000000.000000,56413555015.000000,-18516685766.000000,-12617457073.000000,845279412176.000000,1286954720465.000000,8200000000.000000
