Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Karyawan Dan Direksi,Direksi Dan Karyawan,Pemasok,Total Pembayaran Kepada Pemasok Karyawan Dan Direksi,Penurunan (Kenaikan) Uang Muka Dan Biaya Dibayar Dimuka,"Pembayaran Beban Administrasi, Umum Dan Lainnya",Pembayaran Bunga,Penghasilan Keuangan,Beban Keuangan,Pembayaran Pajak,Penerimaan Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pelepasan Investasi Saham Entitas Anak,Pengembalian (Pembayaran) Uang Jaminan Proyek,Penambahan Kepemilikan Saham Di Entitas Anak,Pembayaran Pesangon Pensiun,Penambahan Aset Keuangan,Penjualan Aset Keuangan,Hasil Penjualan Aset Tetap,Uang Muka Penjualan Aset Tetap,Perolehan Aset Tetap,Perolehan Proyek Dalam Penyelesaian,Penambahan Aset Lain-Lain,Penambahan Uang Muka,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman Bank Jangka Pendek,Penerimaan Pinjaman Bank Jangka Panjang,Utang Kepada Pihak Ketiga,Pembayaran Provisi Dan Administrasi Pinjaman Bank,Pembayaran Utang Kepada Pihak Berelasi,Penambahan Utang Pada Pihak Yang Berelasi,Penambahan Piutang Pada Pihak Yang Berelasi,Penerimaan Dari Pihak Berelasi,Pembayaran Utang Bank,Pembayaran Utang Sewa Guna Usaha,Pembayaran Pinjaman Jangka Panjang,Penerimaan Pinjaman Lembaga Keuangan,Pembayaran Premi Pinjaman Jangka Panjang,Hasil Penawaran Umum Saham Perdana,Penambahan Modal Dari Hasil Ipo,Pembayaran Jasa Restrukturisasi Pinjaman Jangka Panjang,Penambahan Modal Dari Put I,Pelaksanaan Waran Seri I,Pelaksanaan Waran Seri Ii,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Entitas Anak Yang Dilepas,Kas Dan Setara Kas Akhir Periode
12M 2008,-28502221308.000000,165540555338.000000,-159801768425.000000,,,-159801768425.000000,,-24606508367.000000,-7784722615.000000,,,-1849777239.000000,,-28502221308.000000,-315198376433.000000,,,-308750000000.000000,,,,,,-346055050.000000,-5459341192.000000,-642980191.000000,,-315198376433.000000,341716454573.000000,,,,,,16000000000.000000,,,-11995946431.000000,-185991200.000000,,,,337898392204.000000,,,,,,341716454573.000000,-1984143168.000000,5774839276.000000,,3790696108.000000
12M 2009,-15795854706.000000,108634022256.000000,-83620480077.000000,,,-83620480077.000000,,-33426317817.000000,-6939956028.000000,,,-443123040.000000,,-15795854706.000000,5513704692.000000,,,-540000000.000000,,,278644727.000000,,7500000000.000000,-389149544.000000,-1448794649.000000,113004158.000000,,5513704692.000000,7197555852.000000,,,,,,2315809120.000000,,,4938234559.000000,-71730627.000000,,,,,,,,15242800.000000,,7197555852.000000,-3084594162.000000,3790696108.000000,,706101946.000000
12M 2010,-12533968658.000000,70292980766.000000,,-3747457820.000000,-68565512402.000000,-72312970222.000000,,-6714887193.000000,-1616187746.000000,,,-2182904263.000000,,-12533968658.000000,36759099705.000000,1374500000.000000,,,,,,25413800000.000000,12000000000.000000,-182395000.000000,-1215466855.000000,-291483814.000000,-339854626.000000,36759099705.000000,3741106256.000000,,,,,-15093222670.000000,,,439517154.000000,-801500000.000000,-102811200.000000,-349210017045.000000,,-190328323574.000000,,,-45454545455.000000,604292003746.000000,5300.000000,,3741106256.000000,27966237303.000000,706101945.000000,,28672339248.000000
12M 2011,-29718905483.000000,35560497357.000000,-50769991070.000000,,,-50769991070.000000,,-8412867645.000000,-129434994.000000,,,-5967109131.000000,,-29718905483.000000,55903251021.000000,1000000.000000,27801348000.000000,-2925000000.000000,,,,46749577783.000000,,-3315472489.000000,-2940966425.000000,-7910374580.000000,-1556861268.000000,55903251021.000000,-36147390562.000000,,,,,-6381150648.000000,,,6830648910.000000,-1860000000.000000,-102811200.000000,-13486500000.000000,,-21147591508.000000,,,,,13884.000000,,-36147390562.000000,-9963045024.000000,28672339248.000000,,18709294224.000000
12M 2012,-31490748499.000000,48811500203.000000,-71237968079.000000,,,-71237968079.000000,,-6880366696.000000,-45882659.000000,,,-3679048167.000000,1541016899.000000,-31490748499.000000,24422969420.000000,43924530000.000000,,,,-14009491694.000000,4043227999.000000,45542424.000000,,-3473464309.000000,-6107375000.000000,,,24422969420.000000,31500.000000,,,,,,,,,,,,,,,,,,,31500.000000,31500.000000,-7067747579.000000,18709294224.000000,-7304991.000000,11634241654.000000
12M 2013,-26374624720.000000,20642615355.000000,-38207270492.000000,,,-38207270492.000000,,-6033905093.000000,-2046527785.000000,,,-1469064064.000000,739527359.000000,-26374624720.000000,-59250308101.000000,,-27500000000.000000,,,-46475000000.000000,20872027179.000000,303800000.000000,,-413127732.000000,-6038007548.000000,,,-59250308101.000000,74678209251.000000,20000000000.000000,50000000000.000000,6200000000.000000,-957000000.000000,,,,,,,-564842409.000000,,,,,,,,51660.000000,74678209251.000000,-10946723570.000000,11634241654.000000,,687518084.000000
12M 2014,-51115372756.000000,2927485926.000000,-40008813460.000000,,,-40008813460.000000,,,,6273739020.000000,-20949363524.000000,-258857465.000000,900436747.000000,-51115372756.000000,-405755645212.000000,,27500000000.000000,,,,41935000000.000000,181818.000000,,-475190827030.000000,,,,-405755645212.000000,471130585230.000000,,559575000000.000000,-18123154024.000000,-886103155.000000,,,,,,,-69435157591.000000,,,,,,,,,471130585230.000000,14259567262.000000,687518084.000000,,14947085346.000000
12M 2015,-110572481288.000000,213828076560.000000,-275450465487.000000,,,-275450465487.000000,,,,,-47174896075.000000,-2267573000.000000,492376714.000000,-110572481288.000000,-13150096524.000000,,,,,,1067640.000000,,,-13151164164.000000,,,,-13150096524.000000,115113945874.000000,,133873284779.000000,-18759338905.000000,,,,,,,,,,,,,,,,,115113945874.000000,-8608631938.000000,14947085346.000000,,6338453408.000000
12M 2016,89519381901.000000,223582288901.000000,-83482580147.000000,,,-83482580147.000000,,,,,-50163344458.000000,-454329960.000000,37347565.000000,89519381901.000000,-3316600892.000000,,,,,,,,,-3316600892.000000,,,,-3316600892.000000,-92015928049.000000,,,-2545053049.000000,,,,,,-89470875000.000000,,,,,,,,,,,-92015928049.000000,-5813147040.000000,6338453408.000000,,525306368.000000
12M 2017,21819141542.000000,179463519009.000000,-128709441263.000000,,,-128709441263.000000,,,,,-28560393181.000000,-403773968.000000,29230945.000000,21819141542.000000,-243500000.000000,,,,,,,,,-243500000.000000,,,,-243500000.000000,-20062574156.000000,,,-484796000.000000,,,,,,-19577778156.000000,,,,,,,,,,,-20062574156.000000,1513067386.000000,525306367.000000,,2038373753.000000
12M 2018,-881174000.000000,59872125565.000000,-60676323634.000000,,,-60676323634.000000,,,,,,-88037473.000000,11061542.000000,-881174000.000000,,,,,,,,,,,,,,,-245214500.000000,,,-245214500.000000,,,,,,,,,,,,,,,,,-245214500.000000,-1126388500.000000,2038373753.000000,,911985253.000000
