Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Atas Penjualan Aset Tetap,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Keuntungan Atas Penjualan Entitas Anak,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,160562545233.000000,-168809333468.000000,-8246788235.000000,-25632793528.000000,,,,-25632793528.000000,-33879581763.000000,-64221957729.000000,,,,,,-64221957729.000000,-64221957729.000000,-98101539492.000000,308151662.000000,-97793387830.000000,-201669755.000000,-97995057585.000000,,,-97995057585.000000,-97793387830.000000,-201669755.000000,-97995057585.000000,,,,
12M 2009,108938486350.000000,-119873272622.000000,-10934786272.000000,-23731542910.000000,,,,-23731542910.000000,-34666329182.000000,54425876502.000000,,,,,,54425876502.000000,54425876502.000000,19759547320.000000,575964278.000000,20335511598.000000,-180887913.000000,20154623685.000000,,,20154623685.000000,20335511598.000000,-180887913.000000,20154623685.000000,,,,
12M 2010,76279430933.000000,-76658281713.000000,-378850780.000000,-16667973618.000000,-432542251.000000,-16235431367.000000,,-16667973618.000000,-17046824398.000000,-470159904291.000000,14336752765.000000,,-1616187747.000000,15917390206.000000,49288392387.000000,-548086251902.000000,-470159904291.000000,-487206728689.000000,301055086.000000,-486905673603.000000,649817923.000000,-486255855680.000000,,,-486255855680.000000,-486905673603.000000,649817923.000000,-486255855680.000000,,,,
12M 2011,25340583227.000000,-30288646796.000000,-4948063569.000000,-24739892697.000000,-388899985.000000,-24350992712.000000,,-24739892697.000000,-29687956266.000000,10075164872.000000,11138138234.000000,468579501.000000,-129434994.000000,-1505433530.000000,,103315661.000000,10075164872.000000,-19612791394.000000,193357372.000000,-19419434022.000000,,-19419434022.000000,,-19419434022.000000,-19419434022.000000,-18629547171.000000,-789886851.000000,-19419434022.000000,-19419434022.000000,-18629547171.000000,-789886851.000000,-19419434022.000000
12M 2012,44640183225.000000,-48298899160.000000,-3658715935.000000,39095447255.000000,-252701644.000000,-26316968292.000000,65665117191.000000,39095447255.000000,35436731320.000000,615872164.000000,,661754823.000000,-45882659.000000,,,,615872164.000000,36052603484.000000,493087249.000000,36545690733.000000,,36545690733.000000,-3600000.000000,36542090733.000000,36545690733.000000,36596330304.000000,-50639571.000000,36545690733.000000,36542090733.000000,36592730304.000000,-50639571.000000,36542090733.000000
12M 2013,11868785724.000000,-11508444825.000000,360340899.000000,-25891461125.000000,-229171724.000000,-30140652730.000000,4478363329.000000,-25891461125.000000,-25531120226.000000,70938499.000000,,2849466284.000000,-2778527785.000000,,,,70938499.000000,-25460181727.000000,1243626122.000000,-24216555605.000000,,-24216555605.000000,5995642226.000000,-18220913379.000000,-24216555605.000000,-24216546341.000000,-9264.000000,-24216555605.000000,-18220913379.000000,-18220904115.000000,-9264.000000,-18220913379.000000
12M 2014,34719548322.000000,-23104144856.000000,11615403466.000000,-23670019996.000000,-117529506.000000,-22886829676.000000,-665660814.000000,-23670019996.000000,-12054616530.000000,-5792078475.000000,,6273739020.000000,-12065817495.000000,,,,-5792078475.000000,-17846695005.000000,320407753.000000,-17526287252.000000,,-17526287252.000000,1335341799.000000,-16190945453.000000,-17526287252.000000,-17526280772.000000,-6480.000000,-17526287252.000000,-16190945453.000000,-16190939034.000000,-6419.000000,-16190945453.000000
12M 2015,241207422568.000000,-222036839167.000000,19170583401.000000,-102410288150.000000,-11075632598.000000,-19354586682.000000,-71980068870.000000,-102410288150.000000,-83239704749.000000,-49085810958.000000,,113321408.000000,-49199132366.000000,,,,-49085810958.000000,-132325515707.000000,-23421115224.000000,-155746630931.000000,,-155746630931.000000,-39186056.000000,-155785816987.000000,-155746630931.000000,-155746507362.000000,-123569.000000,-155746630931.000000,-155785816987.000000,-155785693418.000000,-123569.000000,-155785816987.000000
12M 2016,161367353686.000000,-194927597553.000000,-33560243867.000000,5831844910.000000,-2220570100.000000,-14063878178.000000,22116293188.000000,5831844910.000000,-27728398957.000000,-55737806225.000000,,26565839.000000,-55764372064.000000,,,,-55737806225.000000,-83466205182.000000,-19294473696.000000,-102760678878.000000,,-102760678878.000000,665126760.000000,-102095552118.000000,-102760678879.000000,-102760597680.000000,-81199.000000,-102760678879.000000,-102095552119.000000,-102095470920.000000,-81199.000000,-102095552119.000000
12M 2017,144027720203.000000,-179152180936.000000,-35124460733.000000,-17927257088.000000,-676585199.000000,-13486978259.000000,-3763693630.000000,-17927257088.000000,-53051717821.000000,-52007374210.000000,,9400441.000000,-52016774651.000000,,,,-52007374210.000000,-105059092031.000000,-20645170201.000000,-125704262232.000000,,-125704262232.000000,-392344866.000000,-126096607098.000000,-125704262232.000000,-125704161620.000000,-100612.000000,-125704262232.000000,-126096607098.000000,-126096506486.000000,-100612.000000,-126096607098.000000
12M 2018,2871460630.000000,-48177398333.000000,-45305937703.000000,-60725095134.000000,-57012790.000000,-8948480002.000000,-51719602342.000000,-60725095134.000000,-106031032837.000000,-10364805185.000000,,1468603.000000,-10366273788.000000,,,,-10364805185.000000,-116395838022.000000,-8372059521.000000,-124767897543.000000,,-124767897543.000000,1394967900.000000,-123372929643.000000,-124767897543.000000,-124767797282.000000,-100261.000000,-124767897543.000000,-123372929643.000000,-123372829382.000000,-100261.000000,-123372929643.000000
