Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Aset Tetap,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Pajak,Beban Akrual,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Pinjaman Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Lain Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Pihak Berelasi,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Pinjaman Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Others,Total Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,3790696108.000000,1182895388.000000,,1182895388.000000,1182895388.000000,161601490.000000,161601490.000000,,161601490.000000,13632122445.000000,1279884843.000000,20047200274.000000,,8911014669.000000,942611885.000000,1090868418418.000000,,3754892880.000000,1104476937852.000000,1124524138126.000000,,,147839372620.000000,7580100721.000000,,18496356638.000000,4472176630.000000,22968533268.000000,6511900012.000000,4676895511.000000,,15785983929.000000,2321805013.000000,18107788942.000000,,,6310000000.000000,83180000.000000,,6393180000.000000,,81600974166.000000,147839372620.000000,471172014980.000000,,,,12427388938.000000,166362160.000000,421541435026.000000,16000000000.000000,450135186124.000000,21036828856.000000,471172014980.000000,619011387600.000000,,636000000000.000000,,636000000000.000000,201898392204.000000,-1990518288662.000000,1971834690.000000,1656160812294.000000,505512750526.000000,1124524138126.000000,3860000000.000000
12M 2009,,,706101946.000000,166465065.000000,165591006.000000,874059.000000,166465065.000000,100821554.000000,91279908.000000,9541646.000000,100821554.000000,2550546003.000000,1691191853.000000,5215126421.000000,,7341988833.000000,1518576163.000000,1080782660621.000000,,3641888722.000000,1093285114339.000000,1098500240760.000000,,,152252408910.000000,2661500000.000000,,19666723840.000000,7953094874.000000,27619818714.000000,7756080424.000000,7162270301.000000,,3560746013.000000,17929659480.000000,21490405493.000000,,2164180800.000000,9613292322.000000,94629373.000000,,11872102495.000000,,73690231483.000000,152252408910.000000,420401276927.000000,2501140980.000000,,,18980931896.000000,83182160.000000,362696517045.000000,13650487340.000000,395411118441.000000,22489017506.000000,420401276927.000000,572653685837.000000,,636005752000.000000,,636005752000.000000,201907883004.000000,-1970363664977.000000,2135772602.000000,1656160812294.000000,525846554923.000000,1098500240760.000000,3860000000.000000
12M 2010,,,28672339248.000000,7717014189.000000,883671718.000000,6833342471.000000,7717014189.000000,29870591.000000,29870591.000000,,29870591.000000,544971790.000000,6452469308.000000,43416665126.000000,,6830648910.000000,1819631249.000000,730972471107.000000,,3124130097.000000,742746881363.000000,786163546489.000000,,,125279945082.000000,1860000000.000000,,15405271804.000000,725629185.000000,16130900989.000000,27051970529.000000,3644424359.000000,,62901887105.000000,,62901887105.000000,,,,83180000.000000,13486500000.000000,13569680000.000000,,121082100.000000,125279945082.000000,25569001369.000000,5655521463.000000,,,,,,,,19913479906.000000,25569001369.000000,150848946451.000000,,1234314668600.000000,,1234314668600.000000,200617668382.000000,-2456619520658.000000,840971419.000000,1656160812294.000000,635314600037.000000,786163546488.000000,7913117916.000000
12M 2011,,,18709294224.000000,,,,,29728900.000000,29728900.000000,,29728900.000000,6069684103.000000,10835652114.000000,35644359341.000000,,,2012988621.000000,696082535582.000000,,10841147305.000000,708936671508.000000,744581030849.000000,,,55728502961.000000,,,8692130545.000000,,8692130545.000000,1298444592.000000,4314191359.000000,,38916257233.000000,,38916257233.000000,,,,,,,,2507479232.000000,55728502961.000000,13920641769.000000,,,,,,,,,13920641769.000000,13920641769.000000,69649144730.000000,,1273058523800.000000,,1273058523800.000000,213626496162.000000,-2467965030705.000000,51084568.000000,1656160812294.000000,674931886119.000000,744581030849.000000,8687994242.000000
12M 2012,,,11634241654.000000,2194438593.000000,,2194438593.000000,2194438593.000000,6816700.000000,1000000.000000,5816700.000000,6816700.000000,3838295793.000000,17882438219.000000,35556230959.000000,,,2506075870.000000,702271149737.000000,,419714826.000000,705196940433.000000,740753171392.000000,,,15460305339.000000,,,3785851919.000000,,3785851919.000000,1163551095.000000,997518055.000000,,9513384270.000000,,9513384270.000000,,,,,,,,,15460305339.000000,13835771295.000000,,,,,,,,,13835771295.000000,13835771295.000000,29296076634.000000,,1273058553800.000000,,1273058553800.000000,213626497662.000000,-2431389213995.000000,444997.000000,1656160812294.000000,711457094758.000000,740753171392.000000,8687995242.000000
12M 2013,,,687518084.000000,410863402.000000,,410863402.000000,410863402.000000,2528905.000000,2373945.000000,154960.000000,2528905.000000,3464928952.000000,72673993649.000000,77239832992.000000,,,3749701992.000000,706919287138.000000,,840368630.000000,711509357760.000000,788749190752.000000,,,55576171175.000000,20000000000.000000,,2986677248.000000,,2986677248.000000,292593043.000000,709759072.000000,,16627674774.000000,14959467038.000000,31587141812.000000,,,,,,,,,55576171175.000000,39936786538.000000,,,,34475690553.000000,,,,34475690553.000000,5461095985.000000,39936786538.000000,95512957713.000000,,1273058603000.000000,,1273058603000.000000,213626500122.000000,-2449610118110.000000,435733.000000,1656160812294.000000,693236233039.000000,788749190752.000000,8687995734.000000
12M 2014,,,14947085346.000000,35674876373.000000,,35674876373.000000,35674876373.000000,401298618.000000,401298618.000000,,401298618.000000,16458960535.000000,60356200063.000000,127838420935.000000,,,4070109745.000000,1166313037158.000000,,1093468905.000000,1171476615808.000000,1299315036743.000000,,,71285195690.000000,,,23691633630.000000,,23691633630.000000,1511564213.000000,8362699411.000000,,37719298436.000000,,37719298436.000000,,,,,,,,,71285195690.000000,550984553467.000000,,,,545988901094.000000,,,,545988901094.000000,4995652373.000000,550984553467.000000,622269749157.000000,,1273058603000.000000,,1273058603000.000000,221429935332.000000,-2467136398882.000000,429314.000000,1649692718822.000000,677045287586.000000,1299315036743.000000,8687995734.000000
12M 2015,,,6338453408.000000,81084809559.000000,,81084809559.000000,81084809559.000000,23291041886.000000,23291041886.000000,,23291041886.000000,126054995613.000000,78831468435.000000,315600768901.000000,,,,1139428690356.000000,,901749205.000000,1140330439561.000000,1455931208462.000000,,,392667295535.000000,,,82152699310.000000,,82152699310.000000,43145212.000000,3086780469.000000,,7343420544.000000,300041250000.000000,307384670544.000000,,,,,,,,,392667295535.000000,542010305854.000000,,19757644186.000000,,515414674433.000000,,,,515414674433.000000,6837987235.000000,542010305854.000000,934677601389.000000,,1273058603000.000000,,1273058603000.000000,221429935332.000000,-2621719973990.000000,305781.000000,1648484736950.000000,521253607073.000000,1455931208462.000000,8687995734.000000
12M 2016,,,525306367.000000,66478156631.000000,,66478156631.000000,66478156631.000000,795117104.000000,795117104.000000,,795117104.000000,39260581612.000000,53213071079.000000,160272232793.000000,,,,1102560689720.000000,,893910805.000000,1103454600525.000000,1263726833318.000000,,,444595675025.000000,201540000000.000000,,86244662679.000000,,86244662679.000000,45172593.000000,5184969669.000000,,425870084.000000,,425870084.000000,,,151155000000.000000,,,151155000000.000000,,,444595675025.000000,399973103338.000000,,39273826802.000000,,354143711106.000000,,,,354143711106.000000,6555565430.000000,399973103338.000000,844568778363.000000,,1273058603000.000000,,1273058603000.000000,221429935332.000000,-2724480571670.000000,224582.000000,1649149863711.000000,419158054955.000000,1263726833318.000000,8687995734.000000
12M 2017,,,2038373753.000000,58025845081.000000,,58025845081.000000,58025845081.000000,330391584.000000,330391584.000000,,330391584.000000,12783177957.000000,34088604159.000000,107266392534.000000,,,,1062719145917.000000,,1249072405.000000,1063968218322.000000,1171234610856.000000,,,318104922819.000000,203220000000.000000,,80002707712.000000,,80002707712.000000,351413519.000000,33975960489.000000,,554841099.000000,,554841099.000000,,,,,,,,,318104922819.000000,560068240180.000000,,59788215381.000000,,491869747805.000000,,,,491869747805.000000,8410276994.000000,560068240180.000000,878173162999.000000,,1273058603000.000000,,1273058603000.000000,221429935332.000000,-2850184733290.000000,123970.000000,1648757518845.000000,293061447857.000000,1171234610856.000000,8687995734.000000
