Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada:,Pemasok,Beban Usaha,Total Pembayaran Kepada:,Pembayaran Pajak,Pembayaran Beban Keuangan,Lain-Lain,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Uang Muka Untuk Perolehan Aset Tetap,Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Hasil Penjualan Aset Tetap,Reklas Uang Muka Asset,Perolehan Aset Lainnya,Aset Lainnya,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Perolehan Dari Penawaran Umum Perdana Setelah Dikurangi Biaya Emisi,Perolehan Dari Pmhmetd Setelah Dikurangi Biaya Emisi,Perolehan Modal Dari Konversi Waran,Pembayaran Pinjaman Bank,Penerimaan Pinjaman Bank,Penerimaan Dari Setoran Modal Saham,Utang Lain-Lain,Pembayaran Liabilitas Sewa,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Utang Sewa Pembiayaan,Pembayaran Dividen,Penerimaan Utang Sewa Pembiayaan,Penerimaan Utang Pembiayaan Konsumen,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2018,-806515006.000000,48082036022.000000,,-44353855656.000000,-1271738420.000000,-45625594076.000000,-443640691.000000,-2770810913.000000,-48505348.000000,,-806515006.000000,-180200000.000000,,-180200000.000000,,,,,,,-180200000.000000,997214261.000000,,,,-347422399.000000,99200883.000000,2000000000.000000,,,,-754564223.000000,,,,,997214261.000000,,10499255.000000,607668047.000000,,,618167302.000000
12M 2019,3888588119.000000,53500246511.000000,,-45118962566.000000,-1807179470.000000,-46926142036.000000,-275785808.000000,-2345682089.000000,-64048459.000000,,3888588119.000000,-39324955204.000000,-30325000000.000000,-8999955204.000000,,,,,,,-39324955204.000000,35952575671.000000,27268800000.000000,,,-19720393440.000000,18000000000.000000,10000000000.000000,3840000000.000000,,,-2400905889.000000,-2000000000.000000,965075000.000000,,,35952575671.000000,,516208586.000000,618167302.000000,,,1134375888.000000
12M 2020,1435906694.000000,46769987253.000000,,-38690592410.000000,-3742035524.000000,-42432627934.000000,-393877610.000000,-2511483746.000000,3908731.000000,,1435906694.000000,-2393965358.000000,-1795729651.000000,-579237607.000000,-18998100.000000,,,,,,-2393965358.000000,1282325804.000000,,,,-34580495716.000000,40759434089.000000,1200.000000,-3840000000.000000,,,-1610400363.000000,-595783406.000000,1149570000.000000,,,1282325804.000000,,324267140.000000,1134375888.000000,,,1458643028.000000
12M 2021,-914049870.000000,52397247641.000000,,-46820599389.000000,-3398538471.000000,-50219137860.000000,-168961734.000000,-2931396189.000000,8198272.000000,,-914049870.000000,-2492354807.000000,-2081204808.000000,-410149999.000000,-1000000.000000,,,,,,-2492354807.000000,3321571060.000000,,,,-13768689647.000000,16502181731.000000,83448480.000000,1015000000.000000,,-218210907.000000,-1018452624.000000,,726294027.000000,,,3321571060.000000,,-84833617.000000,1458643028.000000,,,1373809411.000000
12M 2022,2247758662.000000,60071269123.000000,,-54093982871.000000,-2499122155.000000,-56593105026.000000,-93671393.000000,-1165270448.000000,28536406.000000,,2247758662.000000,-15002841831.000000,-227378125.000000,-14388363706.000000,-387100000.000000,,,,,,-15002841831.000000,13477833312.000000,,40813151593.000000,,-32529802476.000000,7958535799.000000,,-1015000000.000000,,-363709824.000000,-1385341780.000000,,,,,13477833312.000000,,722750143.000000,1373809411.000000,,,2096559554.000000
12M 2023,3600888328.000000,67163508514.000000,,-60750527103.000000,-2468719384.000000,-63219246487.000000,-172910790.000000,-179737852.000000,9274943.000000,,3600888328.000000,-1467260646.000000,-113166667.000000,-1354093979.000000,,,,,,,-1467260646.000000,-662892171.000000,,,2011680.000000,,,,,-60000000.000000,-113037730.000000,-491866121.000000,,,,,-662892171.000000,,1470735511.000000,2096559554.000000,,,3567295065.000000
12M 2024,2625265720.000000,62334048872.000000,,-56084466667.000000,-3383107620.000000,-59467574287.000000,-136431889.000000,-130218287.000000,25441311.000000,,2625265720.000000,-685173739.000000,-114333300.000000,-905840439.000000,-95000000.000000,430000000.000000,,,,,-685173739.000000,-1420586718.000000,,,,,,,,-530000000.000000,-122548355.000000,-768038363.000000,,,,,-1420586718.000000,,519505263.000000,3567295065.000000,,,4086800328.000000
