Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Piutang Lain-Lain,Persediaan,Adjustment,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Adjustment,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Utang Lain Jangka Panjang,Adjustment,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2018,,,618167302.000000,6464332786.000000,,24168770580.000000,,780018931.000000,32031289599.000000,,8319567428.000000,308151033.000000,,8627718461.000000,40659008060.000000,,,22253059025.000000,15372267764.000000,3446162079.000000,237533723.000000,,,237533723.000000,161296370.000000,,847912196.000000,2187886893.000000,,,3035799089.000000,,,22253059025.000000,3685949622.000000,,1159049700.000000,1294295788.000000,,,2453345488.000000,,,,1232604134.000000,3685949622.000000,25939008647.000000,,6000000000.000000,,2253187611.000000,,2253187611.000000,2253187611.000000,6466811802.000000,14719999413.000000,40659008060.000000,6000000.000000
12M 2019,,,1134375888.000000,6492536400.000000,366750000.000000,21206904471.000000,,237157616.000000,29437724375.000000,,15565367471.000000,281250187.000000,30325000000.000000,46171617658.000000,75609342033.000000,,,17710996563.000000,13963228417.000000,351203051.000000,772102166.000000,,,772102166.000000,246597013.000000,,857741543.000000,1520124373.000000,,,2377865916.000000,,,17710996563.000000,6329094428.000000,,837866260.000000,526227419.000000,,,1364093679.000000,,3840000000.000000,,1125000749.000000,6329094428.000000,24040090991.000000,,32000000000.000000,17768800000.000000,1444754423.000000,50000000.000000,1394754423.000000,1444754423.000000,355696619.000000,51569251042.000000,75609342033.000000,640000000.000000
12M 2020,,,1458643028.000000,7127705490.000000,366750000.000000,20910757884.000000,,1297365170.000000,31161221572.000000,,14536209262.000000,87013040.000000,32139677766.000000,46762900068.000000,77924121640.000000,,,23822465516.000000,20999971365.000000,373269929.000000,,914540569.000000,,914540569.000000,78998791.000000,,765806580.000000,689878282.000000,,,1455684862.000000,,,23822465516.000000,1363153612.000000,,71996648.000000,895643147.000000,,,967639795.000000,,,,395513817.000000,1363153612.000000,25185619128.000000,,32000000250.000000,17768800950.000000,2590590412.000000,100000000.000000,2490590412.000000,2590590412.000000,379110900.000000,52738502512.000000,77924121640.000000,640000005.000000
12M 2021,,,1373809411.000000,8664884880.000000,366750000.000000,23105731257.000000,,1090557453.000000,34601733001.000000,,49020168124.000000,54584291.000000,906178427.000000,49980930842.000000,84582663843.000000,,,28984918841.000000,24499802274.000000,465230034.000000,,983168048.000000,1015000000.000000,1998168048.000000,322419073.000000,,71464403.000000,1260569916.000000,363710544.000000,,1695744863.000000,,3554549.000000,28984918841.000000,2067345824.000000,,,1618844389.000000,113037010.000000,,1731881399.000000,,,,335464425.000000,2067345824.000000,31052264665.000000,,32017385350.000000,17834864330.000000,3202023611.000000,150000000.000000,3052023611.000000,3202023611.000000,476125887.000000,53530399178.000000,84582663843.000000,640347707.000000
12M 2022,,,2096559554.000000,13752260492.000000,,19200384153.000000,,420812318.000000,35470016517.000000,,61929598893.000000,,1098620162.000000,63028219055.000000,98498235572.000000,,,2289839366.000000,,164853656.000000,,366528717.000000,135000000.000000,501528717.000000,477178756.000000,,,1024179064.000000,113037730.000000,,1137216794.000000,,9061443.000000,2289839366.000000,927202336.000000,,,469893461.000000,,,469893461.000000,155606847.000000,,,301702028.000000,927202336.000000,3217041702.000000,,55496854150.000000,35168547123.000000,4118722375.000000,200000000.000000,3918722375.000000,4118722375.000000,497070222.000000,95281193870.000000,98498235572.000000,1109937083.000000
12M 2023,,,3567295065.000000,8662060231.000000,,24604137131.000000,,518951086.000000,37352443513.000000,,61648520469.000000,,1613288281.000000,63261808750.000000,100614252263.000000,,,3439789151.000000,,1500120163.000000,,755562756.000000,,755562756.000000,235261802.000000,,,665976187.000000,282868243.000000,,948844430.000000,,,3439789151.000000,855343408.000000,,,336230217.000000,,154996774.000000,491226991.000000,218918090.000000,,,145198327.000000,855343408.000000,4295132559.000000,,55497692350.000000,35169720603.000000,4996245804.000000,250000000.000000,4746245804.000000,4996245804.000000,655460947.000000,96319119704.000000,100614252263.000000,1109953847.000000
12M 2024,,,4086800328.000000,7468950121.000000,,25386495791.000000,,480099181.000000,37422345421.000000,,61292453754.000000,,2866325153.000000,64158778907.000000,101581124328.000000,,,2863208733.000000,,854619612.000000,,286670405.000000,,286670405.000000,197912661.000000,,,545688041.000000,304991555.000000,669414748.000000,1520094344.000000,,3911711.000000,2863208733.000000,1501851260.000000,,,,197177990.000000,912248164.000000,1109426154.000000,231183144.000000,,,161241962.000000,1501851260.000000,4365059993.000000,,55497692350.000000,35169720603.000000,5875796048.000000,300000000.000000,5575796048.000000,5875796048.000000,672855334.000000,97216064335.000000,101581124328.000000,1109953847.000000
