Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Pembayaran Kas Kepada Beban Operasional Lainnya,Penerimaan Dari Penghasilan Keuangan,Pembayaran Pajak Penghasilan,Penerimaan Dari Restitusi Pajak,Pembayaran Beban Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Perolehan Aset Hak Guna,Penerimaan Dari Penjualan Aset Tetap,Uang Muka Pembelian Aset Tetap,Penambahan Aset Tidak Berwujud,Penerimaan Piutang Pihak Berelasi,Pembayaran Piutang Pihak Berelasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Pendek,Pembayaran Utang Bank,Penerimaan Utang Bank,Penerimaan Utang Bank Dan Lembaga Keuangan Lainnya,Penerimaan Utang Pihak Berelasi,Pembayaran Utang Pihak Berelasi,Pembayaran Pembiayaan Konsumen,Pembayaran Liabilitas Sewa,Penerimaan Pembiayaan Konsumen,Penerimaan Dari Penawaran Umum Perdana,Biaya Emisi Saham,Pembayaran Dividen,Penerimaan Dari Pelaksanaan Waran,Setoran Modal Entitas Anak Dari Nonpengendali,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,31030998164.000000,48376274135.000000,-16522262071.000000,,,2482607.000000,-808986999.000000,,-16509508.000000,31030998164.000000,-28023993059.000000,-39509000.000000,,,,-87570000.000000,,-27896914059.000000,-28023993059.000000,,,,,,,,,,,,,,,,,,3007005105.000000,356172449.000000,3363177554.000000
12M 2019,26263315484.000000,80441775877.000000,-52666427209.000000,,,6596597.000000,-1121539694.000000,,-397090087.000000,26263315484.000000,-35542870000.000000,-15870000.000000,,,,,,-35527000000.000000,-35542870000.000000,502656289.000000,,,,,,3288500000.000000,-3288500000.000000,-123729869.000000,,626386158.000000,,,,,,502656289.000000,-8776898227.000000,3363177554.000000,-5413720673.000000
12M 2020,2720796655.000000,118616007224.000000,-113616384038.000000,,,2174425.000000,-1283375803.000000,,-997625153.000000,2720796655.000000,-10937520632.000000,-28487595.000000,,,,,,-10909033037.000000,-10937520632.000000,3253833505.000000,,,-55013500.000000,1400000000.000000,,4777318128.000000,-2661489664.000000,-206981459.000000,,,,,,,,3253833505.000000,-4962890472.000000,-5413720673.000000,-10376611145.000000
12M 2021,-17525361456.000000,126979676304.000000,-141806749964.000000,,,1716415.000000,-1231071986.000000,,-1468932225.000000,-17525361456.000000,18919487483.000000,-1572950750.000000,,,,,24568451976.000000,-4076013743.000000,18919487483.000000,-2725501512.000000,,,-233938451.000000,,,621000000.000000,-2906000002.000000,-216563059.000000,,,,,,,10000000.000000,-2725501512.000000,-1331375485.000000,-10376611145.000000,-11707986630.000000
12M 2022,-138840792666.000000,169492344381.000000,-303848589456.000000,,,9239476.000000,-2920891234.000000,,-1572895833.000000,-138840792666.000000,-1352821852.000000,-1387178143.000000,,393959894.000000,,-359603603.000000,,,-1352821852.000000,139605658852.000000,,,-266188321.000000,500000000.000000,,45798000000.000000,-47928828462.000000,-617579898.000000,-2679199092.000000,,145000000000.000000,-296500000.000000,,5954625.000000,90000000.000000,139605658852.000000,-587955666.000000,-11707986630.000000,-12295942296.000000
12M 2023,903527943.000000,202233968717.000000,-168159251039.000000,-20736809369.000000,-8654758330.000000,2538786.000000,-2097342806.000000,,-1684818016.000000,903527943.000000,-1734784927.000000,-1640567219.000000,-82217708.000000,,,-12000000.000000,,,-1734784927.000000,-158417639.000000,-810000000.000000,5662379550.000000,-384196780.000000,,,,,-914544498.000000,-2426754170.000000,,,,-1296017866.000000,10716125.000000,,-158417639.000000,-989674623.000000,-12295942296.000000,-13285616919.000000
12M 2024,7379453716.000000,184521747554.000000,-137370575528.000000,-26465519500.000000,-11078124401.000000,3101270.000000,-580926849.000000,412764949.000000,-2063013779.000000,7379453716.000000,-1438626771.000000,-712388033.000000,-815833333.000000,94594595.000000,,-5000000.000000,,,-1438626771.000000,-6349084327.000000,-10920545258.000000,11038407112.000000,-413240718.000000,,,,-690362000.000000,-1465429691.000000,-2929027563.000000,,,,-970081584.000000,1195375.000000,,-6349084327.000000,-408257382.000000,-13285616919.000000,-13693874301.000000
