Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2010,0.29,272.74,0.29,272.74,,3 B,3 B,(20 B),91 B
12M 2011,0.31,270.76,0.31,270.76,,2 B,2 B,(5 B),68 B
12M 2012,0.34,293.00,0.34,293.00,,,,(78 B),129 B
12M 2013,0.23,354.53,0.23,354.53,,,,(32 B),206 B
12M 2014,0.24,342.92,0.24,342.92,,,,(8 B),257 B
12M 2015,0.20,382.10,0.20,382.10,,,,(20 B),257 B
12M 2016,0.16,381.43,0.16,381.43,,,,(24 B),268 B
12M 2017,0.48,386.41,0.48,386.41,,7 B,7 B,(15 B),187 B
12M 2018,3.49,569.34,3.49,569.34,20 B,156 B,176 B,56 B,235 B
12M 2019,1.45,184.53,1.45,184.53,84 B,321 B,405 B,379 B,174 B
12M 2020,1.06,219.46,1.06,219.46,91 B,255 B,346 B,234 B,281 B
12M 2021,0.97,241.20,0.97,241.20,108 B,302 B,411 B,241 B,195 B
12M 2022,0.66,292.42,0.66,292.42,78 B,333 B,78 B,195 B,455 B
12M 2023,0.77,316.29,0.77,316.29,84 B,301 B,384 B,97 B,575 B
12M 2024,0.56,350.11,0.56,350.11,78 B,242 B,319 B,(51 B),575 B
