Period,Total Pendapatan,Penjualan,Others,Total Pendapatan,Total Beban Pokok Penjualan,Beban Pokok Penjualan,Others,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2011,234583722.000000,231946353.000000,2637369.000000,234583722.000000,-228757722.000000,-226960686.000000,-1797036.000000,-228757722.000000,5826000.000000,-7394188.000000,-618517.000000,-6775671.000000,-7394188.000000,-1568188.000000,492629.000000,-141606.000000,5308.000000,-23996.000000,151265.000000,501658.000000,492629.000000,-1075559.000000,34512.000000,,34512.000000,34512.000000,-1041047.000000,,,,-1041047.000000,-1041047.000000,-1041047.000000,,-1041047.000000,-1041047.000000,-1041047.000000,,-1041047.000000
12M 2012,239373814.000000,236876417.000000,2497397.000000,239373814.000000,-231262443.000000,-229557812.000000,-1704631.000000,-231262443.000000,8111371.000000,-7367493.000000,-558402.000000,-6809091.000000,-7367493.000000,743878.000000,846086.000000,277430.000000,34478.000000,-65397.000000,11951.000000,587624.000000,846086.000000,1589964.000000,-609158.000000,-70563.000000,-538595.000000,-609158.000000,980806.000000,,,,980806.000000,980806.000000,980806.000000,,980806.000000,980806.000000,980806.000000,,980806.000000
12M 2013,213478173.000000,210347145.000000,3131028.000000,213478173.000000,-205702613.000000,-204019846.000000,-1682767.000000,-205702613.000000,7775560.000000,-7321709.000000,-252859.000000,-7068850.000000,-7321709.000000,453851.000000,1525235.000000,864797.000000,164595.000000,-38045.000000,-2087.000000,535975.000000,1525235.000000,1979086.000000,-552894.000000,-131974.000000,-420920.000000,-552894.000000,1426192.000000,,,,1426192.000000,1426192.000000,1426192.000000,,1426192.000000,1426192.000000,1426192.000000,,1426192.000000
12M 2014,112993998.000000,109961464.000000,3032534.000000,112993998.000000,-110070691.000000,-107265973.000000,-2804718.000000,-110070691.000000,2923307.000000,-6021202.000000,-156893.000000,-5864309.000000,-6021202.000000,-3097895.000000,1163558.000000,57497.000000,261234.000000,-31236.000000,37069.000000,838994.000000,1163558.000000,-1934337.000000,-725174.000000,,,-725174.000000,-2659511.000000,,,,-2659511.000000,-2659511.000000,-2659511.000000,,-2659511.000000,-2659511.000000,-2659511.000000,,-2659511.000000
12M 2015,86139764.000000,82051779.000000,4087985.000000,86139764.000000,-82520909.000000,-78871913.000000,-3648996.000000,-82520909.000000,3618855.000000,-6603187.000000,-159602.000000,-6443585.000000,-6603187.000000,-2984332.000000,2435640.000000,369975.000000,140417.000000,-13567.000000,112107.000000,1826708.000000,2435640.000000,-548692.000000,657309.000000,,,657309.000000,108617.000000,380701.000000,,380701.000000,489318.000000,108617.000000,108617.000000,,108617.000000,489318.000000,489318.000000,,489318.000000
12M 2016,83049100.000000,73839521.000000,9209579.000000,83049100.000000,-74150547.000000,-67984282.000000,-6166265.000000,-74150547.000000,8898553.000000,-7034732.000000,-602472.000000,-6432260.000000,-7034732.000000,1863821.000000,-116243.000000,-140915.000000,85006.000000,-12600.000000,14994.000000,-62728.000000,-116243.000000,1747578.000000,-543313.000000,-1150631.000000,607318.000000,-543313.000000,1204265.000000,-97803.000000,,-97803.000000,1106462.000000,1204265.000000,1204695.000000,-430.000000,1204265.000000,1106462.000000,1106892.000000,-430.000000,1106462.000000
12M 2017,85883879.000000,,,85883879.000000,-76984273.000000,,,-76984273.000000,8899606.000000,-9017364.000000,-9017364.000000,,-9017364.000000,-117758.000000,877064.000000,49086.000000,75996.000000,-12400.000000,132600.000000,631782.000000,877064.000000,759306.000000,-266879.000000,,,-266879.000000,492427.000000,-256762.000000,,-256762.000000,235665.000000,492427.000000,492405.000000,22.000000,492427.000000,235665.000000,235643.000000,22.000000,235665.000000
12M 2018,384574312.000000,,,384574312.000000,-358020006.000000,,,-358020006.000000,26554306.000000,-10584608.000000,-10584608.000000,,-10584608.000000,15969698.000000,422212.000000,82971.000000,33462.000000,-362976.000000,62208.000000,606547.000000,422212.000000,16391910.000000,-4391541.000000,,,-4391541.000000,12000369.000000,607831.000000,,607831.000000,12608200.000000,12000369.000000,12000398.000000,-29.000000,12000369.000000,12608200.000000,12608229.000000,-29.000000,12608200.000000
12M 2019,330130913.000000,,,330130913.000000,-315190258.000000,,,-315190258.000000,14940655.000000,-12948549.000000,-12948549.000000,,-12948549.000000,1992106.000000,-645784.000000,-787219.000000,19654.000000,-1053101.000000,80673.000000,1094209.000000,-645784.000000,1346322.000000,-445126.000000,,,-445126.000000,901196.000000,-3112.000000,,-3112.000000,898084.000000,901196.000000,901368.000000,-172.000000,901196.000000,898084.000000,898256.000000,-172.000000,898084.000000
12M 2020,145170395.000000,,,145170395.000000,-125434861.000000,,,-125434861.000000,19735534.000000,-13242892.000000,-13242892.000000,,-13242892.000000,6492642.000000,99330.000000,582870.000000,76665.000000,-1466790.000000,117016.000000,789569.000000,99330.000000,6591972.000000,-1757792.000000,,,-1757792.000000,4834180.000000,-357005.000000,,-357005.000000,4477175.000000,4834180.000000,4834369.000000,-189.000000,4834180.000000,4477175.000000,4477364.000000,-189.000000,4477175.000000
12M 2021,159945982.000000,,,159945982.000000,-137204251.000000,,,-137204251.000000,22741731.000000,-15375223.000000,-15375223.000000,,-15375223.000000,7366508.000000,195686.000000,361779.000000,22745.000000,-1507108.000000,21984.000000,1296286.000000,195686.000000,7562194.000000,-1741709.000000,,,-1741709.000000,5820485.000000,1269236.000000,,1269236.000000,7089721.000000,5820485.000000,5820693.000000,-208.000000,5820485.000000,7089721.000000,7089929.000000,-208.000000,7089721.000000
12M 2022,141013357.000000,,,141013357.000000,-115969793.000000,,,-115969793.000000,25043564.000000,-12257326.000000,-12257326.000000,,-12257326.000000,12786238.000000,1414240.000000,876232.000000,288528.000000,-1309300.000000,-4288.000000,1563068.000000,1414240.000000,14200478.000000,-4275370.000000,,,-4275370.000000,9925108.000000,-34332.000000,-34332.000000,-34332.000000,9890776.000000,9925108.000000,9925334.000000,-226.000000,9925108.000000,9890776.000000,9891002.000000,-226.000000,9890776.000000
12M 2023,126588110.000000,,,126588110.000000,-99589897.000000,,,-99589897.000000,26998213.000000,-13260850.000000,-13260850.000000,,-13260850.000000,13737363.000000,578478.000000,1007975.000000,401297.000000,-1384525.000000,34700.000000,519031.000000,578478.000000,14315841.000000,-3147523.000000,,,-3147523.000000,11168318.000000,544.000000,544.000000,544.000000,11168862.000000,11168318.000000,11169775.000000,-1457.000000,11168318.000000,11168862.000000,11170319.000000,-1457.000000,11168862.000000
12M 2024,122856510.000000,,,122856510.000000,-96925966.000000,,,-96925966.000000,25930544.000000,-14843319.000000,-14843319.000000,,-14843319.000000,11087225.000000,-951301.000000,-1120638.000000,1017001.000000,-1307943.000000,-260576.000000,720855.000000,-951301.000000,10135924.000000,-2173248.000000,,,-2173248.000000,7962676.000000,554281.000000,554281.000000,554281.000000,8516957.000000,7962676.000000,7962676.000000,,7962676.000000,8516957.000000,8516957.000000,,8516957.000000
