Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Properti Investasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Lain-Lain,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Pinjaman Jangka Panjang Lainnya,Utang Dari Pihak Ketiga,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Lain-Lain,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2010,,,2626846.000000,,28302219.000000,196189.000000,15968626.000000,849452.000000,47943332.000000,,364511.000000,45059005.000000,,102054.000000,45525570.000000,93468902.000000,,,37841300.000000,,,33624935.000000,33624935.000000,3689038.000000,134491.000000,392836.000000,,,,,,,37841300.000000,1890626.000000,370523.000000,,61151.000000,,,,,,1458952.000000,1890626.000000,39731926.000000,,32329685.000000,23168684.000000,1056226.000000,5366.000000,1050860.000000,1056226.000000,1157.000000,-2818773.000000,53736979.000000,93468905.000000,1771448000.000000
12M 2011,,,731402.000000,,22269915.000000,17126.000000,14769475.000000,192740.000000,37980658.000000,,577888.000000,46778391.000000,,196396.000000,47552675.000000,85533333.000000,,,30515991.000000,,,27436763.000000,27436763.000000,2626688.000000,108566.000000,343974.000000,,,,,,,30515991.000000,2122994.000000,169981.000000,,41601.000000,,,,,,1911412.000000,2122994.000000,32638985.000000,,32329685.000000,23168684.000000,213595.000000,5366.000000,208229.000000,213595.000000,1157.000000,-2818773.000000,52894348.000000,85533333.000000,1771448000.000000
12M 2012,,,8072410.000000,,28676116.000000,49707.000000,12442418.000000,212855.000000,49453506.000000,,,42519643.000000,,262466.000000,42782109.000000,92235615.000000,,,36081628.000000,,,33864958.000000,33864958.000000,1346913.000000,146916.000000,722841.000000,,,,,,,36081628.000000,2477250.000000,,,200723.000000,,,,,,2276527.000000,2477250.000000,38558878.000000,,32329685.000000,23168684.000000,995985.000000,5366.000000,990619.000000,995985.000000,1157.000000,-2818774.000000,53676737.000000,92235615.000000,1771448000.000000
12M 2013,,,2588959.000000,6950000.000000,19233002.000000,36731.000000,12105483.000000,260959.000000,41175134.000000,,11918.000000,37162389.000000,,281568.000000,37455875.000000,78631009.000000,,,24310324.000000,,,23152599.000000,23152599.000000,514768.000000,298528.000000,344429.000000,,,,,,,24310324.000000,2832395.000000,,,633561.000000,,,,,,2198834.000000,2832395.000000,27142719.000000,,32329685.000000,20349910.000000,2322976.000000,24982.000000,2297994.000000,2322976.000000,1157.000000,-3515438.000000,51488290.000000,78631009.000000,1771448000.000000
12M 2014,,,618949.000000,12000000.000000,8795897.000000,24081.000000,11705329.000000,319958.000000,33464214.000000,,28805.000000,31628919.000000,,281242.000000,31938966.000000,65403180.000000,,,12806413.000000,,,12128043.000000,12128043.000000,308921.000000,86066.000000,187436.000000,,,,,,95947.000000,12806413.000000,3767968.000000,,,1375622.000000,,,,,,2392346.000000,3767968.000000,16574381.000000,,32329685.000000,20349910.000000,-336535.000000,53506.000000,-390041.000000,-336535.000000,1177.000000,-3515438.000000,48828799.000000,65403180.000000,1771448000.000000
12M 2015,,,1437333.000000,5500000.000000,7984086.000000,2884346.000000,11137012.000000,1092308.000000,30035085.000000,,23740.000000,33188334.000000,,268374.000000,33480448.000000,63515533.000000,,,11385834.000000,,,8329695.000000,8329695.000000,741548.000000,185098.000000,232397.000000,,,,,,1897096.000000,11385834.000000,3062702.000000,,,635855.000000,,,,,,2426847.000000,3062702.000000,14448536.000000,,32329685.000000,20349910.000000,-98337.000000,53506.000000,-151843.000000,-98337.000000,1177.000000,-3515438.000000,49066997.000000,63515533.000000,1771448000.000000
12M 2016,,,1792262.000000,8400000.000000,10647358.000000,13849.000000,11468865.000000,313175.000000,32635509.000000,,30022.000000,32954656.000000,,399966.000000,33384644.000000,66020153.000000,,,12657515.000000,,,10021949.000000,10021949.000000,779253.000000,631989.000000,272607.000000,,,,,,951717.000000,12657515.000000,3067952.000000,,,2218.000000,,,,,,3065734.000000,3067952.000000,15725467.000000,,32329685.000000,20466592.000000,1008555.000000,63292.000000,945263.000000,1008555.000000,5355.000000,-3515501.000000,50294686.000000,66020153.000000,1771448000.000000
12M 2017,,,1631685.000000,3000000.000000,8598982.000000,33476.000000,9483228.000000,2865851.000000,25613222.000000,,798914.000000,40411962.000000,,379590.000000,41590466.000000,67203688.000000,,,11837685.000000,,,7037578.000000,7037578.000000,3163864.000000,535622.000000,344525.000000,,,,,,756096.000000,11837685.000000,4835722.000000,,506372.000000,,,,,,,4329350.000000,4835722.000000,16673407.000000,,32329685.000000,20466592.000000,1244198.000000,85421.000000,1158777.000000,1244198.000000,5377.000000,-3515571.000000,50530281.000000,67203688.000000,1771448000.000000
12M 2018,,,8291115.000000,,100818380.000000,23622.000000,106947421.000000,3105203.000000,219185741.000000,,93060.000000,67806051.000000,,491288.000000,68390399.000000,287576140.000000,,,202957153.000000,,,191145348.000000,191145348.000000,7012020.000000,2741248.000000,371149.000000,,1375596.000000,,,1375596.000000,311792.000000,202957153.000000,14967016.000000,,2538029.000000,59691.000000,,8223189.000000,,,8223189.000000,4146107.000000,14967016.000000,217924169.000000,,32329685.000000,25222904.000000,13852427.000000,90134.000000,13762293.000000,13852427.000000,5348.000000,-1758393.000000,69651971.000000,287576140.000000,1771448000.000000
12M 2019,,,1921630.000000,,30436119.000000,41260.000000,37589611.000000,4780951.000000,74769571.000000,,119053.000000,85827450.000000,,533694.000000,86480197.000000,161249768.000000,,,62255724.000000,2000000.000000,,50507183.000000,50507183.000000,5068043.000000,390005.000000,225531.000000,,4058665.000000,,4170.000000,4062835.000000,2127.000000,62255724.000000,28442878.000000,,670745.000000,174366.000000,,22424632.000000,,19649.000000,22444281.000000,5153486.000000,28442878.000000,90698602.000000,,32329685.000000,25222904.000000,14751474.000000,342298.000000,14409176.000000,14751474.000000,5176.000000,-1758073.000000,70551166.000000,161249768.000000,5314344000.000000
