Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,8 B,(34 B),(26 B),-21.49
12M 2009,1 B,(2 B),(1 B),-0.89
12M 2010,6 B,(2 B),4 B,3.57
12M 2011,6 B,(1 B),4 B,3.44
12M 2012,4 B,(88 B),(84 B),-37.56
12M 2013,17 B,(8 B),9 B,3.75
12M 2014,12 B,(6 B),6 B,2.69
12M 2015,7 B,(4 B),3 B,1.12
12M 2016,(2 B),(11 B),(12 B),-5.51
12M 2017,5 B,(31 B),(27 B),-11.73
12M 2018,(19 B),(10 B),(29 B),-7.94
12M 2019,"(2,204 B)",(0 B),"(2,204 B)",-99.22
