Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kas Untuk Gaji Dan Tunjangan,"Pembayaran Kas Ke Direksi, Dewan Komisaris, Dan Karyawan",Penerimaan (Pembayaran) Kas Dari Hubungan Istimewa,Pembayaran Bunga Dan Administrasi Bank,Penerimaan Dari Pendapatan Bunga,Pembayaran Pajak,Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Laba Penjualan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan (Pembayaran) Pinjaman Bank Jangka Panjang,Pembayaran Utang Pendanaan,Penerimaan (Pembayaran) Pinjaman Hubungan Istimewa,Penambahan Modal Disetor,Cadangan Nilai Wajar,Penerimaan (Pembayaran) Pinjaman Bank Jangka Pendek,Kepentingan Non Pengendali,Pembayaran Kewajiban Pasca Masa Kerja,Penerimaan Dari Penerbitan Saham Biasa,Penerimaan Pinjaman Pihak Ketiga,Penambahan Utang Lain-Lain,Penerimaan Utang Pihak Berelasi,Pembayaran Utang Pihak Berelasi,Pembayaran Untuk Perolehan Kepentingan Pihak Non-Pengendali Pada Entitas Anak,Pembayaran Uang Muka Investasi,Deposit Pelanggan,Penerimaan(Pengeluaran) Lain-Lain,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,7821599430.000000,32787541592.000000,-15068938094.000000,,-5682111130.000000,157163388.000000,-3954681619.000000,93939388.000000,-511314095.000000,,7821599430.000000,-33866827421.000000,-33866827421.000000,,,-33866827421.000000,29432065082.000000,-1426078232.000000,,-1128580148.000000,31986723462.000000,,,,,,,,,,,,,,29432065082.000000,3386837091.000000,836277834.000000,4223114925.000000
12M 2009,947060222.000000,27323305091.000000,-14679669657.000000,,-6001829019.000000,-309967323.000000,-4665172552.000000,15380287.000000,-1089587600.000000,354600995.000000,947060222.000000,-1392694633.000000,-2026850301.000000,634155668.000000,,-1392694633.000000,-2467021245.000000,-324681696.000000,,-2258478349.000000,116138800.000000,,,,,,,,,,,,,,-2467021245.000000,-2912655656.000000,4223114925.000000,1310459269.000000
12M 2010,5987455248.000000,32431961827.000000,-17064119086.000000,,-6910428914.000000,570293770.000000,-3364928687.000000,19581002.000000,-17328251.000000,322423587.000000,5987455248.000000,-409502852.000000,-1659753742.000000,1250250890.000000,,-409502852.000000,7226830220.000000,-1128587708.000000,9025792816.000000,-670374888.000000,,,,,,,,,,,,,,,7226830220.000000,12804782616.000000,1310459269.000000,14115241885.000000
12M 2011,5650108457.000000,37074612172.000000,-19671458938.000000,-8168274247.000000,,18679043.000000,-2653739149.000000,50091101.000000,-999801525.000000,,5650108457.000000,-1313751191.000000,-1474696400.000000,160945209.000000,,-1313751191.000000,-12988554197.000000,-13295749613.000000,-189558972.000000,496754388.000000,,,,,,,,,,,,,,,-12988554197.000000,-8652196931.000000,14115241885.000000,5463044954.000000
12M 2012,4045224050.000000,38747432784.000000,-22812445865.000000,-9701920747.000000,,-1307616.000000,-2428229058.000000,73881750.000000,167812802.000000,,4045224050.000000,-87250706405.000000,-88353504227.000000,1102797822.000000,,-87250706405.000000,95718121313.000000,-3909377557.000000,-91809826.000000,1425388191.000000,98089988770.000000,145816729.000000,,58115006.000000,,,,,,,,,,,95718121313.000000,12512638958.000000,5463044954.000000,17975683912.000000
12M 2013,16738342864.000000,56656945725.000000,-22900237293.000000,-13475836323.000000,,6637216.000000,-3497414008.000000,132152264.000000,-183904717.000000,,16738342864.000000,-8071821772.000000,-8228083044.000000,156261272.000000,,-8071821772.000000,-17274136640.000000,-8649360231.000000,209177751.000000,-11562944160.000000,2728990000.000000,,,,,,,,,,,,,,-17274136640.000000,-8607615548.000000,17975683912.000000,9368068364.000000
12M 2014,11870148618.000000,57235767357.000000,-24156538237.000000,-17370614215.000000,,84200.000000,-3819365204.000000,75827722.000000,-95013005.000000,,11870148618.000000,-5065527717.000000,-5768272495.000000,702744778.000000,,-5065527717.000000,-7164679332.000000,-6999999996.000000,-164679336.000000,,,,,,,,,,,,,,,,-7164679332.000000,-360058431.000000,9368068362.000000,9008009931.000000
12M 2015,6881772825.000000,54968882416.000000,-26685125131.000000,-18178645593.000000,,300000.000000,-3131607073.000000,25192521.000000,-117224315.000000,,6881772825.000000,-3723896071.000000,-4338198195.000000,614302124.000000,,-3723896071.000000,-7329963256.000000,-7499999995.000000,170036739.000000,,,,,,,,,,,,,,,,-7329963256.000000,-4172086502.000000,9008009931.000000,4835923429.000000
12M 2016,-1791590422.000000,47143282014.000000,-30740773756.000000,-16491396974.000000,,742464000.000000,-2302454428.000000,23612002.000000,-166323280.000000,,-1791590422.000000,-10173008829.000000,-10699183248.000000,526174419.000000,,-10173008829.000000,10544786496.000000,9582074250.000000,-108262754.000000,,1070975000.000000,,,,,,,,,,,,,,10544786496.000000,-1419812755.000000,4835923429.000000,3416110674.000000
12M 2017,4786256810.000000,59238866162.000000,-30224778037.000000,-18133567038.000000,,-202062000.000000,-6165200041.000000,14568535.000000,258429229.000000,,4786256810.000000,-18247983196.000000,-31367490150.000000,13119506954.000000,,-18247983196.000000,11015150708.000000,11113246231.000000,-98095523.000000,,,,,,,,,,,,,,,,11015150708.000000,-2446575678.000000,3416110674.000000,969534996.000000
12M 2018,-18971856400.000000,40524214153.000000,-32213071073.000000,-24363696868.000000,,,-2708257239.000000,35162715.000000,-246208088.000000,,-18971856400.000000,-8352055143.000000,-9595128126.000000,1243072983.000000,,-8352055143.000000,27380630369.000000,14406398578.000000,-108970782.000000,-500402000.000000,,,,,,,,13583604573.000000,,,,,,,27380630369.000000,56718826.000000,969534996.000000,1026253822.000000
12M 2019,-2203763661231.000000,31118264111.000000,-2207017761118.000000,-7465579677.000000,,,-20944015370.000000,354627087.000000,190803736.000000,,-2203763661231.000000,1534156359.000000,-79031149.000000,1457563958.000000,155623550.000000,1534156359.000000,2227523795476.000000,246551609422.000000,-9617299.000000,,1994564429400.000000,,,-21474.000000,,,,-13583604573.000000,1000000.000000,,,,,,2227523795476.000000,25294290604.000000,1026253821.000000,26320544425.000000
