Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,31783020581.000000,-18118951547.000000,13664069034.000000,-12331138745.000000,-317552875.000000,-12013585870.000000,-12331138745.000000,1332930289.000000,-14434692556.000000,-10573950325.000000,93939388.000000,,-3864341695.000000,-90339924.000000,-14434692556.000000,-13101762267.000000,-1012521977.000000,,-1012521977.000000,-1012521977.000000,-14114284244.000000,,,,,-14114284244.000000,-14114284244.000000,,-14114284244.000000,,,,
12M 2009,27154406788.000000,-18354607479.000000,8799799309.000000,-13436609191.000000,-502937616.000000,-12933671575.000000,-13436609191.000000,-4636809882.000000,5841724760.000000,10319030767.000000,15380287.000000,172486258.000000,-4595929645.000000,-69242907.000000,5841724760.000000,1204914878.000000,143098372.000000,,143098372.000000,143098372.000000,1348013250.000000,,,,,1348013250.000000,1348013250.000000,,1348013250.000000,,,,
12M 2010,33474059906.000000,-18435684656.000000,15038375250.000000,-13699102366.000000,-767952096.000000,-12931150270.000000,-13699102366.000000,1339272884.000000,1272722357.000000,2676229899.000000,19581002.000000,-101764362.000000,-4202714453.000000,2881390271.000000,1272722357.000000,2611995241.000000,57266229.000000,,57266229.000000,57266229.000000,2669261470.000000,,,,,2669261470.000000,2669261470.000000,,2669261470.000000,,,,
12M 2011,41482765947.000000,-22456007963.000000,19026757984.000000,-14238114615.000000,-1023585765.000000,-13214528850.000000,-14238114615.000000,4788643369.000000,-4144561824.000000,-291875252.000000,50091101.000000,16490850.000000,-3849026605.000000,-70241918.000000,-4144561824.000000,644081545.000000,169452700.000000,,169452700.000000,169452700.000000,813534245.000000,,,,813534245.000000,813534245.000000,813534245.000000,,813534245.000000,813534245.000000,813534245.000000,,813534245.000000
12M 2012,38381835624.000000,-25523434904.000000,12858400720.000000,-16501242883.000000,-1133839833.000000,-15367403050.000000,-16501242883.000000,-3642842163.000000,-5921471440.000000,-2884830800.000000,73881750.000000,-381556089.000000,-2657532364.000000,-71433937.000000,-5921471440.000000,-9564313603.000000,504610881.000000,,504610881.000000,504610881.000000,-9059702722.000000,,,,-9059702722.000000,-9059702722.000000,-9001587716.000000,-58115006.000000,-9059702722.000000,-9059702722.000000,-9001587716.000000,-58115006.000000,-9059702722.000000
12M 2013,58008172555.000000,-33508238745.000000,24499933810.000000,-18090262781.000000,-1704145097.000000,-16386117684.000000,-18090262781.000000,6409671029.000000,-4544293070.000000,-859633800.000000,132152264.000000,-322397526.000000,-3440393029.000000,-54020979.000000,-4544293070.000000,1865377959.000000,-287759163.000000,,-287759163.000000,-287759163.000000,1577618796.000000,,,,1577618796.000000,1577618797.000000,1581171451.000000,-3552654.000000,1577618797.000000,1577618797.000000,1581171451.000000,-3552654.000000,1577618797.000000
12M 2014,61077053515.000000,-38390841645.000000,22686211870.000000,-18102865471.000000,-1213274067.000000,-16889591404.000000,-18102865471.000000,4583346399.000000,-3990668833.000000,-37170817.000000,75827722.000000,-223060534.000000,-3763616951.000000,-42648253.000000,-3990668833.000000,592677566.000000,166336697.000000,,166336697.000000,166336697.000000,759014263.000000,,,,759014263.000000,759014264.000000,697719500.000000,61294764.000000,759014264.000000,759014264.000000,697719500.000000,61294764.000000,759014264.000000
12M 2015,60728059757.000000,-40428245088.000000,20299814669.000000,-16884371483.000000,-1018116259.000000,-15866255224.000000,-16884371483.000000,3415443186.000000,-3246307346.000000,38845469.000000,25192521.000000,-206713264.000000,-3097260925.000000,-6371147.000000,-3246307346.000000,169135840.000000,79266235.000000,,79266235.000000,79266235.000000,248402075.000000,521892000.000000,521892000.000000,521892000.000000,770294075.000000,248402075.000000,248421577.000000,-19502.000000,248402075.000000,770294075.000000,770313577.000000,-19502.000000,770294075.000000
12M 2016,56777584778.0,-37806693866.0,18970890912.0,-16313098776.0,-931281013.0,-15381817763.0,-16313098776.0,2657792136.0,-2493852869.0,-25154582.0,23612002.0,-220142861.0,-1730012945.0,-542154483.0,-2493852869.0,163939267.0,95625377.0,-368600250.0,464225627.0,95625377.0,259564644.0,-123468000.0,-123468000.0,-123468000.0,136096644.0,259564644.0,259588667.0,-24023.0,259564644.0,136096644.0,136120667.0,-24023.0,136096644.0
12M 2017,65026448173.0,-43545689582.0,21480758591.0,-15255331434.0,-879425434.0,-14375906000.0,-15255331434.0,6225427157.0,-6207571550.0,5539378.0,14568535.0,-99101301.0,-5366603272.0,-761974890.0,-6207571550.0,17855607.0,110481554.0,-196328750.0,306810304.0,110481554.0,128337161.0,-76162500.0,-76162500.0,-76162500.0,52174661.0,128337162.0,128364785.0,-27623.0,128337162.0,52174663.0,52198686.0,-24023.0,52174663.0
