Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Beban Operasional Lainnya - Bersih,Taksiran Tagihan Pajak Penghasilan,Pembayaran Pajak Penghasilan,Restitusi Pajak Pertambahan Nilai (Ppn),Restitusi Pajak Penghasilan,Pembayaran Beban Bunga Dan Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Bunga,Perolehan Aset Tetap,Penerimaan Dari Pihak Berelasi,Penerimaan (Pembayaran) Pinjaman Dari Pihak Ketiga,Pembayaran Jaminan,Pembelian Investasi Yang Diukur Pada Nilai Wajar (Reksadana),Penjualan Investasi Yang Diukur Pada Nilai Wajar (Reksadana),Penerimaan Penjualan Aset Tetap,Imbalan Dari Penjualan Entitas Anak,Penempatan Investasi Jangka Pendek,Pelepasan Investasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Panjang,Penerimaan Dari Penerbitan Saham Melalui Penawaran Umum Saham,Penerimaan Atas Penambahan Modal Saham,Penerimaan Atas Pelaksanaan Waran,Penambahan Liabilitas Keuangan Lainnya,Pembayaran Liabilitas Keuangan Lainnya,Pembayaran Bunga Utang Bank,Penerbitan Surat Utang Jangka Menengah,Pembayaran Bunga Surat Utang Jangka Menengah,Penerimaan (Pembayaran) Utang Pembiayaan,Penerimaan (Pembayaran) Atas Pinjaman Lembaga Keuangan Dan Non Keuangan,Pembayaran Kepada Pihak Berelasi,Penerimaan Dari Pihak Berelasi,Pembayaran Kepada Pihak Ketiga,Penerimaan Dari Pihak Ketiga,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Entitas Anak Yang Didekonsolidasi,Kas Dan Setara Kas Akhir Periode
12M 2016,144227747000.000000,931705593000.000000,-674195598000.000000,-7290583000.000000,-89251631000.000000,,-15737625000.000000,,,-1002409000.000000,144227747000.000000,1806881000.000000,1806881000.000000,,,,,,,,,,,1806881000.000000,-142800974000.000000,-78865063000.000000,,,,,149500000000.000000,,-96940531000.000000,,,-93106000.000000,,-114379635000.000000,,-2022639000.000000,,-142800974000.000000,3233654000.000000,30949363000.000000,,34183017000.000000
12M 2017,-332668262000.000000,948989756000.000000,-608671827000.000000,-10726618000.000000,-634384573000.000000,,,,,-27875000000.000000,-332668262000.000000,106222434000.000000,1489084000.000000,-177466000.000000,104910816000.000000,,,,,,,,,106222434000.000000,262142437000.000000,-52016282000.000000,,452073422000.000000,,,,-149500000000.000000,-94650203000.000000,,,,,,73000000000.000000,,33235500000.000000,262142437000.000000,35696609000.000000,34183017000.000000,,69879626000.000000
12M 2018,194046319000.000000,1209959633000.000000,-978949534000.000000,-15633787000.000000,-26676160000.000000,10296470000.000000,,,,-4950303000.000000,194046319000.000000,-686957766000.000000,2414440000.000000,-114180000.000000,-666045277000.000000,-28212749000.000000,,,,,5000000000.000000,,,-686957766000.000000,504674246000.000000,-19974061000.000000,-53485454000.000000,,,,100000000000.000000,,-73562239000.000000,,,,,,,,551696000000.000000,504674246000.000000,11762799000.000000,69879626000.000000,-35934000.000000,81606491000.000000
12M 2019,32363199000.000000,1786899747000.000000,-1697990058000.000000,-14279426000.000000,-28111854000.000000,9093200000.000000,,,,-23248410000.000000,32363199000.000000,641795292000.000000,2115253000.000000,-1069379000.000000,,669348835000.000000,,,,25000000.000000,497986000.000000,-29122403000.000000,,641795292000.000000,-695910676000.000000,,-18407235000.000000,,,13508475000.000000,-100000000000.000000,,-39315916000.000000,,,,,,,,-551696000000.000000,-695910676000.000000,-21752185000.000000,81606491000.000000,,59854306000.000000
12M 2020,124185391000.000000,1656165127000.000000,-1511631089000.000000,-22821035000.000000,-11763943000.000000,15267841000.000000,,,,-1031510000.000000,124185391000.000000,31039773000.000000,1528564000.000000,-47100000.000000,,435906000.000000,,,,,,29122403000.000000,,31039773000.000000,-74693855000.000000,,-92540295000.000000,,,336077000.000000,50000000000.000000,,-32489637000.000000,,,,,,,,,-74693855000.000000,80531309000.000000,59854306000.000000,,140385615000.000000
12M 2021,61321634000.000000,2102493583000.000000,-1896641134000.000000,-26833078000.000000,-20587407000.000000,26049481000.000000,-114341913000.000000,,,-8817898000.000000,61321634000.000000,-253899709000.000000,1313085000.000000,-212794000.000000,,,-255000000000.000000,,,,,,,-253899709000.000000,141577324000.000000,,-57620777000.000000,,95959800000.000000,1389000.000000,143430000000.000000,-16333923000.000000,-23859165000.000000,,,,,,,,,141577324000.000000,-51000751000.000000,140385615000.000000,,89384864000.000000
12M 2022,239810740000.000000,2927311710000.000000,-2598688901000.000000,-30197372000.000000,-54940873000.000000,24684344000.000000,-161693247000.000000,153091014000.000000,,-19755935000.000000,239810740000.000000,-108612943000.000000,1686312000.000000,-299255000.000000,,,-110000000000.000000,,,,,,,-108612943000.000000,111649916000.000000,,-67091786000.000000,,,1515397000.000000,,-757803000.000000,-17015892000.000000,200000000000.000000,-5000000000.000000,,,,,,,111649916000.000000,242847713000.000000,89384864000.000000,,332232577000.000000
12M 2023,153650241000.000000,2794890327000.000000,-2546738383000.000000,-31927044000.000000,-20722347000.000000,52998124000.000000,-189888704000.000000,117026455000.000000,,-21988187000.000000,153650241000.000000,-18522391000.000000,1638996000.000000,-382387000.000000,,,,,,221000000.000000,,-20000000000.000000,,-18522391000.000000,-84607725000.000000,,-53764235000.000000,,,,,-855319000.000000,-9988171000.000000,,-20000000000.000000,,,,,,,-84607725000.000000,50520125000.000000,332232577000.000000,,382752702000.000000
12M 2024,192277062000.000000,3715797153000.000000,-3306040162000.000000,-35402365000.000000,-19207963000.000000,18172893000.000000,-201187893000.000000,41282970000.000000,,-21137571000.000000,192277062000.000000,-57477878000.000000,2022456000.000000,-574130000.000000,,,,1001067000.000000,40072729000.000000,,,-120000000000.000000,20000000000.000000,-57477878000.000000,-78286810000.000000,,-52090218000.000000,,,,,-3563575000.000000,-2607527000.000000,,-20000000000.000000,-25490000.000000,,,,,,-78286810000.000000,56512374000.000000,382752702000.000000,,439265076000.000000
