Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2016,144 B,,144 B,26.05
12M 2017,(333 B),(0 B),(333 B),-38.53
12M 2018,194 B,(0 B),194 B,22.45
12M 2019,32 B,(1 B),31 B,3.59
12M 2020,124 B,(0 B),124 B,14.25
12M 2021,61 B,(0 B),61 B,6.61
12M 2022,240 B,(0 B),240 B,25.89
12M 2023,154 B,(0 B),153 B,16.56
12M 2024,192 B,(1 B),192 B,20.72
