Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Beban Penjualan,Beban Penyusutan,Beban Penelitian Dan Pengembangan,Beban Usaha,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Perubahan Nilai Aset Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi Dan Pengendalian Bersama Entitas,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,1436511000000.0,-1603334000000.0,-166823000000.0,-11771444000000.0,-1946505000000.0,-8077653000000.0,-621713000000.0,-410221000000.0,-715352000000.0,-11771444000000.0,-11938267000000.0,195178000000.0,182443000000.0,-72532000000.0,719075000000.0,-1856000000.0,-40789000000.0,-591163000000.0,195178000000.0,-11743089000000.0,-6765000000.0,-11749854000000.0,-388527000000.0,-12138381000000.0,-11749854000000.0,-11240099000000.0,-509755000000.0,-11749854000000.0,-12138381000000.0,-11629179000000.0,-509202000000.0,-12138381000000.0
12M 2019,2303897000000.0,-2781117000000.0,-477220000000.0,-20546717000000.0,-2940124000000.0,-14369420000000.0,-962334000000.0,-753457000000.0,-1521382000000.0,-20546717000000.0,-21023937000000.0,-3136001000000.0,247181000000.0,-111918000000.0,-152831000000.0,68108000000.0,-380242000000.0,-2806299000000.0,-3136001000000.0,-24159938000000.0,78296000000.0,-24081642000000.0,-58716000000.0,-24140358000000.0,-24081642000000.0,-22761618000000.0,-1320024000000.0,-24081642000000.0,-24140358000000.0,-22820716000000.0,-1319642000000.0,-24140358000000.0
12M 2020,3327875000000.0,-2438506000000.0,889369000000.0,-11056346000000.0,-3910103000000.0,-2547643000000.0,-1247431000000.0,-2035658000000.0,-1315511000000.0,-11056346000000.0,-10166977000000.0,-6621680000000.0,211896000000.0,-186265000000.0,-2139183000000.0,-51831000000.0,-467855000000.0,-3988442000000.0,-6621680000000.0,-16788657000000.0,53440000000.0,-16735217000000.0,113535000000.0,-16621682000000.0,-16735217000000.0,-14208571000000.0,-2526646000000.0,-16735217000000.0,-16621682000000.0,-14095036000000.0,-2526646000000.0,-16621682000000.0
12M 2021,4535764000000.0,-3775719000000.0,760045000000.0,-23144701000000.0,-7786832000000.0,-8931263000000.0,-2417006000000.0,-2490074000000.0,-1519526000000.0,-23144701000000.0,-22384656000000.0,173354000000.0,323408000000.0,-263732000000.0,15863000000.0,2383000000.0,-171217000000.0,266649000000.0,173354000000.0,-22211302000000.0,-217940000000.0,-22429242000000.0,-101950000000.0,-22531192000000.0,-22429242000000.0,-21390932000000.0,-1038310000000.0,-22429242000000.0,-22531192000000.0,-21494265000000.0,-1036927000000.0,-22531192000000.0
12M 2022,11349167000000.0,-5479970000000.0,5869197000000.0,-36198825000000.0,-12705888000000.0,-14087664000000.0,-2912887000000.0,-4642199000000.0,-1850187000000.0,-36198825000000.0,-30329628000000.0,-10214928000000.0,617702000000.0,-232863000000.0,797191000000.0,549646000000.0,-499954000000.0,-11446650000000.0,-10214928000000.0,-40544556000000.0,136064000000.0,-40408492000000.0,142217000000.0,-40266275000000.0,-40408492000000.0,-39571161000000.0,-837331000000.0,-40408492000000.0,-40266275000000.0,-39406754000000.0,-859521000000.0,-40266275000000.0
12M 2023,14785492000000.0,-5093179000000.0,9692313000000.0,-19971283000000.0,-5647458000000.0,-6430776000000.0,-2671148000000.0,-3517369000000.0,-1704532000000.0,-19971283000000.0,-10278970000000.0,-80355448000000.0,635780000000.0,-369285000000.0,-174214000000.0,-991570000000.0,-211826000000.0,-79244333000000.0,-80355448000000.0,-90634418000000.0,115692000000.0,-90518726000000.0,108019000000.0,-90410707000000.0,-90518726000000.0,-90395629000000.0,-123097000000.0,-90518726000000.0,-90410707000000.0,-90299292000000.0,-111415000000.0,-90410707000000.0
12M 2024,15894462000000.0,-7413392000000.0,8481070000000.0,-10721944000000.0,-4396253000000.0,-2849934000000.0,-744175000000.0,-1756068000000.0,-975514000000.0,-10721944000000.0,-2240874000000.0,-3034956000000.0,736449000000.0,-494053000000.0,289924000000.0,-482134000000.0,-2305125000000.0,-780017000000.0,-3034956000000.0,-5275830000000.0,-189025000000.0,-5464855000000.0,-67719000000.0,-5532574000000.0,-5464855000000.0,-5154924000000.0,-309931000000.0,-5464855000000.0,-5532574000000.0,-5113999000000.0,-418575000000.0,-5532574000000.0
