Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pelanggan,Pembayaran Kepada Pemasok,Penerimaan Dari Pengguna - Dikurang Pembayaran Kepada Pedagang Dan Penyedia Jasa Logistik,"Pembiayaan Yang Disalurkan Kepada Pengguna, Bersih",Pembiayaan Yang Disalurkan Kepada Pengguna,Pembayaran Terkait Biaya Transaksi Atas Akuisisi Entitas Anak,Pembayaran Kepada Karyawan,Pembayaran Lain-Lain,Pembayaran Pajak Penghasilan,Penerimaan Penghasilan Keuangan,Pembayaran Biaya Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penambahan Aset Tidak Berwujud,Perolehan Aset Tetap,Penerimaan Dari Penjualan Aset Tetap,Penerimaan Dari Penjualan Aset Dan Liabilitas Atas Kelompok Lepasan Yang Dimiliki Untuk Dijual,Pembayaran Untuk Akuisisi Entitas Anak,Pelepasan Kas Bersih Dari Penjualan Kepentingan Pada Entitas Anak Dengan Kehilangan Pengendalian,Penambahan Investasi Pada Entitas Asosiasi Dan Ventura Bersama,Penerimaan Dividen Dari Investasi Pada Entitas Asosiasi,Penerimaan Dari Penjualan Investasi Pada Entitas Asosiasi Dan Ventura Bersama,Penambahan Pinjaman Kepada Pihak Ketiga,Penerimaan Dari Pemberian Pinjaman Kepada Pihak Ketiga,Penambahan Pinjaman Kepada Pihak Berelasi,Pelepasan Kas Bersih Atas Kehilangan Kepentingan Pada Entitas Anak,Penempatan Pada Deposito Berjangka,Penempatan Pada Kas Yang Dibatasi Penggunaannya,Penerimaan Dari Promissory Notes Sehubungan Dengan Penjualan Investasi Grup,Pembayaran Untuk Akuisisi Kepentingan Nonpengendali Pada Entitas Anak,Penambahan Aset Keuangan Diukur Pada Nilai Wajar Melalui Laba Rugi,Penerimaan Atas Penjualan Aset Keuangan Diukur Pada Nilai Wajar Melalui Laba Rugi,Penerimaan Dividen Dari Aset Keuangan Diukur Pada Nilai Wajar Melalui Laba Rugi,Penerimaan Atas Pengembalian Modal Aset Keuangan Pada Nilai Wajar Melalui Laba Rugi,Penerimaan Hasil Penjualan Aset Keuangan Pada Nilai Wajar Melalui Laba Rugi,Penambahan Aset Keuangan Tersedia Untuk Dijual,Penerimaan Dari Penjualan Aset Keuangan Tersedia Untuk Dijual,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Saham Treasuri,Penerimaan Atas Penjualan Saham Treasuri,Setoran Modal Dari Kepentingan Nonpengendali,Penerimaan Atas Penjualan Kepentingan Dalam Entitas Anak Tanpa Kehilangan Pengendalian,Penerimaan Pinjaman Dari Pihak Ketiga,Pembayaran Pinjaman Dari Pihak Ketiga,Pembayaran Atas Porsi Pokok Liabilitas Sewa,Penerimaan Dari Penerbitan Modal Saham,Pembayaran Biaya Transaksi Dalam Penerbitan Instrumen Ekuitas,Pembayaran Untuk Akuisisi Kepentingan Nonpengendali Pada Entitas Anak,Penerimaan Dari Penerbitan Instrumen Keuangan Majemuk Lain-Lain,Penerimaan Dari Penjualan Saham Tresuri Untuk Opsi Penjatahan Lebih,Pembayaran Untuk Pembelian Kembali Saham Tresuri Pada Pengeksekusian Opsi Penjatahan Lebih,Akuisisi Saham Tresuri,Penerimaan Dari Penerbitan Obligasi Bersifat Ekuitas,Pembayaran Biaya Transaksi Dalam Penerbitan Obligasi Bersifat Ekuitas,Penerimaan Dari Pengeksekusian Opsi Dari Pinjaman Yang Dapat Dikonversi Dan Opsi Beli,Penerimaan Dari Eksekusi Opsi Beli,Pembayaran Atas Eksekusi Opsi Jual,Penerimaan Dari Eksekusi Atas Kompensasi Berbasis Saham,Penerimaan Dari Uang Muka Modal Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Pelepasan Kas Atas Klasifikasi Aset Yang Dimiliki Untuk Dijual,Kas Dan Setara Kas Akhir Periode
12M 2018,-10648276000000.000000,4481290000000.000000,-9455172000000.000000,-958866000000.000000,,,,,-1112894000000.000000,-3674766000000.000000,-54810000000.000000,182443000000.000000,-55501000000.000000,-10648276000000.000000,-11693036000000.000000,-546003000000.000000,-210309000000.000000,,,-2166807000000.000000,,-6979181000000.000000,,,,,,,,,,,-370280000000.000000,,,,,-1551383000000.000000,130927000000.000000,-11693036000000.000000,20726299000000.000000,-740538000000.000000,,47813000000.000000,,,,,21236174000000.000000,,,182850000000.000000,,,,,,,,,,,20726299000000.000000,-1615013000000.000000,6688250000000.000000,732723000000.000000,,5805960000000.000000
12M 2019,-19031759000000.000000,8642630000000.000000,-18564977000000.000000,-2000367000000.000000,,,,,-2158991000000.000000,-4950864000000.000000,-26813000000.000000,134801000000.000000,-107178000000.000000,-19031759000000.000000,-3857143000000.000000,-811606000000.000000,-442058000000.000000,,,-895718000000.000000,,-367739000000.000000,,,-1176224000000.000000,,,,,,,-150239000000.000000,-215490000000.000000,,,300337000000.000000,,-98406000000.000000,,-3857143000000.000000,23324102000000.000000,-126206000000.000000,,159122000000.000000,,1056499000000.000000,-2253000000.000000,,22215094000000.000000,,,,,,,,,,,,,21846000000.000000,23324102000000.000000,435200000000.000000,5805960000000.000000,-136735000000.000000,,6104425000000.000000
12M 2020,-7361142000000.000000,8484986000000.000000,-5680108000000.000000,-871574000000.000000,,,,,-2632765000000.000000,-6502767000000.000000,-161149000000.000000,169689000000.000000,-167454000000.000000,-7361142000000.000000,-5305318000000.000000,-1270791000000.000000,-254851000000.000000,69765000000.000000,,-2065933000000.000000,-675996000000.000000,-990897000000.000000,,,-243621000000.000000,1091931000000.000000,,,,,,,-964925000000.000000,,,,,,,-5305318000000.000000,23787071000000.000000,-220074000000.000000,,15427224000000.000000,4492884000000.000000,4073638000000.000000,-2783207000000.000000,-126824000000.000000,2290549000000.000000,,,632881000000.000000,,,,,,,,,,,23787071000000.000000,11120611000000.000000,6104425000000.000000,-1713644000000.000000,-192107000000.000000,15319285000000.000000
12M 2021,-14691398000000.000000,15476202000000.000000,-15320475000000.000000,-1148138000000.000000,323892000000.000000,,,-280744000000.000000,-4096899000000.000000,-9589238000000.000000,-239113000000.000000,318098000000.000000,-134983000000.000000,-14691398000000.000000,-91250751000000.000000,-872968000000.000000,-264710000000.000000,,5108471000000.000000,-92089069000000.000000,-97938000000.000000,-2229963000000.000000,,50000000000.000000,-558054000000.000000,457206000000.000000,,,,,,,-1698470000000.000000,,,944744000000.000000,,,,-91250751000000.000000,121530628000000.000000,-2532028000000.000000,283887000000.000000,56475000000.000000,19805000000.000000,2160901000000.000000,-3617870000000.000000,-220792000000.000000,135361006000000.000000,,-17851982000000.000000,,,,,,,7679014000000.000000,518918000000.000000,-642617000000.000000,315911000000.000000,,121530628000000.000000,15588479000000.000000,15319285000000.000000,243144000000.000000,,31150908000000.000000
12M 2022,-17206303000000.000000,22896945000000.000000,-20077916000000.000000,-2037486000000.000000,607023000000.000000,,,,-6293746000000.000000,-12322407000000.000000,-339948000000.000000,551448000000.000000,-190216000000.000000,-17206303000000.000000,1134276000000.000000,-104398000000.000000,-347738000000.000000,41838000000.000000,16457000000.000000,,-58097000000.000000,-278540000000.000000,5256000000.000000,14958000000.000000,-1314370000000.000000,618889000000.000000,,,,,1404594000000.000000,,-902540000000.000000,1496700000000.000000,30623000000.000000,510644000000.000000,,,,1134276000000.000000,13374290000000.000000,,,11325000000.000000,,1491286000000.000000,-1527562000000.000000,-208309000000.000000,13727889000000.000000,-139267000000.000000,-6960000000.000000,,2049231000000.000000,-2049328000000.000000,,,,,,,25985000000.000000,,13374290000000.000000,-2697737000000.000000,31150908000000.000000,556006000000.000000,,29009177000000.000000
12M 2023,-4325308000000.000000,23748122000000.000000,-12822461000000.000000,-2233673000000.000000,-266652000000.000000,,,,-5337034000000.000000,-7422939000000.000000,-277118000000.000000,582161000000.000000,-295714000000.000000,-4325308000000.000000,-1489151000000.000000,-49047000000.000000,-171400000000.000000,19968000000.000000,,,-189754000000.000000,-42625000000.000000,2901000000.000000,,-623762000000.000000,765976000000.000000,-45000000000.000000,,-2225788000000.000000,,,,-400922000000.000000,1252055000000.000000,22721000000.000000,195526000000.000000,,,,-1489151000000.000000,1732508000000.000000,,,27000000000.000000,,,-455622000000.000000,-182015000000.000000,,,-45291000000.000000,,,,,2304171000000.000000,-56995000000.000000,,,,141260000000.000000,,1732508000000.000000,-4064830000000.000000,29009177000000.000000,-100395000000.000000,,24843952000000.000000
12M 2024,-622114000000.000000,18880338000000.000000,-4784853000000.000000,-5784605000000.000000,-24042000000.000000,-1229186000000.000000,,,-3321854000000.000000,-4655285000000.000000,-88466000000.000000,700446000000.000000,-314607000000.000000,-622114000000.000000,-10328261000000.000000,-6339296000000.000000,-179566000000.000000,3341000000.000000,,-83904000000.000000,-4006527000000.000000,-2200000000.000000,,,-44093000000.000000,334293000000.000000,,,421217000000.000000,-1000000000000.000000,,,-99957000000.000000,236248000000.000000,13835000000.000000,418348000000.000000,,,,-10328261000000.000000,4705539000000.000000,,,20592000000.000000,38427000000.000000,6381860000000.000000,-434000000000.000000,-104284000000.000000,,,-32453000000.000000,,,,-1199693000000.000000,,,,,,35090000000.000000,,4705539000000.000000,-7618437000000.000000,24843952000000.000000,224880000000.000000,,17450395000000.000000
