Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,6913792000000.0,-5463432000000.0,1450360000000.0,-969104000000.0,-724117000000.0,-244987000000.0,-969104000000.0,481256000000.0,10560000000.0,8810000000.0,24768000000.0,-21815000000.0,-2284000000.0,1081000000.0,10560000000.0,491816000000.0,-124953000000.0,366863000000.0,-8535000000.0,358328000000.0,366863000000.0,364337000000.0,2526000000.0,366863000000.0,358328000000.0,355860000000.0,2468000000.0,358328000000.0
12M 2020,6110155000000.0,-4790950000000.0,1319205000000.0,-1093111000000.0,-690033000000.0,-403078000000.0,-1093111000000.0,226094000000.0,41152000000.0,16012000000.0,54727000000.0,-13095000000.0,-10199000000.0,-6293000000.0,41152000000.0,267246000000.0,-61657000000.0,205589000000.0,63105000000.0,268694000000.0,205589000000.0,200434000000.0,5155000000.0,205589000000.0,268694000000.0,263514000000.0,5180000000.0,268694000000.0
12M 2021,6973718000000.0,-5497126000000.0,1476592000000.0,-1059591000000.0,-652913000000.0,-406678000000.0,-1059591000000.0,417001000000.0,32921000000.0,1647000000.0,32857000000.0,-3020000000.0,-10807000000.0,12244000000.0,32921000000.0,449922000000.0,-98452000000.0,351470000000.0,12261000000.0,363731000000.0,351470000000.0,346507000000.0,4963000000.0,351470000000.0,363731000000.0,358765000000.0,4966000000.0,363731000000.0
12M 2022,8461768000000.0,-6681418000000.0,1780350000000.0,-1323808000000.0,-807973000000.0,-515835000000.0,-1323808000000.0,456542000000.0,42233000000.0,-10201000000.0,23107000000.0,-5421000000.0,-7378000000.0,42126000000.0,42233000000.0,498775000000.0,-116670000000.0,382105000000.0,9709000000.0,391814000000.0,382105000000.0,377895000000.0,4210000000.0,382105000000.0,391814000000.0,387600000000.0,4214000000.0,391814000000.0
12M 2023,9239926000000.0,-7212874000000.0,2027052000000.0,-1618297000000.0,-1018503000000.0,-599794000000.0,-1618297000000.0,408755000000.0,4377000000.0,8480000000.0,28408000000.0,-15995000000.0,-5015000000.0,-11501000000.0,4377000000.0,413132000000.0,-94054000000.0,319078000000.0,101248000000.0,420326000000.0,319078000000.0,311183000000.0,7895000000.0,319078000000.0,420326000000.0,412424000000.0,7902000000.0,420326000000.0
12M 2024,9811549000000.0,-7734005000000.0,2077544000000.0,-1634781000000.0,-1039746000000.0,-595035000000.0,-1634781000000.0,442763000000.0,22833000000.0,2720000000.0,24616000000.0,-2119000000.0,-1353000000.0,-1031000000.0,22833000000.0,465596000000.0,-101864000000.0,363732000000.0,8987000000.0,372719000000.0,363732000000.0,363944000000.0,-212000000.0,363732000000.0,372719000000.0,372949000000.0,-230000000.0,372719000000.0
