Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Tak Berwujud,Investasi Pada Entitas Asosiasi,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Bank Jangka Pendek,Liabilitas Pajak Tangguhan,Obligasi Konversi,Utang Pajak,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Liabilitas Pajak Tangguhan,Saham Beredar
12M 2019,,,100807000000.000000,1065000000000.000000,1100578000000.000000,1098141000000.000000,2437000000.000000,1100578000000.000000,1274225000000.000000,195963000000.000000,3736573000000.000000,,1645424000000.000000,33562000000.000000,103603000000.000000,22410000000.000000,29079000000.000000,1834078000000.000000,5570651000000.000000,,,2112483000000.000000,,712663000000.000000,68156000000.000000,780819000000.000000,210000000000.000000,,1065000000000.000000,28064000000.000000,14956000000.000000,13644000000.000000,2112483000000.000000,174577000000.000000,22575000000.000000,,152002000000.000000,174577000000.000000,2287060000000.000000,,205250000000.000000,,2395097000000.000000,,,2395097000000.000000,6660000000.000000,676584000000.000000,3283591000000.000000,5570651000000.000000,,8210000000.000000
12M 2020,,,1195995000000.000000,,913991000000.000000,913991000000.000000,,913991000000.000000,1312678000000.000000,161569000000.000000,3584233000000.000000,,1862871000000.000000,34805000000.000000,93404000000.000000,18697000000.000000,86628000000.000000,2096405000000.000000,5680638000000.000000,,,822493000000.000000,,660377000000.000000,64851000000.000000,725228000000.000000,40000000000.000000,,,26447000000.000000,17882000000.000000,12936000000.000000,822493000000.000000,202549000000.000000,26005000000.000000,,176544000000.000000,202549000000.000000,1025042000000.000000,,236709000000.000000,1080618000000.000000,2578570000000.000000,100000000000.000000,2478570000000.000000,2578570000000.000000,11850000000.000000,747849000000.000000,4655596000000.000000,5680638000000.000000,,9468359000.000000
12M 2021,,,1192996000000.000000,140000000000.000000,993941000000.000000,993941000000.000000,,993941000000.000000,1417084000000.000000,221253000000.000000,3965274000000.000000,,2107755000000.000000,42975000000.000000,82597000000.000000,16388000000.000000,82298000000.000000,2332013000000.000000,6297287000000.000000,,,1106492000000.000000,,946044000000.000000,81957000000.000000,1028001000000.000000,,,,42302000000.000000,22392000000.000000,13797000000.000000,1106492000000.000000,171414000000.000000,15562000000.000000,,155852000000.000000,171414000000.000000,1277906000000.000000,,236709000000.000000,1080618000000.000000,2937335000000.000000,141118000000.000000,2796217000000.000000,2937335000000.000000,16870000000.000000,747849000000.000000,5019381000000.000000,6297287000000.000000,,9468359000.000000
12M 2022,,,1026119000000.000000,,985129000000.000000,985129000000.000000,,985129000000.000000,1938408000000.000000,326280000000.000000,4275936000000.000000,,2298552000000.000000,,75219000000.000000,9814000000.000000,218776000000.000000,2602361000000.000000,6878297000000.000000,,,1312391000000.000000,,992117000000.000000,72793000000.000000,1064910000000.000000,170000000000.000000,5982000000.000000,,20708000000.000000,32104000000.000000,18687000000.000000,1312391000000.000000,154644000000.000000,9311000000.000000,,145333000000.000000,154644000000.000000,1467035000000.000000,,236709000000.000000,1080618000000.000000,3324935000000.000000,211412000000.000000,3113523000000.000000,3324935000000.000000,21151000000.000000,747849000000.000000,5411262000000.000000,6878297000000.000000,5982000000.000000,9468359000.000000
12M 2023,,,546665000000.000000,,1109670000000.000000,1109670000000.000000,,1109670000000.000000,2139971000000.000000,342129000000.000000,4138435000000.000000,,2712720000000.000000,,70204000000.000000,6064000000.000000,239457000000.000000,3028445000000.000000,7166880000000.000000,,,1163284000000.000000,,970315000000.000000,132029000000.000000,1102344000000.000000,,3469000000.000000,,16087000000.000000,,41384000000.000000,1163284000000.000000,171864000000.000000,163609000000.000000,,8255000000.000000,171864000000.000000,1335148000000.000000,,236709000000.000000,1080618000000.000000,3636785000000.000000,287833000000.000000,3348952000000.000000,3636785000000.000000,29197000000.000000,848423000000.000000,5831732000000.000000,7166880000000.000000,3469000000.000000,9468359000.000000
12M 2024,,,538626000000.000000,,1180037000000.000000,1180037000000.000000,,1180037000000.000000,2155402000000.000000,219419000000.000000,4093484000000.000000,,3038249000000.000000,,68851000000.000000,10783000000.000000,242729000000.000000,3360612000000.000000,7454096000000.000000,,,1059189000000.000000,,912837000000.000000,101120000000.000000,1013957000000.000000,,867000000.000000,,19319000000.000000,,25046000000.000000,1059189000000.000000,190456000000.000000,179068000000.000000,9221000000.000000,2167000000.000000,190456000000.000000,1249645000000.000000,,236709000000.000000,1080618000000.000000,4009734000000.000000,351648000000.000000,3658086000000.000000,4009734000000.000000,28967000000.000000,848423000000.000000,6204451000000.000000,7454096000000.000000,867000000.000000,9468359000.000000
