Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Bunga,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Untuk Karyawan,Pembayaran Kas Untuk Aktivitas Operasi Lain-Lain,Pembayaran Bunga,Penerimaan Dari Klaim Pengembalian Pajak,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Kas Dari Penjualan Aset Tetap,Penempatan Pada Deposito Berjangka,Penerimaan Dari Deposito Berjangka,Uang Muka Untuk Pembangunan Aset Tetap,Investasi Pada Entitas Asosiasi,Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Utang Bank,Penerimaan Obligasi Konversi,Pembayaran Obligasi Konversi,Penerimaan Dari Penerbitan Modal Saham,Pembayaran Biaya Emisi Saham,Pembayaran Utang Bank,Pembayaran Utang Sewa Pembiayaan,Pembayaran Dividen Entitas Anak Ke Kepentingan Nonpengendali,Penerimaan Kepentingan Nonpengendali Atas Ekuitas Entitas Anak,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,433254000000.000000,6767909000000.000000,24768000000.000000,-5094994000000.000000,-610448000000.000000,-503888000000.000000,-21815000000.000000,,-128278000000.000000,433254000000.000000,-1430959000000.000000,1409000000.000000,-1065000000000.000000,,,-71049000000.000000,-269955000000.000000,-26364000000.000000,-1430959000000.000000,997368000000.000000,200000000000.000000,1065000000000.000000,,,,-240000000000.000000,-27632000000.000000,,,997368000000.000000,-337000000.000000,101144000000.000000,100807000000.000000
12M 2020,523739000000.000000,6284913000000.000000,54727000000.000000,-4591872000000.000000,-598295000000.000000,-579263000000.000000,-13095000000.000000,23709000000.000000,-57085000000.000000,523739000000.000000,710337000000.000000,2252000000.000000,,1065000000000.000000,,,-353165000000.000000,-3750000000.000000,710337000000.000000,-138888000000.000000,,,,91500000000.000000,-41199000000.000000,-170000000000.000000,-19189000000.000000,,,-138888000000.000000,1095188000000.000000,100807000000.000000,1195995000000.000000
12M 2021,570500000000.000000,6904412000000.000000,32857000000.000000,-5117086000000.000000,-654496000000.000000,-513230000000.000000,-3020000000.000000,,-78937000000.000000,570500000000.000000,-513252000000.000000,4800000000.000000,-140000000000.000000,,-2992000000.000000,,-363413000000.000000,-11647000000.000000,-513252000000.000000,-60247000000.000000,,,,,,-40000000000.000000,-20301000000.000000,-8000000.000000,62000000.000000,-60247000000.000000,-2999000000.000000,1195995000000.000000,1192996000000.000000
12M 2022,-99776000000.000000,8456254000000.000000,23107000000.000000,-7022985000000.000000,-750010000000.000000,-656467000000.000000,-5421000000.000000,,-144254000000.000000,-99776000000.000000,-190412000000.000000,4828000000.000000,,140000000000.000000,-39165000000.000000,,-287900000000.000000,-8175000000.000000,-190412000000.000000,123311000000.000000,420000000000.000000,,,,,-250000000000.000000,-46756000000.000000,,67000000.000000,123311000000.000000,-166877000000.000000,1192996000000.000000,1026119000000.000000
12M 2023,210076000000.000000,9134725000000.000000,28407000000.000000,-7085792000000.000000,-893122000000.000000,-859751000000.000000,-15997000000.000000,,-98394000000.000000,210076000000.000000,-476827000000.000000,3493000000.000000,,,-3984000000.000000,,-468972000000.000000,-7364000000.000000,-476827000000.000000,-212703000000.000000,610000000000.000000,,,,,-780000000000.000000,-42847000000.000000,,144000000.000000,-212703000000.000000,-479454000000.000000,1026119000000.000000,546665000000.000000
12M 2024,516440000000.000000,9774094000000.000000,24616000000.000000,-7338512000000.000000,-928474000000.000000,-872053000000.000000,-2119000000.000000,,-141112000000.000000,516440000000.000000,-499440000000.000000,4791000000.000000,-70000000000.000000,,-8479000000.000000,,-425752000000.000000,,-499440000000.000000,-25039000000.000000,,,,,,,-25039000000.000000,,,-25039000000.000000,-8039000000.000000,546665000000.000000,538626000000.000000
