Period,Total Pendapatan,Provisi Dan Komisi Kredit,Beban Bunga,Premi Bruto,Premi Reasuransi,Penurunan (Kenaikan) Premi Yang Belum Merupakan Pendapatan,Hasil Investasi,Laba Penjualan Efek,Laba Yang Belum Direalisasikan Dari Efek Dan Reksa Dana Pada Nilai Wajar Melalui Laba Atau Rugi,Others,Total Pendapatan,Total Beban Usaha,Klaim Bruto,Klaim Reasuransi,Kenaikan Manfaat Polis Masa Depan,Beban Akuisisi,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Hasil Investasi,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,1163137000000.000000,,,1185885000000.000000,-22746000000.000000,-2000000.000000,,,,,1163137000000.000000,-850247000000.000000,-1476600000000.000000,3623000000.000000,750636000000.000000,-72810000000.000000,-9737000000.000000,-42432000000.000000,-2927000000.000000,-850247000000.000000,312890000000.000000,65169000000.000000,61865000000.000000,,3304000000.000000,65169000000.000000,378059000000.000000,-10825000000.000000,-10825000000.000000,,-10825000000.000000,367234000000.000000,-97000000.000000,367137000000.000000,,,,,367137000000.000000,367234000000.000000,-97000000.000000,367137000000.000000,,,,
12M 2009,1002025000000.000000,,,1038399000000.000000,-35479000000.000000,-895000000.000000,,,,,1002025000000.000000,-1604654000000.000000,-784550000000.000000,6393000000.000000,-665845000000.000000,-100808000000.000000,-9305000000.000000,-50502000000.000000,-37000000.000000,-1604654000000.000000,-602629000000.000000,1073010000000.000000,1070210000000.000000,,2800000000.000000,1073010000000.000000,470381000000.000000,-4591000000.000000,-4591000000.000000,,-4591000000.000000,465790000000.000000,-89000000.000000,465701000000.000000,,,,,465701000000.000000,465790000000.000000,-89000000.000000,465701000000.000000,,,,
12M 2010,1335803000000.000000,,,1380179000000.000000,-40004000000.000000,-4372000000.000000,,,,,1335803000000.000000,-1684851000000.000000,-1226796000000.000000,8206000000.000000,-224708000000.000000,-123406000000.000000,-10484000000.000000,-67732000000.000000,-39931000000.000000,-1684851000000.000000,-349048000000.000000,1074839000000.000000,1022705000000.000000,,52134000000.000000,1074839000000.000000,725791000000.000000,-13595000000.000000,-13595000000.000000,,-13595000000.000000,712196000000.000000,,712196000000.000000,,,,,712196000000.000000,712196000000.000000,,712196000000.000000,,,,
12M 2011,2518935000000.000000,,,,,,,,,,2518935000000.000000,-2468850000000.000000,,,,,,,,-2468850000000.000000,50085000000.000000,875068000000.000000,,,875068000000.000000,875068000000.000000,925153000000.000000,,,,,925153000000.000000,,925153000000.000000,3271000000.000000,3271000000.000000,3271000000.000000,928424000000.000000,925153000000.000000,925153000000.000000,,925153000000.000000,928424000000.000000,928424000000.000000,,928424000000.000000
12M 2012,2215826000000.000000,,,2261638000000.000000,-44332000000.000000,-1480000000.000000,,,,,2215826000000.000000,-2385844000000.000000,-2077822000000.000000,27799000000.000000,-49048000000.000000,-152372000000.000000,-12875000000.000000,-98395000000.000000,-23131000000.000000,-2385844000000.000000,-170018000000.000000,1281504000000.000000,172148000000.000000,971999000000.000000,137357000000.000000,1281504000000.000000,1111486000000.000000,,,,,1111486000000.000000,,1111486000000.000000,16599000000.000000,16599000000.000000,16599000000.000000,1128085000000.000000,1111486000000.000000,1111486000000.000000,,1111486000000.000000,1128085000000.000000,1128085000000.000000,,1128085000000.000000
12M 2013,3248895000000.000000,,,3294966000000.000000,-49227000000.000000,1183000000.000000,,,,1973000000.000000,3248895000000.000000,-3475152000000.000000,-3252892000000.000000,30161000000.000000,-11082000000.000000,-148451000000.000000,-12437000000.000000,-148884000000.000000,68433000000.000000,-3475152000000.000000,-226257000000.000000,1426862000000.000000,379586000000.000000,1042279000000.000000,4997000000.000000,1426862000000.000000,1200605000000.000000,-3073000000.000000,-3073000000.000000,,-3073000000.000000,1197532000000.000000,,1197532000000.000000,-68395000000.000000,-68395000000.000000,-68395000000.000000,1129137000000.000000,1197532000000.000000,1173540000000.000000,23992000000.000000,1197532000000.000000,1129137000000.000000,1104988000000.000000,24149000000.000000,1129137000000.000000
12M 2014,3644285000000.000000,,,3700564000000.000000,-54515000000.000000,-2316000000.000000,,,,552000000.000000,3644285000000.000000,-4098166000000.000000,-2355867000000.000000,35348000000.000000,-1412885000000.000000,-169680000000.000000,-39062000000.000000,-151504000000.000000,-4516000000.000000,-4098166000000.000000,-453881000000.000000,1868696000000.000000,589493000000.000000,1086482000000.000000,192721000000.000000,1868696000000.000000,1414815000000.000000,-5047000000.000000,-5047000000.000000,,-5047000000.000000,1409768000000.000000,,1409768000000.000000,42579000000.000000,42579000000.000000,42579000000.000000,1452347000000.000000,1409768000000.000000,1287647000000.000000,122121000000.000000,1409768000000.000000,1452347000000.000000,1322042000000.000000,130305000000.000000,1452347000000.000000
12M 2015,3716144000000.000000,,,3775395000000.000000,-56918000000.000000,-2634000000.000000,,,,301000000.000000,3716144000000.000000,-3848593000000.000000,-4137398000000.000000,35925000000.000000,703170000000.000000,-197148000000.000000,-53372000000.000000,-201175000000.000000,1405000000.000000,-3848593000000.000000,-132449000000.000000,1180545000000.000000,784474000000.000000,654052000000.000000,-257981000000.000000,1180545000000.000000,1048096000000.000000,-256000000.000000,,-256000000.000000,-256000000.000000,1047840000000.000000,,1047840000000.000000,-4670000000.000000,-4670000000.000000,-4670000000.000000,1043170000000.000000,1047840000000.000000,905401000000.000000,142439000000.000000,1047840000000.000000,1043170000000.000000,907880000000.000000,135290000000.000000,1043170000000.000000
12M 2016,3526034000000.000000,,,3602671000000.000000,-74821000000.000000,-2615000000.000000,,,,799000000.000000,3526034000000.000000,-3852016000000.000000,-3332354000000.000000,58223000000.000000,-55607000000.000000,-216882000000.000000,-84926000000.000000,-221713000000.000000,1243000000.000000,-3852016000000.000000,-325982000000.000000,2004811000000.000000,655575000000.000000,1172858000000.000000,176378000000.000000,2004811000000.000000,1678829000000.000000,-447000000.000000,-447000000.000000,,-447000000.000000,1678382000000.000000,,1678382000000.000000,3144591000000.000000,3144591000000.000000,3144591000000.000000,4822973000000.000000,1678382000000.000000,1536075000000.000000,142307000000.000000,1678382000000.000000,4822973000000.000000,4670298000000.000000,152675000000.000000,4822973000000.000000
12M 2017,4105637000000.000000,,,4209352000000.000000,-100035000000.000000,-4312000000.000000,,,,632000000.000000,4105637000000.000000,-4458567000000.000000,-4148041000000.000000,58567000000.000000,178101000000.000000,-262277000000.000000,-65916000000.000000,-224262000000.000000,5261000000.000000,-4458567000000.000000,-352930000000.000000,1975246000000.000000,710595000000.000000,1115205000000.000000,149446000000.000000,1975246000000.000000,1622316000000.000000,-12853000000.000000,-12853000000.000000,,-12853000000.000000,1609463000000.000000,,1609463000000.000000,73568000000.000000,73568000000.000000,73568000000.000000,1683031000000.000000,1609463000000.000000,1457567000000.000000,151896000000.000000,1609463000000.000000,1683031000000.000000,1496254000000.000000,186777000000.000000,1683031000000.000000
