Period,Arus Kas Dari Aktivitas Operasi,"Bunga, Provisi Dan Komisi","Bunga, Hadiah, Provisi Dan Komisi Dana Yang Dibayar",Keuntungan Dari Transaksi Valuta Asing,Penerimaan Pendapatan Operasional Lainnya,Pendapatan Premi,Penerimaan Klaim Reasuransi,Penerimaan Lain-Lain,Pembayaran Klaim Dan Manfaat,Pembayaran Premi Reasuransi,Pembayaran Beban Pajak,Pembayaran Biaya Akuisisi,Pembayaran Beban Usaha,Penerimaan Pendapatan Non-Operasional,Pembayaran Beban Non-Operasional,Beban Operasional Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Hasil Investasi,Pembelian Efek-Efek (Selain Diukur Pada Nilai Wajar Melalui Laba Rugi),Pencairan Deposito Berjangka,"Penerimaan Bunga Deposito, Obligasi Dan Reksadana",Pembelian Saham Dari Entitas Non-Pengendali,Pencairan Surat Berharga,Pencairan Investasi Dalam Bentuk Saham,Penerimaan Pinjaman Polis,Penerimaan Dari Penjualan Surat Berharga,Hasil Penjualan Investasi Dalam Bentuk Saham,Penerimaan Dividen,Hasil Penjualan Aset Tetap,Penempatan Deposito Berjangka,Penempatan Rekening Escrow,Penempatan Surat Berharga,Penempatan Investasi Dalam Bentuk Saham,Pemberian Pinjaman Polis,Efek-Efek Jatuh Tempo (Selain Diukur Pada Nilai Wajar Melalui Laba Rugi),Perolehan Aset Tetap,Uang Muka Pembelian Saham,Perolehan Aset Takberwujud,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Tambahan Modal Dari Hasil Penawaran Umum Erbatas Vii,Penerbitan Surat Berharga,Penerbitan Obligasi Subordinasi,Biaya Emisi Obligasi Yang Diterbitkan,Biaya Emisi Obligasi Subordinasi Yang Diterbitkan,Biaya Emisi Saham,Setoran Modal Lainnya,Pembayaran Dividen Oleh Entitas Anak Ke Kepentingan Nonpengendali,Hasil Pelaksanaan Waran Seri Iv,Hasil Pelaksanaan Waran Seri V,Pelunasan Surat Berharga Yang Diterbitkan,Penerimaan Pinjaman Yang Diterima Dari Entitas Anak,Pelunasan Pinjaman Yang Diterima Dari Entitas Anak,Penambahan Setoran Modal Saham Entitas Anak Oieh Pihak Nonpengendali,Pelunasan Obligasi Subordinasi Yang Diterbitkan,Pelunasan Obligasi Yang Diterbitkan,Penjuaian Saham Treasury,Pembelian Saham Treasury,Pembayaran Dividen Oleh Perusahaan,Pembayaran Liabilitas Sewa,Penerimaan (Pembayaran) Dividen,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,-434277000000.000000,,,,,1197544000000.000000,3622000000.000000,3304000000.000000,-1494840000000.000000,-17392000000.000000,,-71939000000.000000,-54576000000.000000,,,,-434277000000.000000,288609000000.000000,,,1380876000000.000000,,,3558655000000.000000,,8333000000.000000,,1547000000.000000,,147000000.000000,-1758218000000.000000,,-2838918000000.000000,-33316000000.000000,-19688000000.000000,,-10809000000.000000,,,288609000000.000000,-13069000000.000000,,,,,,,,,370000000.000000,,,,,,,,,-13439000000.000000,,,,-13069000000.000000,-40714000000.000000,,49282000000.000000,8568000000.000000
12M 2009,94129000000.000000,,,,,1035582000000.000000,6398000000.000000,2800000000.000000,-781772000000.000000,-28439000000.000000,,-99936000000.000000,-40504000000.000000,,,,94129000000.000000,-176538000000.000000,,,1936631000000.000000,,,1635253000000.000000,,34096000000.000000,,11951000000.000000,,159000000.000000,-2121874000000.000000,,-870763000000.000000,-780935000000.000000,-18105000000.000000,,-2951000000.000000,,,-176538000000.000000,1016000000.000000,,,,,,,,,1016000000.000000,,,,,,,,,,,,,1016000000.000000,9402000000.000000,,8568000000.000000,17970000000.000000
12M 2010,-52495000000.000000,,,,,1373686000000.000000,4620000000.000000,56281000000.000000,-1228670000000.000000,-38436000000.000000,,-122535000000.000000,-97441000000.000000,,,,-52495000000.000000,-36699000000.000000,,,8723829000000.000000,,,1407408000000.000000,,14188000000.000000,,13716000000.000000,,107000000.000000,-8950273000000.000000,,-1172085000000.000000,-55150000000.000000,-16734000000.000000,,-1705000000.000000,,,-36699000000.000000,55150000000.000000,,,,,,,,,,,,,,,,,,,,,55150000000.000000,55150000000.000000,36830000000.000000,-995000000.000000,17970000000.000000,53805000000.000000
12M 2011,735498000000.000000,,,,,2450717000000.000000,17347000000.000000,28516000000.000000,-1519214000000.000000,-50218000000.000000,,-122454000000.000000,-69196000000.000000,,,,735498000000.000000,-1298399000000.000000,,,21353501000000.000000,,,1779221000000.000000,,29494000000.000000,14204000000.000000,,,,-22158375000000.000000,,-2278191000000.000000,,-37478000000.000000,,-775000000.000000,,,-1298399000000.000000,491017000000.000000,499251000000.000000,,,,,-8234000000.000000,,,,,,,,,,,,,,,,491017000000.000000,19842000000.000000,-1013000000.000000,53805000000.000000,72634000000.000000
12M 2012,-42310000000.000000,,,,,2261411000000.000000,24333000000.000000,22937000000.000000,-2065401000000.000000,-47794000000.000000,,-152372000000.000000,-85424000000.000000,,,,-42310000000.000000,-570168000000.000000,,,1489145000000.000000,,,1655822000000.000000,,61532000000.000000,17232000000.000000,,,290000000.000000,-2022076000000.000000,,-1712189000000.000000,,-54495000000.000000,,-5429000000.000000,,,-570168000000.000000,,,,,,,,,,,,,,,,,,,,,,,,-469687000000.000000,1428000000.000000,1592539000000.000000,1124280000000.000000
12M 2013,-248305000000.000000,,,,,3292995000000.000000,34097000000.000000,10884000000.000000,-3257474000000.000000,-44995000000.000000,,-148451000000.000000,-135361000000.000000,,,,-248305000000.000000,-744941000000.000000,,,11221495000000.000000,,,,,120263000000.000000,729870000000.000000,,,165000000.000000,-10550864000000.000000,-1338000000000.000000,-745373000000.000000,,-175246000000.000000,,-7251000000.000000,,,-744941000000.000000,3343369000000.000000,,,,,,,,,,26470000000.000000,,,,3300000000000.000000,,,16899000000.000000,,,,,3343369000000.000000,2587476000000.000000,-7157000000.000000,1124280000000.000000,3704599000000.000000
12M 2014,962782000000.000000,,,,,3718298000000.000000,30862000000.000000,8853000000.000000,-2351760000000.000000,-47724000000.000000,,-169680000000.000000,-226067000000.000000,,,,962782000000.000000,696130000000.000000,,,,,,9623387000000.000000,,185179000000.000000,11130000000.000000,,,101000000.000000,-9666396000000.000000,1338000000000.000000,-261980000000.000000,,-136749000000.000000,,-7542000000.000000,,-389000000000.000000,696130000000.000000,470428000000.000000,,,,,,,,,,491706000000.000000,,,,,,,,,,,-21278000000.000000,470428000000.000000,2696314000000.000000,1784000000.000000,3704599000000.000000,6402697000000.000000
12M 2015,-734457000000.000000,,,,,3782639000000.000000,27223000000.000000,9043000000.000000,-4122187000000.000000,-54199000000.000000,,-199232000000.000000,-177744000000.000000,,,,-734457000000.000000,-1173114000000.000000,,,,,,14762280000000.000000,,317080000000.000000,,,,104000000.000000,-15116282000000.000000,,-816418000000.000000,,-314260000000.000000,,-5618000000.000000,,,-1173114000000.000000,-36256000000.000000,,,,,,,,,,,,,,,,,,,,,-36256000000.000000,-36256000000.000000,-1316438000000.000000,8749000000.000000,6402697000000.000000,5095008000000.000000
12M 2016,-198690000000.000000,,,,,3614859000000.000000,50814000000.000000,18460000000.000000,-3326569000000.000000,-70036000000.000000,,-214073000000.000000,-272145000000.000000,,,,-198690000000.000000,-1570877000000.000000,,,,,,16303993000000.000000,,220066000000.000000,184758000000.000000,,,351000000.000000,-16163965000000.000000,,-1894737000000.000000,,-217332000000.000000,,-4011000000.000000,,,-1570877000000.000000,-85340000000.000000,,,,,,,,,,,,,,,,,,,,,-85340000000.000000,-85340000000.000000,-808863000000.000000,-428000000.000000,5095008000000.000000,4285717000000.000000
12M 2017,-435678000000.000000,,,,,4195976000000.000000,72166000000.000000,56021000000.000000,-4147792000000.000000,-91533000000.000000,,-228406000000.000000,-292110000000.000000,,,,-435678000000.000000,-923018000000.000000,,,,,,22656344000000.000000,,283454000000.000000,583260000000.000000,,,1277000000.000000,-22866066000000.000000,,-1289564000000.000000,,-277514000000.000000,,-14209000000.000000,,,-923018000000.000000,-98167000000.000000,,,,,,,,,,,,,,,,,,,,,-98167000000.000000,-98167000000.000000,-813567000000.000000,-195000000.000000,4287000000000.000000,3473238000000.000000
12M 2018,40593000000.000000,,,,,3911300000000.000000,43023000000.000000,53954000000.000000,-3210311000000.000000,-89052000000.000000,,-271619000000.000000,-396702000000.000000,,,,40593000000.000000,-464245000000.000000,,,,,,29099471000000.000000,,128231000000.000000,270964000000.000000,,,882000000.000000,-29170300000000.000000,,-641806000000.000000,,-149369000000.000000,,-2318000000.000000,,,-464245000000.000000,-149400000000.000000,,,,,,,,,,,,,,,,,,,,,-149400000000.000000,-149400000000.000000,317499000000.000000,830000000.000000,3473238000000.000000,3791567000000.000000
12M 2019,-250168000000.000000,,,,,3897385000000.000000,94411000000.000000,33640000000.000000,-3408531000000.000000,-116528000000.000000,,-334378000000.000000,-416167000000.000000,,,,-250168000000.000000,-172262000000.000000,,,,,,29674938000000.000000,,218466000000.000000,3190820000000.000000,,,638000000.000000,-30367003000000.000000,,-2682263000000.000000,,-205869000000.000000,,-1989000000.000000,,,-172262000000.000000,-162229000000.000000,,,,,,,,,,,,,,,,,,,,,-162229000000.000000,-162229000000.000000,78868000000.000000,-538000000.000000,3791567000000.000000,3869897000000.000000
12M 2020,51091000000.000000,,,,,2492594000000.000000,87054000000.000000,8404000000.000000,-1715444000000.000000,-98026000000.000000,,-370699000000.000000,-352792000000.000000,,,,51091000000.000000,1126840000000.000000,,,28610931000000.000000,,,,,86667000000.000000,743030000000.000000,,,32000000.000000,-27362017000000.000000,,-882942000000.000000,,-66450000000.000000,,-2411000000.000000,,,1126840000000.000000,-85340000000.000000,,,,,,,,,,,,,,,,,,,,,-85340000000.000000,-85340000000.000000,1745015000000.000000,301000000.000000,3869897000000.000000,5615213000000.000000
12M 2021,-55683000000.000000,,,,,2336527000000.000000,230801000000.000000,15022000000.000000,-1613710000000.000000,-260842000000.000000,,-397333000000.000000,-366148000000.000000,,,,-55683000000.000000,-17761000000.000000,,,27396772000000.000000,,,,,41786000000.000000,1930216000000.000000,,,981000000.000000,-27370453000000.000000,,-1968194000000.000000,,-45135000000.000000,,-3734000000.000000,,,-17761000000.000000,-167637000000.000000,,,,,,,,,,,,,,,,,,,,-6005000000.000000,-161632000000.000000,-167637000000.000000,373091000000.000000,138000000.000000,5615213000000.000000,5988442000000.000000
12M 2022,-255559000000.000000,,,,,2207662000000.000000,233567000000.000000,15431000000.000000,-1849505000000.000000,-173299000000.000000,,-416374000000.000000,-273041000000.000000,,,,-255559000000.000000,-2082886000000.000000,,,30980029000000.000000,,,,,13143000000.000000,2967938000000.000000,,,529000000.000000,-33011274000000.000000,,-3009794000000.000000,,-7718000000.000000,,-15739000000.000000,,,-2082886000000.000000,-758138000000.000000,,,,,,,,,,,,,,,,,,,-320221000000.000000,-5776000000.000000,-432141000000.000000,-758138000000.000000,-2407447000000.000000,3295000000.000000,5988442000000.000000,3584290000000.000000
12M 2023,6050112000000.000000,14560960000000.000000,-5336905000000.000000,121795000000.000000,,2211022000000.000000,173093000000.000000,2258676000000.000000,-1520270000000.000000,-117645000000.000000,-819896000000.000000,-406151000000.000000,-5272377000000.000000,197810000000.000000,,,6050112000000.000000,-165124000000.000000,-1292061000000.000000,569287000000.000000,28376443000000.000000,,,,,534000000.000000,4392044000000.000000,,62659000000.000000,5996000000.000000,-26839957000000.000000,,-5132733000000.000000,,-679000000.000000,,-164558000000.000000,,-142099000000.000000,-165124000000.000000,-3816331000000.000000,,,,,,,,-286424000000.000000,,,-4000000000000.000000,3150000000000.000000,-2493637000000.000000,,-100000000000.000000,,,,,-86270000000.000000,,-3816331000000.000000,150590000000.000000,-47560000000.000000,20837759000000.000000,20940789000000.000000
