Period,Aset,Kas Dan Setara Kas,Others,Total Kas Dan Setara Kas,Pinjaman Yang Diberikan,Pihak Ketiga,Pihak Berelasi,Others,Total Pinjaman Yang Diberikan,Piutang Sewa Pembiayaan,Pihak Ketiga,Pihak Berelasi,Others,Total Piutang Sewa Pembiayaan,Piutang Pembiayaan Konsumen,Pihak Ketiga,Pihak Berelasi,Others,Total Piutang Pembiayaan Konsumen,Investasi Jangka Pendek,Pihak Ketiga,Deposito Berjangka,Efek Tersedia Untuk Dijual,Others,Total Pihak Ketiga,Pihak Berelasi,Deposito Berjangka,Efek Tersedia Untuk Dijual,Others,Total Pihak Berelasi,Total Investasi Jangka Pendek,Piutang Premi,Pihak Ketiga,Pihak Berelasi,Total Piutang Premi,Piutang Reasuransi,Pihak Ketiga,Pihak Berelasi,Total Piutang Reasuransi,Aset Reasuransi,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Investasi Pada Entitas Asosiasi,Investasi Jangka Panjang,Pihak Ketiga,Pihak Berelasi,Total Investasi Jangka Panjang,Aset Pajak Tangguhan,Aset Tetap,Aset Tak Berwujud,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Simpanan Nasabah,Pihak Ketiga,Pihak Berelasi,Total Simpanan Nasabah,Simpanan Dari Bank Lain,Pihak Ketiga,Pihak Berelasi,Total Simpanan Dari Bank Lain,Liabilitas Derivatif,Pihak Ketiga,Pihak Berelasi,Total Liabilitas Derivatif,Liabilitas Akseptasi,Pihak Ketiga,Pihak Berelasi,Total Liabilitas Akseptasi,Surat Berharga Yang Diterbitkan,Pinjaman Yang Diterima,Pihak Ketiga,Pihak Berelasi,Total Pinjaman Yang Diterima,Obligasi Subordinasi,Utang Reasuransi,Utang Klaim,Liabilitas Kontrak Asuransi,Premi Yang Belum Merupakan Pendapatan,Estimasi Liabilitas Klaim,Liabilitas Manfaat Polis Masa Depan,Others,Total Liabilitas Kontrak Asuransi,Utang Usaha,Utang Pajak,Beban Akrual,Pihak Ketiga,Pihak Berelasi,Total Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Liabilitas Manfaat Polis Masa Depan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Manfaat Polis Masa Depan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Dana Syirkah Temporer,Others,Total Dana Syirkah Temporer,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,8568000000.000000,8568000000.000000,,,,,,,,,,,,,,,,,1341328000000.000000,285758000000.000000,1033314000000.000000,22256000000.000000,1341328000000.000000,4487094000000.000000,242955000000.000000,661531000000.000000,3582608000000.000000,4487094000000.000000,5828422000000.000000,2677000000.000000,,,2677000000.000000,33000000.000000,,,33000000.000000,,,,,,5476000000.000000,,,5476000000.000000,,,,,,21120000000.000000,14288000000.000000,,22461000000.000000,5903045000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,7700000000.000000,6283000000.000000,1566973000000.000000,2703000000.000000,8040000000.000000,1556230000000.000000,,1566973000000.000000,,1085000000.000000,1326000000.000000,,,1326000000.000000,,,,,,,,,,,,9024000000.000000,1592391000000.000000,,3004246000000.000000,104076000000.000000,1930173000000.000000,16692000000.000000,1913481000000.000000,1930173000000.000000,3495000000.000000,-731336000000.000000,4310654000000.000000,5903045000000.000000,24033971185.000000
12M 2009,,,17970000000.000000,17970000000.000000,,,,,,,,,,,,,,,,,2155822000000.000000,685600000000.000000,1464102000000.000000,6120000000.000000,2155822000000.000000,4842999000000.000000,20309000000.000000,38842000000.000000,4783848000000.000000,4842999000000.000000,6998821000000.000000,1598000000.000000,,,1598000000.000000,28000000.000000,,,28000000.000000,,,,,,9214000000.000000,,,9214000000.000000,,,,,,16667000000.000000,13384000000.000000,,20848000000.000000,7078530000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,14739000000.000000,9061000000.000000,2233713000000.000000,3598000000.000000,4930000000.000000,2225185000000.000000,,2233713000000.000000,,2616000000.000000,6160000000.000000,,,6160000000.000000,,,,,,,,,,,,16377000000.000000,2282666000000.000000,,3005262000000.000000,104076000000.000000,2395874000000.000000,20692000000.000000,2375182000000.000000,2395874000000.000000,,-709348000000.000000,4795864000000.000000,7078530000000.000000,24042096693.000000
12M 2010,,,53805000000.000000,53805000000.000000,,,,,,,,,,,,,,,,,2443775000000.000000,928400000000.000000,1506600000000.000000,8775000000.000000,2443775000000.000000,5593899000000.000000,6284000000.000000,371982000000.000000,5215633000000.000000,5593899000000.000000,8037674000000.000000,,4965000000.000000,255000000.000000,5220000000.000000,5802000000.000000,,,5802000000.000000,,,,,,,6137000000.000000,645000000.000000,6782000000.000000,,,,,,3072000000.000000,11056000000.000000,,20655000000.000000,8144066000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,18495000000.000000,7187000000.000000,2462793000000.000000,7970000000.000000,6027000000.000000,2448796000000.000000,,2462793000000.000000,,1682000000.000000,10148000000.000000,,,10148000000.000000,,,,,,,,,,,,26419000000.000000,2526724000000.000000,,2995510000000.000000,100389000000.000000,3107956000000.000000,22692000000.000000,3085264000000.000000,3107956000000.000000,,-586513000000.000000,5617342000000.000000,8144066000000.000000,23964061193.000000
12M 2011,,72634000000.000000,,72634000000.000000,,,,,,,,,,,,,,,,,3781783000000.000000,,,,3781783000000.000000,7861000000.000000,,,,7861000000.000000,3789644000000.000000,,,,,,,,,,,22220000000.000000,118000000.000000,22338000000.000000,,21012000000.000000,675000000.000000,21687000000.000000,,,142000000.000000,6583757000000.000000,6583899000000.000000,3072000000.000000,7734000000.000000,,10089000000.000000,10511097000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37004000000.000000,1341000000.000000,30555000000.000000,29952000000.000000,603000000.000000,30555000000.000000,1745187000000.000000,1745187000000.000000,1745187000000.000000,,1468461000000.000000,1468461000000.000000,,1468461000000.000000,,,,31771000000.000000,3314319000000.000000,,3504513000000.000000,92157000000.000000,4324849000000.000000,24692000000.000000,4300157000000.000000,4324849000000.000000,,-724741000000.000000,7196778000000.000000,10511097000000.000000,28036106891.000000
12M 2012,,1124280000000.000000,,1124280000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,8137000000.000000,,,8137000000.000000,17622000000.000000,,,17622000000.000000,14146000000.000000,,,,,,,,,7598366000000.000000,,,,,3072000000.000000,9413000000.000000,,2978736000000.000000,11753772000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,14392000000.000000,31571000000.000000,3331416000000.000000,8352000000.000000,15284000000.000000,3240670000000.000000,67110000000.000000,3331416000000.000000,,1604000000.000000,17249000000.000000,,,17249000000.000000,,,,,,,,,,,,59689000000.000000,3455921000000.000000,,3504513000000.000000,-611462000000.000000,5406440000000.000000,26692000000.000000,5379748000000.000000,5406440000000.000000,,-1640000000.000000,8297851000000.000000,11753772000000.000000,28036107055.000000
12M 2013,,3704599000000.000000,,3704599000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,9869000000.000000,,,9869000000.000000,13683000000.000000,,,13683000000.000000,17463000000.000000,,,,,,,,,8587935000000.000000,,,,,,13801000000.000000,,3846811000000.000000,16194161000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,18623000000.000000,26989000000.000000,3274030000000.000000,7137000000.000000,28816000000.000000,3238077000000.000000,,3274030000000.000000,,1740000000.000000,37650000000.000000,,,37650000000.000000,,,,,,,,,,,,64773000000.000000,3423805000000.000000,,3529965000000.000000,-603299000000.000000,6579980000000.000000,28692000000.000000,6551288000000.000000,6579980000000.000000,1658529000000.000000,1605181000000.000000,12770356000000.000000,16194161000000.000000,28239720705.000000
12M 2014,,6402697000000.000000,,6402697000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,11686000000.000000,,,11686000000.000000,16756000000.000000,,,16756000000.000000,13699000000.000000,,,,,,,,,9706598000000.000000,,,,,,17365000000.000000,369550000000.000000,3050886000000.000000,19589237000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,25414000000.000000,31096000000.000000,4689580000000.000000,9474000000.000000,24239000000.000000,4655867000000.000000,,4689580000000.000000,,2334000000.000000,38330000000.000000,,,38330000000.000000,,,,,,,,,,,,109265000000.000000,4896019000000.000000,,4002759000000.000000,-584387000000.000000,7865206000000.000000,28692000000.000000,7836514000000.000000,7865206000000.000000,1767590000000.000000,1642050000000.000000,14693218000000.000000,19589237000000.000000,32022073293.000000
12M 2015,,5095008000000.000000,,5095008000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,13051000000.000000,,,13051000000.000000,24759000000.000000,,,24759000000.000000,16104000000.000000,,,,,,,,,10338339000000.000000,,,,,,17698000000.000000,343617000000.000000,4021107000000.000000,19869683000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,28133000000.000000,46308000000.000000,3990196000000.000000,12126000000.000000,29571000000.000000,3948499000000.000000,,3990196000000.000000,,2708000000.000000,39881000000.000000,,,39881000000.000000,,,,1256000000.000000,,,,,,,,120765000000.000000,4229247000000.000000,,4002759000000.000000,-584387000000.000000,8735123000000.000000,29192000000.000000,8705931000000.000000,8735123000000.000000,1856636000000.000000,1630305000000.000000,15640436000000.000000,19869683000000.000000,32022073293.000000
12M 2016,,4285717000000.000000,,4285717000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,13036000000.000000,,,13036000000.000000,32981000000.000000,,,32981000000.000000,17333000000.000000,,,,,,,,,14460048000000.000000,,,,,,164930000000.000000,317684000000.000000,5681829000000.000000,24973558000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,32919000000.000000,52092000000.000000,4047342000000.000000,14740000000.000000,34856000000.000000,3997746000000.000000,,4047342000000.000000,,1870000000.000000,55011000000.000000,,,55011000000.000000,,,,4711000000.000000,6934000000.000000,,6934000000.000000,6934000000.000000,,,,394610000000.000000,4595489000000.000000,,4002759000000.000000,-584387000000.000000,10275367000000.000000,29692000000.000000,10245675000000.000000,10275367000000.000000,1923971000000.000000,4760359000000.000000,20378069000000.000000,24973558000000.000000,32022073293.000000
12M 2017,,3473238000000.000000,,3473238000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,20234000000.000000,,,20234000000.000000,19382000000.000000,,,19382000000.000000,25338000000.000000,,,,,10927000000.000000,,,10927000000.000000,15612699000000.000000,3369000000.000000,,,3369000000.000000,,169812000000.000000,291751000000.000000,6844570000000.000000,26471320000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,41421000000.000000,52341000000.000000,3876760000000.000000,19043000000.000000,53319000000.000000,3804398000000.000000,,3876760000000.000000,,13973000000.000000,55100000000.000000,,,55100000000.000000,,,,18707000000.000000,16591000000.000000,,16591000000.000000,16591000000.000000,,,,433494000000.000000,4508387000000.000000,,4002759000000.000000,-584387000000.000000,11700319000000.000000,30192000000.000000,11670127000000.000000,11700319000000.000000,2012581000000.000000,4831661000000.000000,21962933000000.000000,26471320000000.000000,32022073293.000000
