Period,Aset,Kas Dan Setara Kas,Piutang Premi,Pihak Berelasi,Pihak Ketiga,Total Piutang Premi,Piutang Reasuransi,Pihak Ketiga,Total Piutang Reasuransi,Piutang Lain-Lain,Pihak Ketiga,Total Piutang Lain-Lain,Investasi Jangka Pendek,Deposito Berjangka,Deposito Berjangka,Pihak Ketiga,Total Deposito Berjangka,Others,Total Deposito Berjangka,Others,Total Investasi Jangka Pendek,Aset Reasuransi,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Utang Klaim,Pihak Berelasi,Pihak Ketiga,Total Utang Klaim,Utang Reasuransi,Pihak Ketiga,Total Utang Reasuransi,Utang Sewa Pembiayaan,Utang Pajak,Beban Akrual,Pihak Berelasi,Pihak Ketiga,Total Beban Akrual,Liabilitas Kontrak Asuransi,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2012,,1979727812.000000,,5809884061.000000,20056272332.000000,25866156393.000000,,2001729898.000000,2001729898.000000,,2257512079.000000,2257512079.000000,,223184408714.000000,,203184408714.000000,203184408714.000000,20000000000.000000,223184408714.000000,32420804453.000000,255605213167.000000,11502614613.000000,20200582543.000000,,100075212.000000,22580043542.000000,342093655259.000000,,,1404942915.000000,,1404942915.000000,1404942915.000000,6395040388.000000,6395040388.000000,6395040388.000000,,1614146653.000000,2635220294.000000,,,2635220294.000000,117248451789.000000,56437613254.000000,137560954.000000,56300052300.000000,56437613254.000000,29188312124.000000,214923727417.000000,,100000000000.000000,,27169927841.000000,,,27169927841.000000,,127169927841.000000,342093655258.000000,1000000000.000000
12M 2013,,5781063268.000000,,5917945660.000000,52170734197.000000,58088679857.000000,,12969027843.000000,12969027843.000000,,6651715884.000000,6651715884.000000,,185332365466.000000,,160332365466.000000,160332365466.000000,25000000000.000000,185332365466.000000,42273853776.000000,227606219242.000000,18357163951.000000,33809913251.000000,,1103841142.000000,23714878893.000000,388082503331.000000,,,3663854119.000000,627967882.000000,3035886237.000000,3663854119.000000,15674951555.000000,15674951555.000000,15674951555.000000,,678945745.000000,2415164658.000000,,,2415164658.000000,139965826571.000000,51081213859.000000,177004793.000000,50904209066.000000,51081213859.000000,38176843914.000000,251656800421.000000,,125000000000.000000,,11425702911.000000,,,11425702911.000000,,136425702911.000000,388082503332.000000,1250000000.000000
12M 2014,,4936003996.000000,,,85581539373.000000,85581539373.000000,,23735590981.000000,23735590981.000000,,29728377536.000000,29728377536.000000,,165200000000.000000,,,,,165200000000.000000,119290202531.000000,284490202531.000000,20535279594.000000,34256013698.000000,,10483960761.000000,21773156876.000000,515520125346.000000,,,2124448784.000000,,2124448784.000000,2124448784.000000,24123372480.000000,24123372480.000000,24123372480.000000,,1205922851.000000,2992570060.000000,,,2992570060.000000,170172355165.000000,59824625781.000000,,59824625781.000000,59824625781.000000,53186486206.000000,313629781327.000000,,140448380000.000000,25955770928.000000,35570392811.000000,50000000.000000,35520392811.000000,35570392811.000000,-84199720.000000,201890344019.000000,515520125346.000000,1404483800.000000
12M 2015,,6000217899.000000,,82743642.000000,85826218343.000000,85908961985.000000,,11588628489.000000,11588628489.000000,,11331526426.000000,11331526426.000000,,248623845562.000000,,,,,248623845562.000000,95553812133.000000,344177657695.000000,33308969777.000000,30613726354.000000,,10091279263.000000,26059486962.000000,559080454850.000000,,,1492639841.000000,,1492639841.000000,1492639841.000000,38644084925.000000,38644084925.000000,38644084925.000000,,844499323.000000,3230281275.000000,,,3230281275.000000,180536029704.000000,56253360054.000000,,56253360054.000000,56253360054.000000,52838001485.000000,333838896607.000000,,144282690000.000000,35924976928.000000,45078261315.000000,100000000.000000,44978261315.000000,45078261315.000000,-44370000.000000,225241558243.000000,559080454850.000000,1442826900.000000
12M 2016,,4959849789.000000,,29003362.000000,80175407394.000000,80204410756.000000,,6917702169.000000,6917702169.000000,,11382906352.000000,11382906352.000000,,112352394569.000000,,,,,112352394569.000000,247344627941.000000,359697022510.000000,87374493215.000000,26849671031.000000,,6915288366.000000,33349811557.000000,617651155745.000000,,,1984485690.000000,,1984485690.000000,1984485690.000000,50600491147.000000,50600491147.000000,50600491147.000000,,727360006.000000,8471879627.000000,5500000000.000000,2971879627.000000,8471879627.000000,186034021280.000000,49151732826.000000,4125000000.000000,45026732826.000000,49151732826.000000,51048605372.000000,348018575948.000000,,144669104000.000000,36929653328.000000,88373519606.000000,150000000.000000,88223519606.000000,88373519606.000000,-339697137.000000,269632579797.000000,617651155745.000000,7233455200.000000
12M 2017,,3063169002.000000,,21755720.000000,113476086563.000000,113497842283.000000,,13986354548.000000,13986354548.000000,,12174889005.000000,12174889005.000000,,203559267612.000000,,,,,203559267612.000000,329958526316.000000,533517793928.000000,123016373814.000000,24028162241.000000,,5687745272.000000,29517953387.000000,858490283480.000000,,,1375191534.000000,,1375191534.000000,1375191534.000000,75196735698.000000,75196735698.000000,75196735698.000000,,723823941.000000,7446009759.000000,,7446009759.000000,7446009759.000000,233483356743.000000,36619253244.000000,,36619253244.000000,36619253244.000000,48677601671.000000,403521972590.000000,,179167609200.000000,126625766848.000000,145039631118.000000,200000000.000000,144839631118.000000,145039631118.000000,4135303724.000000,454968310890.000000,858490283480.000000,8958380460.000000
12M 2018,,5853410707.000000,,5695950.000000,141393596454.000000,141399292404.000000,,26280788985.000000,26280788985.000000,,12864574994.000000,12864574994.000000,,231082763503.000000,,,,,231082763503.000000,361200982308.000000,592283745811.000000,133703082559.000000,21609167523.000000,1284135515.000000,3405954496.000000,31182407982.000000,969866560976.000000,,,1113802274.000000,,1113802274.000000,1113802274.000000,89246619825.000000,89246619825.000000,89246619825.000000,,545482187.000000,12089534682.000000,,12089534682.000000,12089534682.000000,260984662533.000000,37067363957.000000,,37067363957.000000,37067363957.000000,49224798280.000000,450272263738.000000,,179167609200.000000,126625766848.000000,213782118205.000000,250000000.000000,213532118205.000000,213782118205.000000,18802985.000000,519594297238.000000,969866560976.000000,8958380460.000000
12M 2019,,10327839284.000000,,11736375.000000,107397784947.000000,107409521322.000000,,60102707851.000000,60102707851.000000,,8281893868.000000,8281893868.000000,,216749320000.000000,,,,,216749320000.000000,377120269863.000000,593869589863.000000,130941453733.000000,24621076327.000000,1219335058.000000,2314371952.000000,36599673435.000000,975687462693.000000,,,1534991608.000000,,1534991608.000000,1534991608.000000,71566715136.000000,71566715136.000000,71566715136.000000,3923621257.000000,617272865.000000,5147113476.000000,,5147113476.000000,5147113476.000000,258884647156.000000,61784924599.000000,,61784924599.000000,61784924599.000000,41933344162.000000,445392630259.000000,,179167609200.000000,126625766848.000000,224348262795.000000,300000000.000000,224048262795.000000,224348262795.000000,153193591.000000,530294832434.000000,975687462693.000000,8958380460.000000
12M 2020,,27753266725.000000,,,106138444949.000000,106138444949.000000,,148962330950.000000,148962330950.000000,,7680263492.000000,7680263492.000000,,61000000000.000000,,,,,61000000000.000000,323429667667.000000,384429667667.000000,237751180761.000000,23989286699.000000,13890457273.000000,1078815684.000000,39318029864.000000,990991744064.000000,,,460283470.000000,,460283470.000000,460283470.000000,36757191276.000000,36757191276.000000,36757191276.000000,3554049394.000000,391760750.000000,1230443792.000000,,1230443792.000000,1230443792.000000,400520204774.000000,56313264045.000000,,56313264045.000000,56313264045.000000,48314227188.000000,547541424689.000000,,179167609200.000000,126625766848.000000,137362245559.000000,350000000.000000,137012245559.000000,137362245559.000000,294697768.000000,443450319375.000000,990991744064.000000,8958380460.000000
12M 2021,,27286512817.000000,,,65234343420.000000,65234343420.000000,,132635142107.000000,132635142107.000000,,5243671084.000000,5243671084.000000,,79736000000.000000,,,,,79736000000.000000,381405938897.000000,461141938897.000000,188451309212.000000,26218877189.000000,1757594109.000000,20871845005.000000,52248339110.000000,981089572950.000000,,,3237593569.000000,,3237593569.000000,3237593569.000000,3491647273.000000,3491647273.000000,3491647273.000000,,633605432.000000,4987600229.000000,,4987600229.000000,4987600229.000000,414031827927.000000,27945351289.000000,,27945351289.000000,27945351289.000000,63881963285.000000,518209589004.000000,,179167609200.000000,126625766848.000000,156903863542.000000,350000000.000000,156553863542.000000,156903863542.000000,182744356.000000,462879983946.000000,981089572950.000000,8958380460.000000
12M 2022,,89523370375.000000,,,91051389327.000000,91051389327.000000,,155613592947.000000,155613592947.000000,,27746314600.000000,27746314600.000000,,114790056164.000000,,,,,114790056164.000000,280267270527.000000,395057326691.000000,215420995574.000000,25007592083.000000,1341656394.000000,20850265405.000000,41858349120.000000,1063470852516.000000,,,1414838048.000000,,1414838048.000000,1414838048.000000,21254698744.000000,21254698744.000000,21254698744.000000,,637431523.000000,3799021541.000000,,3799021541.000000,3799021541.000000,509124959531.000000,87127542792.000000,,87127542792.000000,87127542792.000000,63160010774.000000,686518502953.000000,,179167609200.000000,126625766848.000000,72452379741.000000,400000000.000000,72052379741.000000,72452379741.000000,-1293406226.000000,376952349563.000000,1063470852516.000000,8958380460.000000
12M 2023,,15366595260.000000,,,104835704824.000000,104835704824.000000,,112281275614.000000,112281275614.000000,,9880569326.000000,9880569326.000000,,118981177620.000000,,,,,118981177620.000000,299303432152.000000,418284609772.000000,185189376583.000000,21348440524.000000,1012914019.000000,16586005450.000000,76277582105.000000,961063073477.000000,,,4378284466.000000,,4378284466.000000,4378284466.000000,3728303380.000000,3728303380.000000,3728303380.000000,,2129258591.000000,4682206628.000000,,4682206628.000000,4682206628.000000,483687401934.000000,42856200182.000000,,42856200182.000000,42856200182.000000,34159393493.000000,575621048674.000000,,179167609200.000000,126625766848.000000,80057104143.000000,400000000.000000,79657104143.000000,80057104143.000000,-408455388.000000,385442024803.000000,961063073477.000000,8958380460.000000
12M 2024,,18714740122.000000,,,74203736204.000000,74203736204.000000,,82582067084.000000,82582067084.000000,,6710556157.000000,6710556157.000000,,103002330000.000000,,,,,103002330000.000000,302292650167.000000,405294980167.000000,346888126955.000000,41545707706.000000,576022956.000000,14575318280.000000,117423268013.000000,1108514523644.000000,,,1688222163.000000,,1688222163.000000,1688222163.000000,2547740986.000000,2547740986.000000,2547740986.000000,,829938295.000000,30731236377.000000,,30731236377.000000,30731236377.000000,620966988990.000000,33173002969.000000,,33173002969.000000,33173002969.000000,27603753466.000000,717540883246.000000,,179167609200.000000,126625766848.000000,85667810605.000000,450000000.000000,85217810605.000000,85667810605.000000,-487546255.000000,390973640398.000000,1108514523644.000000,8958380460.000000
