Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Premi,Penerimaan Lainnya,Pembayaran Lainnya,Penerimaan Klaim Reasuransi,Penerimaan Jasa Giro,Pemberian Pinjaman Direksi Dan Karyawan,Penerimaan Pembayaran Pinjaman Direksi Dan Karyawan,Pembayaran Asuransi,Pembayaran Barang Cetakan,Pembayaran Di Muka Lainnya,Pembayaran Piutang Lainnya,Penerimaan Piutang Lainnya,Pembayaran Komisi,Pembayaran Pajak Penghasilan,Pembayaran Beban Operasional,Pembayaran Premi Reasuransi,Pembayaran Klaim,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Investasi Lainnya,Hasil Penjualan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Perolehan Aset Tetap,Hasil Penjualan Properti Investasi,Pencairan Deposito,Hasil Penjualan Saham,Pencairan Reksadana,Pencairan Obligasi,Pembelian Aset Tak Berwujud,Hasil Penjualan Penyertaan Langsung,Penempatan Deposito,Pembelian Saham,Pembelian Reksadana,Pembelian Efek Ekuitas,Pembelian Efek Ekuitas-Biaya Perolehan,Pembelian Obligasi,Penyertaan Langsung,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerbitan Saham,Penerimaan Pelaksanaan Waran Seri I,Utang Sewa Pembiayaan,Bunga Utang Sewa Pembiayaan,Agio Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2012,10332073580.000000,185255225853.000000,3112791010.000000,-1826436886.000000,5633264145.000000,62703937.000000,-12895800.000000,163071335.000000,-186893726.000000,-910161000.000000,-465835457.000000,-5194279025.000000,155906976.000000,-7526811056.000000,-2302949730.000000,-40323716248.000000,-25145286656.000000,-100155624092.000000,10332073580.000000,-15282259374.000000,11734986778.000000,1219687267.000000,-2115000000.000000,-17675146484.000000,850000000.000000,397637654202.000000,3276516913.000000,9600913144.000000,1000000000.000000,,,-402942003850.000000,-4148282344.000000,,,,-13721585000.000000,,-15282259374.000000,,,,,,,,-4950185794.000000,6929913607.000000,1979727813.000000
12M 2013,-10792763142.000000,223552648542.000000,8806357590.000000,-4387841894.000000,25356238230.000000,58384977.000000,-78116700.000000,46435500.000000,-4275500.000000,-940533808.000000,-6422803059.000000,-4253621050.000000,2220123949.000000,-12592551956.000000,-2958789807.000000,-44690548449.000000,-28393180505.000000,-166110689202.000000,-10792763142.000000,14594098598.000000,13196715991.000000,512000000.000000,-3921850000.000000,-17464969745.000000,,551380668330.000000,14266616463.000000,18230929684.000000,4000000000.000000,,,-513528625081.000000,-9404492600.000000,-20000000000.000000,,,-22672894444.000000,,14594098598.000000,,,,,,,,3801335456.000000,1979727812.000000,5781063268.000000
12M 2014,-9765463729.000000,288642708395.000000,7222708500.000000,-2111087012.000000,13675969656.000000,,,,,,,,,-33713392321.000000,-566626545.000000,-62102394557.000000,-39703967959.000000,-181109381886.000000,-9765463729.000000,-32483746471.000000,13954754194.000000,594500000.000000,,-2499715704.000000,,423909294619.000000,31425404058.000000,6842596734.000000,32201100000.000000,,,-403776941154.000000,-109134739218.000000,-26000000000.000000,,,,,-32483746471.000000,41404150928.000000,35793982928.000000,5610168000.000000,,,,41404150928.000000,-845059272.000000,5781063268.000000,4936003996.000000
12M 2015,3811299516.000000,296043397990.000000,13221870146.000000,-19641946548.000000,23400665097.000000,,,,,,,,,-39533452719.000000,-1488854078.000000,-59673405536.000000,-37390402648.000000,-171126572188.000000,3811299516.000000,-16550601613.000000,13803172368.000000,87031050.000000,,-1148491999.000000,,978469500000.000000,238188988790.000000,24451924322.000000,8000000000.000000,,100000000.000000,-1061893345561.000000,-211609380583.000000,,,,-5000000000.000000,,-16550601613.000000,13803516000.000000,,13803516000.000000,,,,13803516000.000000,1064213903.000000,4936003996.000000,6000217899.000000
12M 2016,-40077406096.000000,270403697678.000000,4501515859.000000,-15695784714.000000,10382290161.000000,,,,,,,,,-22205293430.000000,,-60204511807.000000,-104203419739.000000,-123055900104.000000,-40077406096.000000,37645947586.000000,13896031667.000000,75450000.000000,,-156248200.000000,,629679061586.000000,126431607639.000000,14387354177.000000,,,,-493407610592.000000,-122946556691.000000,-15000000000.000000,,,-115313142000.000000,,37645947586.000000,1391090400.000000,,1391090400.000000,,,,1391090400.000000,-1040368110.000000,6000217899.000000,4959849789.000000
12M 2017,-36769521577.000000,246486576420.000000,5958920403.000000,-11806343298.000000,59926189468.000000,,,,,,,,,-25666160474.000000,-1056331144.000000,-73415599216.000000,-78162299581.000000,-159034474155.000000,-36769521577.000000,-89321777930.000000,18799340958.000000,212050000.000000,,-376399202.000000,,883869570764.000000,213077431702.000000,,5000000000.000000,,,-979323544767.000000,-221545771018.000000,,-3002000000.000000,-6032456367.000000,,,-89321777930.000000,124194618720.000000,,124194618720.000000,,,,124194618720.000000,-1896680787.000000,4959849789.000000,3063169002.000000
12M 2018,-15189940303.000000,306409030886.000000,9520929862.000000,-11679455360.000000,74846461919.000000,,,,,,,,,-32268442959.000000,-1392653569.000000,-72310539481.000000,-116273984983.000000,-172041286618.000000,-15189940303.000000,17980182008.000000,19135938197.000000,385900000.000000,,-300300771.000000,,506683704922.000000,187838126621.000000,5000000000.000000,1000000000.000000,,,-534207200814.000000,-142555542514.000000,-18000000000.000000,,-7000443633.000000,,,17980182008.000000,,,,,,,,2790241705.000000,3063169002.000000,5853410707.000000
12M 2019,-6962732144.000000,656490049339.000000,12008998444.000000,-19075861004.000000,14057580286.000000,,,,,,,,,-50140122915.000000,-2099149307.000000,-72954578277.000000,-383348201500.000000,-161901447210.000000,-6962732144.000000,12044155722.000000,19602274694.000000,2007800000.000000,,-1582951897.000000,,861960082096.000000,88387989716.000000,,113617140000.000000,,,-847626638593.000000,-100105540294.000000,-120100000000.000000,,,-4116000000.000000,,12044155722.000000,-606995001.000000,,,-468491244.000000,-138503757.000000,,-606995001.000000,4474428577.000000,5853410707.000000,10327839284.000000
12M 2020,-172592363443.000000,380944111845.000000,32462494664.000000,-45274291323.000000,69423789188.000000,,,,,,,,,-41452482962.000000,-1803668584.000000,-77767424681.000000,-168987748660.000000,-320137142930.000000,-172592363443.000000,191277044884.000000,15400600905.000000,778000000.000000,,-406207035.000000,,422862061550.000000,54609434374.000000,20000000000.000000,,,,-265167741550.000000,-56799103360.000000,,,,,,191277044884.000000,-1259254000.000000,,,-973134363.000000,-286119637.000000,,-1259254000.000000,17425427441.000000,10327839284.000000,27753266725.000000
12M 2021,3891963552.000000,923541063467.000000,12283767364.000000,-30246155309.000000,67800004248.000000,,,,,,,,,-57644622236.000000,-1411323986.000000,-80887976429.000000,-590391259795.000000,-239151533772.000000,3891963552.000000,-1734132496.000000,5498590220.000000,544000000.000000,,-869151411.000000,,588632200000.000000,26227101900.000000,82188506795.000000,,,,-607368200000.000000,-2560180000.000000,-60000000000.000000,,,-34027000000.000000,,-1734132496.000000,-2624584964.000000,,,-2624584964.000000,,,-2624584964.000000,-466753908.000000,27753266725.000000,27286512817.000000
