Period,Total Pendapatan,Premi Bruto,Premi Reasuransi,Penurunan (Kenaikan) Premi Yang Belum Merupakan Pendapatan,Pendapatan Komisi,Hasil Investasi,Others,Total Pendapatan,Total Beban Usaha,Klaim Bruto,Others,Total Klaim Bruto,Klaim Reasuransi,Beban Komisi,Beban Underwriting,Beban Usaha,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Others,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2012,149409752449.000000,219530124065.000000,-36744209745.000000,-5519547743.000000,,13564613302.000000,-41421227430.000000,149409752449.000000,-125397677930.000000,,-97955304861.000000,-97955304861.000000,15978093620.000000,-3134547799.000000,-150340500.000000,-43217471526.000000,3081893136.000000,-125397677930.000000,24012074519.000000,1691043108.000000,25703117627.000000,-3191376701.000000,,,,-3191376701.000000,22511740926.000000,,,,22511740926.000000,22511740926.000000,22511740926.000000,,22511740926.000000,22511740926.000000,22511740926.000000,,22511740926.000000
12M 2013,172410558261.000000,301354057443.000000,-81810470709.000000,-17460259287.000000,,11126549063.000000,-40799318249.000000,172410558261.000000,-167381880413.000000,,-171361277553.000000,-171361277553.000000,62612304157.000000,-1613688616.000000,-1731045360.000000,-56893730746.000000,1605557705.000000,-167381880413.000000,5028677848.000000,3979760292.000000,9008438140.000000,247336930.000000,,,,247336930.000000,9255775070.000000,,,,9255775070.000000,9255775070.000000,9255775070.000000,,9255775070.000000,9255775070.000000,9255775070.000000,,9255775070.000000
12M 2014,249556191630.000000,307086378334.000000,-103524431211.000000,-1582265853.000000,,47576510360.000000,,249556191630.000000,-235657109421.000000,,-177762839351.000000,-177762839351.000000,57144707563.000000,-22882761322.000000,-1684076888.000000,-64077422472.000000,-26394716951.000000,-235657109421.000000,13899082209.000000,865488072.000000,14764570281.000000,9380119619.000000,,9380119619.000000,,9380119619.000000,24144689900.000000,-84199720.000000,-84199720.000000,-84199720.000000,24060490180.000000,24144689900.000000,24144689900.000000,,24144689900.000000,24060490180.000000,24060490180.000000,,24060490180.000000
12M 2015,205991016244.000000,300927007129.000000,-115300915186.000000,-3859475896.000000,,24224400197.000000,,205991016244.000000,-198816540710.000000,,-169900217187.000000,-169900217187.000000,51472884383.000000,-19252479032.000000,-2048981343.000000,-65448219613.000000,6360472082.000000,-198816540710.000000,7174475534.000000,2276983245.000000,9451458779.000000,-280408748.000000,,-280408748.000000,,-280408748.000000,9171050031.000000,411309970.000000,411309970.000000,411309970.000000,9582360001.000000,9171050031.000000,9171050031.000000,,9171050031.000000,9582360001.000000,9582360001.000000,,9582360001.000000
12M 2016,196794533770.000000,297375114591.000000,-171981164539.000000,22018778746.000000,,49381804972.000000,,196794533770.000000,-151997562822.000000,,-121915784041.000000,-121915784041.000000,21798420727.000000,-78859882.000000,-774351248.000000,-77394584391.000000,26367596013.000000,-151997562822.000000,44796970948.000000,-378892760.000000,44418078188.000000,-2662698147.000000,,-2662698147.000000,,-2662698147.000000,41755380041.000000,1244551113.000000,1244551113.000000,1244551113.000000,42999931154.000000,41755380041.000000,41755380041.000000,,41755380041.000000,42999931154.000000,42999931154.000000,,42999931154.000000
12M 2017,204332713213.000000,319898594611.000000,-171691292498.000000,-23742031254.000000,,79867442354.000000,,204332713213.000000,-150511747844.000000,,-157901026136.000000,-157901026136.000000,79736385515.000000,1021670739.000000,-928687127.000000,-84837432533.000000,12397341698.000000,-150511747844.000000,53820965369.000000,-1157043763.000000,52663921606.000000,79890156.000000,,79890156.000000,,79890156.000000,52743811762.000000,8397300611.000000,8397300611.000000,8397300611.000000,61141112373.000000,52743811762.000000,52743811762.000000,,52743811762.000000,61141112373.000000,61141112373.000000,,61141112373.000000
12M 2018,216378412603.000000,343359135556.000000,-190838615929.000000,-16886749529.000000,,80744642505.000000,,216378412603.000000,-144617377722.000000,,-170220528781.000000,-170220528781.000000,107515912187.000000,-5646134244.000000,-521799850.000000,-76025853817.000000,281026783.000000,-144617377722.000000,71761034881.000000,,71761034881.000000,-2667763526.000000,,-2667763526.000000,,-2667763526.000000,69093271355.000000,-5274418989.000000,-5274418989.000000,-5274418989.000000,63818852366.000000,69093271355.000000,69093271355.000000,,69093271355.000000,63818852366.000000,63818852366.000000,,63818852366.000000
12M 2019,183009183653.000000,607872359990.000000,-433300540902.000000,602688796.000000,,7834675769.000000,,183009183653.000000,-174748428177.000000,,-161087490220.000000,-161087490220.000000,73326309992.000000,-6564365080.000000,-6379377732.000000,-72793612247.000000,-1249892890.000000,-174748428177.000000,8260755476.000000,2753154585.000000,11013910061.000000,-1605398721.000000,-899693927.000000,-705704794.000000,,-1605398721.000000,9408511340.000000,1292023856.000000,1292023856.000000,1292023856.000000,10700535196.000000,9408511340.000000,9408511340.000000,,9408511340.000000,10700535196.000000,10700535196.000000,,10700535196.000000
12M 2020,167954469389.000000,394767227955.000000,-211397032510.000000,2197504411.000000,,-17613230467.000000,,167954469389.000000,-270945398380.000000,,-316835065991.000000,-316835065991.000000,196323591446.000000,-10316735084.000000,-11597067094.000000,-91760615438.000000,-36759506219.000000,-270945398380.000000,-102990928991.000000,3007783435.000000,-99983145556.000000,11456551820.000000,,11456551820.000000,,11456551820.000000,-88526593736.000000,1682080677.000000,1682080677.000000,1682080677.000000,-86844513059.000000,-88526593736.000000,-88526593736.000000,,-88526593736.000000,-86844513059.000000,-86844513059.000000,,-86844513059.000000
12M 2021,278837613174.000000,913692856481.000000,-670443002795.000000,-38696233043.000000,,74283992531.000000,,278837613174.000000,-267193038749.000000,,-233707412978.000000,-233707412978.000000,126948271281.000000,-34696548181.000000,-12274738714.000000,-89734401751.000000,-23728208406.000000,-267193038749.000000,11644574425.000000,663435825.000000,12308010250.000000,7242778533.000000,,7242778533.000000,,7242778533.000000,19550788783.000000,-121124212.000000,-121124212.000000,-121124212.000000,19429664571.000000,19550788783.000000,19550788783.000000,,19550788783.000000,19429664571.000000,19429664571.000000,,19429664571.000000
12M 2022,242175328695.000000,1728542309869.000000,-1344560527640.000000,-45026163285.000000,,-96780290249.000000,,242175328695.000000,-333844682928.000000,,-179260765689.000000,-179260765689.000000,69041115453.000000,-68079022940.000000,-24142222388.000000,-109041572325.000000,-22362215039.000000,-333844682928.000000,-91669354233.000000,4828751032.000000,-86840603201.000000,508774180.000000,,508774180.000000,,508774180.000000,-86331829021.000000,404194638.000000,404194638.000000,404194638.000000,-85927634383.000000,-86331829021.000000,-86331829021.000000,,-86331829021.000000,-85927634383.000000,-85927634383.000000,,-85927634383.000000
12M 2023,393531693857.000000,1873456052964.000000,-1467329573699.000000,-23845267536.000000,,11250482128.000000,,393531693857.000000,-380020635985.000000,,-210629451360.000000,-210629451360.000000,48785670989.000000,-75458267818.000000,-31240411573.000000,-130073293895.000000,18595117672.000000,-380020635985.000000,13511057872.000000,-1161478175.000000,12349579697.000000,-4780612055.000000,,-4780612055.000000,,-4780612055.000000,7568967642.000000,920707598.000000,920707598.000000,920707598.000000,8489675240.000000,7568967642.000000,7568967642.000000,,7568967642.000000,8489675240.000000,8489675240.000000,,8489675240.000000
12M 2024,379585108898.000000,1715590363239.000000,-1367434558159.000000,25802646426.000000,,5626657392.000000,,379585108898.000000,-370661489330.000000,,-300206476340.000000,-300206476340.000000,166220532803.000000,-60770650968.000000,-35956920579.000000,-136932407491.000000,-3015566755.000000,-370661489330.000000,8923619568.000000,812624504.000000,9736244072.000000,-2659120450.000000,,-2659120450.000000,,-2659120450.000000,7077123622.000000,-1545508027.000000,-1545508027.000000,-1545508027.000000,5531615595.000000,7077123622.000000,7077123622.000000,,7077123622.000000,5531615595.000000,5531615595.000000,,5531615595.000000
