Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Hasil Investasi,Laba (Rugi) Selisih Kurs,Bagian Atas Hasil Bersih Entitas Asosiasi,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12M 2009,1125055390936.000000,-820419578132.000000,304635812804.000000,-258727029445.000000,-175580195763.000000,-83146833682.000000,,-258727029445.000000,45908783359.000000,-33242777311.000000,2244480306.000000,-35342256204.000000,,2721430710.000000,,,-2866432123.000000,-33242777311.000000,12666006048.000000,-10540272575.000000,-7467551136.000000,-3072721439.000000,-10540272575.000000,2125733473.000000,-95506.000000,2125637967.000000,,,2125637967.000000,2125733473.000000,-95506.000000,2125637967.000000,,,,
12M 2010,1047918156470.000000,-729453843277.000000,318464313193.000000,-262016593602.000000,-169931963698.000000,-92084629904.000000,,-262016593602.000000,56447719591.000000,-36038881876.000000,1047927619.000000,-24805792533.000000,,96060511.000000,,,-12377077473.000000,-36038881876.000000,20408837715.000000,-7862170357.000000,-11377920877.000000,3515750520.000000,-7862170357.000000,12546667358.000000,-22970.000000,12546644388.000000,,,12546644388.000000,12546667358.000000,-22970.000000,12546644388.000000,,,,
12M 2011,1203466970652.000000,-807282612783.000000,396184357869.000000,-304225655735.000000,-193583850997.000000,-110641804738.000000,,-304225655735.000000,91958702134.000000,-36755926510.000000,-21276945453.000000,1214408945.000000,-2415000.000000,-767531816.000000,,,-15923443186.000000,-36755926510.000000,55202775624.000000,-18283459073.000000,-20980091250.000000,2696632177.000000,-18283459073.000000,36919316551.000000,,36919316551.000000,50585955.000000,36969902506.000000,36919316551.000000,36919248625.000000,67926.000000,36919316551.000000,36969902506.000000,36969834074.000000,68432.000000,36969902506.000000
12M 2012,1156050256720.000000,-788154611684.000000,367895645036.000000,-284586750054.000000,-159823241736.000000,-119479588756.000000,-5283919562.000000,-284586750054.000000,83308894982.000000,-21576793216.000000,,-20925936771.000000,,,-650856445.000000,,,-21576793216.000000,61732101766.000000,-19346986784.000000,-16773132018.000000,-2573854766.000000,-19346986784.000000,42385114982.000000,,42385114982.000000,,42385114982.000000,42385114983.000000,42384956906.000000,158077.000000,42385114983.000000,42385114983.000000,42384956906.000000,158077.000000,42385114983.000000
12M 2013,1337498191710.000000,-999930881199.000000,337567310511.000000,-369873399719.000000,-201391590690.000000,-150886637544.000000,-17595171485.000000,-369873399719.000000,-32306089208.000000,-30726658043.000000,,-30862196026.000000,,,135537983.000000,,,-30726658043.000000,-63032747251.000000,8810151948.000000,,8810151948.000000,8810151948.000000,-54222595303.000000,,-54222595303.000000,,-54222595303.000000,-54222595303.000000,-54222344142.000000,-251161.000000,-54222595303.000000,-54222595303.000000,-54222344142.000000,-251161.000000,-54222595303.000000
12M 2014,1381436578115.000000,-1069010401518.000000,312426176597.000000,-266081860137.000000,-178970351751.000000,-91648356136.000000,4536847750.000000,-266081860137.000000,46344316460.000000,-38942680518.000000,,-38997531449.000000,,,54850931.000000,,,-38942680518.000000,7401635942.000000,-6236811336.000000,-404407896.000000,-5832403440.000000,-6236811336.000000,1164824606.000000,,1164824606.000000,,1164824606.000000,1164824606.000000,1166073487.000000,-1248881.000000,1164824606.000000,1164824606.000000,1166073487.000000,-1248881.000000,1164824606.000000
12M 2015,1621898667657.000000,-1291844221034.000000,330054446623.000000,-275125573357.000000,-170602072659.000000,-97041063397.000000,-7482437301.000000,-275125573357.000000,54928873266.000000,-40753735529.000000,,-40779317582.000000,,,25582053.000000,,,-40753735529.000000,14175137737.000000,-7609430318.000000,-3583109000.000000,-4026321318.000000,-7609430318.000000,6565707419.000000,,6565707419.000000,-1558843059.000000,5006864360.000000,6565707419.000000,6566935986.000000,-1228567.000000,6565707419.000000,5006864360.000000,5008085646.000000,-1221286.000000,5006864360.000000
12M 2016,1674702722328.000000,-1337793754317.000000,336908968011.000000,-303472846815.000000,-183945697526.000000,-107446121628.000000,-12081027661.000000,-303472846815.000000,33436121196.000000,-52357458809.000000,,-52431466752.000000,,,74007943.000000,,,-52357458809.000000,-18921337613.000000,1553938401.000000,-6077988000.000000,7631926401.000000,1553938401.000000,-17367399212.000000,,-17367399212.000000,-5604114088.000000,-22971513300.000000,-17367399212.000000,-17366640817.000000,-758395.000000,-17367399212.000000,-22971513300.000000,-22970738198.000000,-775102.000000,-22971513300.000000
12M 2017,1631317499096.000000,-1348504215451.000000,282813283645.000000,-287095966135.000000,-172834983820.000000,-98959268387.000000,-15301713928.000000,-287095966135.000000,-4282682490.000000,-52534286634.000000,,-52532186533.000000,,,-2100101.000000,,,-52534286634.000000,-56816969124.000000,10532209823.000000,-475976000.000000,11008185823.000000,10532209823.000000,-46284759301.000000,,-46284759301.000000,-3062423626.000000,-49347182927.000000,-46284759301.000000,-46282940175.000000,-1819126.000000,-46284759301.000000,-49347182927.000000,-49345360107.000000,-1822820.000000,-49347182927.000000
