Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Karyawan,Pajak Penghasilan,Pembayaran Bunga,Pengeluaran Atas Kecurangan,Pembayaran Pkbl,Penerimaan Restitusi Pajak,Hasil Pelepasan Aset Keuangan Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Hasil Investasi,Penerimaan Penghasilan Bunga Simpanan,Penyertaan Modal Pada Anak Perusahaan,Perolehan Aset Hak Guna,Penambahan Aset Tidak Berwujud,Perolehan Aset Tetap,Penempatan Deposito,Pembelian Aset Lain-Lain,Penerimaan Lain-Lain (Kso),Hasil Penjualan Aset Tetap,Hasil Penjualan Properti Investasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Hutang Bank,Pembayaran Hutang Bank,Penerimaan Bunga Penerbitan Surat Berharga,Penerimaan Penerbitan Surat Berharga,Penerimaan Utang Pemegang Saham,Pembayaran Utang Pemegang Saham,Pembayaran Biaya Transaksi Penerbitan Surat Berharga,Pelunasan Surat Berharga,Penerimaan Pmn,Pembayaran Dividen,Penerimaan (Pembayaran) Utang Bank Jangka Panjang,Penerimaan (Pembayaran) Utang Bank Jangka Menengah,Pembayaran Pkbl,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12M 2009,40557994677.000000,1197195757307.000000,-1160440761439.000000,-34174129551.000000,-33415485068.000000,,,71392613428.000000,,40557994677.000000,-18902573233.000000,1972691651.000000,,,,,-21647679884.000000,,,,772415000.000000,,-18902573233.000000,-175622400832.000000,,-175622400832.000000,,,,,,,,,,,,-175622400832.000000,-153966979388.000000,263287772466.000000,1554440460.000000,110875233538.000000
12M 2010,23713155870.000000,1087466425028.000000,-1044830887605.000000,-40024729191.000000,-24805792533.000000,,,45908140171.000000,,23713155870.000000,-4522268736.000000,1047927619.000000,,,,,-5570196355.000000,,,,,,-4522268736.000000,-9244271101.000000,,-9244271101.000000,,,,,,,,,,,,-9244271101.000000,9946616033.000000,110875233538.000000,96060511.000000,120917910082.000000
12M 2011,29396516728.000000,1220050770104.000000,-1163247128974.000000,-31599125018.000000,-21339006652.000000,,,25531007268.000000,,29396516728.000000,-3453428428.000000,,1148959929.000000,,,,-4602388357.000000,,,,,,-3453428428.000000,-15283520364.000000,237500000000.000000,-252783520364.000000,,,,,,,,,,,,-15283520364.000000,10659567936.000000,120917910082.000000,1839894988.000000,133417373006.000000
12M 2012,-40914557262.000000,1066860583203.000000,-1119262656124.000000,-49372824157.000000,-20008229149.000000,,,80868568965.000000,,-40914557262.000000,-6492979157.000000,,574362185.000000,,,,-7067341342.000000,,,,,,-6492979157.000000,115097301798.000000,392872793084.000000,-392765386412.000000,,120000000000.000000,,,,,,,-4271718543.000000,,-738386331.000000,115097301798.000000,67689765379.000000,133417372999.000000,-6204332405.000000,194902805973.000000
12M 2013,-141616973091.000000,1302020042114.000000,-1425248054062.000000,-8399592060.000000,-30726658043.000000,,-738386331.000000,21475675291.000000,,-141616973091.000000,-35843492482.000000,,764570087.000000,,,-4507287221.000000,-32100775348.000000,,,,,,-35843492482.000000,118960184530.000000,212080918250.000000,-88882222222.000000,,,,,,,,-4238511498.000000,,,,118960184530.000000,-58500281043.000000,194902805973.000000,-14970498688.000000,121432026242.000000
12M 2014,148726901608.000000,1821876311127.000000,-1712629378941.000000,-3006342128.000000,-38997531449.000000,,,81483842999.000000,,148726901608.000000,-54387403303.000000,,1060572931.000000,,,-8311186868.000000,-47736789366.000000,,,,600000000.000000,,-54387403303.000000,-79747285254.000000,242204119189.000000,-201951404443.000000,,,,,,-120000000000.000000,,,,,,-79747285254.000000,14592213051.000000,121432026244.000000,-269636818.000000,135754602477.000000
12M 2015,134284985659.000000,2040328498015.000000,-1963047906860.000000,-114611838.000000,-40779317582.000000,,,97898323924.000000,,134284985659.000000,-19724034705.000000,,192312511.000000,,,-6623073022.000000,-16330817594.000000,,,,1705981400.000000,1331562000.000000,-19724034705.000000,62174856038.000000,384983738346.000000,-367808882308.000000,,,,,,45000000000.000000,,,,,,62174856038.000000,176735806992.000000,135754602477.000000,982257196.000000,313472666665.000000
12M 2016,-317962543661.000000,1649440357034.000000,-2026405431799.000000,,-52431466753.000000,,,111433997857.000000,,-317962543661.000000,-58934854928.000000,,699766728.000000,,,-26349017431.000000,-33285604225.000000,,,,,,-58934854928.000000,120156511160.000000,1145734226546.000000,-1013268370735.000000,,,,,,,,,-12309344651.000000,,,120156511160.000000,-256740887429.000000,313472666666.000000,-497873023.000000,56233906214.000000
12M 2017,147184447849.000000,1662235493233.000000,-1581355876702.000000,-974093414.000000,-52532186533.000000,,,119811111265.000000,,147184447849.000000,-93499257258.000000,,401736751.000000,,,-16788577412.000000,-78085416597.000000,,,,973000000.000000,,-93499257258.000000,72966519218.000000,783774327043.000000,-750873891516.000000,,,,,,,,,40066083691.000000,,,72966519218.000000,126651709809.000000,56233906214.000000,-297991128.000000,182587624895.000000
12M 2018,-70390895931.000000,1644046349890.000000,-1811690263951.000000,,-51240526166.000000,,,148493544296.000000,,-70390895931.000000,-46400057765.000000,,287793156.000000,,,-17424697437.000000,-29344067880.000000,,,,80914396.000000,,-46400057765.000000,63805377524.000000,568951946170.000000,-466353788693.000000,,,,,,,,,6039764012.000000,-44832543965.000000,,63805377524.000000,-52985576172.000000,182587624895.000000,-277157257.000000,129324891466.000000
