Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.00,0.00,0.00,0.00,,,,,
12M 2009,0.86,96.38,0.86,96.38,88 B,16 B,103 B,(8 B),204 B
12M 2010,0.80,100.43,0.80,100.43,89 B,6 B,95 B,(26 B),207 B
12M 2011,0.83,196.56,0.85,191.30,81 B,0 B,81 B,(52 B),247 B
12M 2012,1.57,209.76,1.62,204.29,76 B,119 B,195 B,1 B,408 B
12M 2013,0.80,190.62,0.82,185.98,319 B,0 B,319 B,197 B,178 B
12M 2014,1.86,191.00,1.90,186.60,224 B,16 B,239 B,104 B,182 B
12M 2015,0.88,191.24,0.90,187.04,251 B,50 B,301 B,(13 B),221 B
12M 2016,25.19,185.77,27.04,173.07,377 B,45 B,421 B,365 B,149 B
12M 2017,34.74,169.85,37.43,157.63,450 B,45 B,495 B,312 B,38 B
12M 2018,40.56,160.25,40.82,159.25,508 B,51 B,558 B,429 B,40 B
12M 2019,5.34,162.92,5.53,157.45,119 B,365 B,483 B,332 B,388 B
12M 2020,29.02,138.85,30.22,133.34,92 B,361 B,453 B,294 B,298 B
12M 2021,13.60,164.01,13.92,160.23,203 B,294 B,497 B,116 B,366 B
12M 2022,41.28,27.86,45.22,25.43,193 B,,193 B,(77 B),(122 B)
12M 2023,-2.24,-259.46,-2.23,-260.27,403 B,,403 B,386 B,"(1,032 B)"
12M 2024,-0.34,-369.13,-0.34,-370.05,523 B,,523 B,513 B,"(1,373 B)"
