Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Pada Entitas Asosiasi,Aset Pajak Tangguhan,Investasi Jangka Panjang,Aset Tetap,Properti Investasi,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Surat Berharga Yang Diterbitkan,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Pemegang Saham,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Surat Berharga Yang Diterbitkan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3099267500.000000
12M 2009,,,110875233538.000000,172610534558.000000,,172610534558.000000,172610534558.000000,7740544800.000000,141953393148.000000,148042065070.000000,581221771114.000000,,,23526552495.000000,,100990757229.000000,,,22295796810.000000,146813106534.000000,728034877648.000000,,,376911513356.000000,77837077328.000000,,,,213445709211.000000,213445709211.000000,,12041862877.000000,43165975650.000000,,9700000000.000000,,9700000000.000000,20720888290.000000,376911513356.000000,52401848405.000000,,,1177592865.000000,14571718543.000000,15749311408.000000,,36652536997.000000,52401848405.000000,429313361761.000000,,309926750000.000000,75100356176.000000,-86306940580.000000,13980477188.000000,-100287417768.000000,-86306940580.000000,1350291.000000,,298721515887.000000,728034877648.000000,3099267500.000000
12M 2010,,,120917910081.000000,127273940555.000000,,127273940555.000000,127273940555.000000,5195846084.000000,159253043404.000000,170021665320.000000,582662405444.000000,,,27042303017.000000,,96937464153.000000,,,27315689777.000000,151295456947.000000,733957862391.000000,,,375535696161.000000,78592806227.000000,,,,232162706721.000000,232162706721.000000,,6484055587.000000,32147992271.000000,,9700000000.000000,834406835.000000,10534406835.000000,15613728520.000000,375535696161.000000,47153982987.000000,,,1040140484.000000,4571718543.000000,5611859027.000000,,41542123960.000000,47153982987.000000,422689679148.000000,,309926750000.000000,75100356176.000000,-73760296192.000000,13980477188.000000,-87740773380.000000,-73760296192.000000,1373261.000000,,311268183245.000000,733957862393.000000,3099267500.000000
12M 2011,,,133417373006.000000,153238606500.000000,51348854711.000000,101889751789.000000,153238606500.000000,8714192397.000000,193442357836.000000,217745701606.000000,706558231345.000000,,791027336.000000,29738935193.000000,,342984242464.000000,,16290698199.000000,18538535237.000000,408343438429.000000,1114901669774.000000,,,459403522198.000000,75847946863.000000,,,127470289481.000000,162403814463.000000,289874103944.000000,,12351686554.000000,70357990795.000000,,4271718543.000000,679400841.000000,4951119384.000000,6020674658.000000,459403522198.000000,46304312910.000000,,,439919690.000000,,439919690.000000,,45864393220.000000,46304312910.000000,505707835108.000000,,309926750000.000000,75100356176.000000,20820856343.000000,,20820856343.000000,20820856343.000000,1441693.000000,203344430456.000000,609193834668.000000,1114901669776.000000,3099267500.000000
12M 2012,,,194902805973.000000,238987470306.000000,56239432892.000000,182748037414.000000,238987470306.000000,9487041996.000000,161341812493.000000,172910015110.000000,777629145878.000000,,140170891.000000,27165080428.000000,,339196269505.000000,,16940133513.000000,27547990193.000000,410989644530.000000,1188618790408.000000,,,369863736711.000000,75955353535.000000,,,63498146940.000000,184269295812.000000,247767442752.000000,,6740015591.000000,34334761457.000000,,,254533657.000000,254533657.000000,4811629719.000000,369863736711.000000,168652876710.000000,118533209223.000000,,725985721.000000,,725985721.000000,,49393681766.000000,168652876710.000000,538516613421.000000,,309926750000.000000,75100356176.000000,61729040587.000000,,61729040587.000000,61729040587.000000,1599770.000000,203344430456.000000,650102176989.000000,1188618790410.000000,3099267500.000000
12M 2013,,,121432026244.000000,273388733369.000000,2839095192.000000,270549638177.000000,273388733369.000000,12464438595.000000,236417397357.000000,205137685449.000000,848840281014.000000,,275708874.000000,35975232378.000000,,367912766507.000000,,14386478975.000000,27120201447.000000,445670388181.000000,1294510669195.000000,,,670902756535.000000,199154049563.000000,119253853328.000000,,2756424270.000000,301884587618.000000,304641011888.000000,,2205697468.000000,41750117103.000000,,,163283998.000000,163283998.000000,3734743187.000000,670902756535.000000,32814544771.000000,,,73216000.000000,,73216000.000000,,32741328771.000000,32814544771.000000,703717301306.000000,,309926750000.000000,75100356176.000000,2420482648.000000,1271553449.000000,1148929199.000000,2420482648.000000,1348609.000000,203344430456.000000,590793367889.000000,1294510669195.000000,3099267500.000000
12M 2014,,,135754602477.000000,196478418634.000000,8544789874.000000,187933628760.000000,196478418634.000000,11767384919.000000,216406886501.000000,222480342875.000000,782887635406.000000,,330559805.000000,30142828938.000000,,394584546295.000000,,13637917457.000000,26759787505.000000,465455640000.000000,1248343275406.000000,,,600565585352.000000,223779656509.000000,,,7768649588.000000,326915469225.000000,334684118813.000000,,13328570416.000000,17243007947.000000,,,73216000.000000,73216000.000000,11457015667.000000,600565585352.000000,55814497559.000000,,,1220266.000000,15627107799.000000,15628328065.000000,,40186169494.000000,55814497559.000000,656380082911.000000,,309926750000.000000,75100356176.000000,3586556135.000000,1271553449.000000,2315002686.000000,3586556135.000000,5099728.000000,203344430456.000000,591963192495.000000,1248343275406.000000,3099267500.000000
12M 2015,,,313472666666.000000,196212717489.000000,5974748064.000000,190237969425.000000,196212717489.000000,13677064010.000000,300271746960.000000,244523193753.000000,1068157388878.000000,,356141858.000000,28056506703.000000,,398427199954.000000,14291947582.000000,13006432910.000000,11412946356.000000,465551175363.000000,1533708564241.000000,,,846731120973.000000,239619567887.000000,5175000000.000000,,18589636093.000000,527405750353.000000,545995386446.000000,,19282720433.000000,17945247232.000000,,6352200000.000000,1220266.000000,6353420266.000000,12359778709.000000,846731120973.000000,94268546525.000000,39121450000.000000,,,10609852460.000000,10609852460.000000,,44537244065.000000,94268546525.000000,940999667498.000000,,309926750000.000000,75100356176.000000,207627340899.000000,1271553449.000000,206355787450.000000,207627340899.000000,3864220.000000,50585449.000000,592708896744.000000,1533708564242.000000,3099267500.000000
12M 2016,,,56233906214.000000,215059269961.000000,7354242008.000000,207705027953.000000,215059269961.000000,14144137668.000000,292411114993.000000,275658034964.000000,853506463800.000000,,430149801.000000,37556471134.000000,,425706696909.000000,14111479882.000000,39355450337.000000,10966609257.000000,528126857320.000000,1381633321120.000000,,,704929715911.000000,372085423699.000000,,,18526908878.000000,266281459403.000000,284808368281.000000,,14370461409.000000,23068788888.000000,,4652707799.000000,,4652707799.000000,5943965835.000000,704929715911.000000,100946524578.000000,44734542699.000000,,,,,,56211981879.000000,100946524578.000000,805876240489.000000,,309926750000.000000,81120060644.000000,184656595420.000000,1271553449.000000,183385041971.000000,184656595420.000000,3089118.000000,50585449.000000,575757080631.000000,1381633321120.000000,3099267500.000000
12M 2017,,,182587624895.000000,180679735205.000000,5967519299.000000,174712215906.000000,180679735205.000000,6434668829.000000,254678984656.000000,306601208535.000000,930982222120.000000,,428049700.000000,49585464833.000000,,487333743682.000000,13931012342.000000,37862803120.000000,9751486493.000000,598892560170.000000,1529874782290.000000,,,893289027427.000000,404985461609.000000,44832543965.000000,,8492910380.000000,376648899346.000000,385141809726.000000,,29563618421.000000,20614308897.000000,,,,,8151284809.000000,893289027427.000000,110175857159.000000,,,,44718791500.000000,44718791500.000000,,65457065659.000000,110175857159.000000,1003464884586.000000,,309926750000.000000,81120060644.000000,135311235313.000000,1271553449.000000,134039681864.000000,135311235313.000000,1266298.000000,50585449.000000,526409897704.000000,1529874782290.000000,3099267500.000000
