Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Premi,Penerimaan Klaim Retrosesi,Penerimaan Komisi,Penerimaan Lain-Lain,Pembayaran Premi Retrosesi,Pembayaran Komisi,Pembayaran Klaim,Penerimaan Restitusi Pajak,Pembayaran Pajak Penghasilan,Pembayaran Beban Umum Dan Administrasi,Pembayaran Beban Pemasaran,Penerimaan Kepada Karyawan,Pembayaran Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Hasil Investasi,Pencairan Deposito,Penjualan Reksadana,Hasil Penjualan Reksadana,Penjualan Efek Ekuitas,Hasil Penjualan Obligasi,Penjualan Obligasi,Hasil Penjualan Aset Tetap,Penerimaan Dividen Tunai,Penempatan Deposito,Penempatan Penyertaan Langsung,Penempatan Investasi Lain,Perolehan Efek Ekuitas,Hasil Penjualan Efek Ekuitas,Perolehan Obligasi,Perolehan Reksadana,Perolehan Aset Lain-Lain,Penambahan Properti Investasi,Pembagian Surplus Underwriting Ke Peserta,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penawaran Umum Terbatas,Pembayaran Dividen,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2015,123436278525.000000,533507550472.000000,20708599582.000000,,,-97547905052.000000,-3036852950.000000,-230761317511.000000,,-37455881418.000000,-9462256973.000000,-532950764.000000,-54873707937.000000,2891001076.000000,123436278525.000000,-119020650856.000000,39319914765.000000,1201611308198.000000,2035454000.000000,,1421759900.000000,,,112000000.000000,260316103.000000,-1325770186282.000000,,,-8996281000.000000,,-18000000000.000000,,,-651335714.000000,-8746214326.000000,-1617386500.000000,-119020650856.000000,-15393527494.000000,,-15393527494.000000,-15393527494.000000,-10977899825.000000,-216606709.000000,57416938124.000000,46222431590.000000
12M 2016,135667235659.000000,583907212849.000000,49867318990.000000,,,-138542002735.000000,-3018554639.000000,-272139246773.000000,,-12993950310.000000,-11177474883.000000,-140077186.000000,-59285960842.000000,-810028812.000000,135667235659.000000,-153751112673.000000,46076756798.000000,2337968048405.000000,338024901.000000,,,,2930656611.000000,985760500.000000,319148743.000000,-2185148141831.000000,,,-9057447600.000000,,-342282908700.000000,,,,,-5881010500.000000,-153751112673.000000,-18079413432.000000,,-18079413432.000000,-18079413432.000000,-36163290446.000000,50426838.000000,46222431591.000000,10109567983.000000
12M 2017,125125448851.000000,751766952117.000000,90970444741.000000,,2355410864.000000,-235440371270.000000,-3078979023.000000,-381315054919.000000,,-25034369826.000000,-12205761743.000000,-256211000.000000,-62636611090.000000,,125125448851.000000,-568715517462.000000,68983685826.000000,4976638615483.000000,60071481674.000000,,8683489500.000000,,351143038900.000000,693576771.000000,702388762.000000,-5406691872152.000000,,,-18442931300.000000,,-594656357200.000000,-5000000000.000000,,,,-10840633726.000000,-568715517462.000000,444733441421.000000,466012512000.000000,-21279070579.000000,444733441421.000000,1143372810.000000,71811389.000000,10109567983.000000,11324752182.000000
12M 2018,40807954982.000000,788960950954.000000,81047186315.000000,,-4598195359.000000,-262933978526.000000,-2078382650.000000,-448147787057.000000,,-25212649743.000000,-14453254256.000000,-366844990.000000,-71409089706.000000,,40807954982.000000,-15261534556.000000,80841944742.000000,1653113771542.000000,22145300506.000000,,6904667000.000000,,39100000000.000000,287270000.000000,1018651380.000000,-1213962286976.000000,,,-13195566000.000000,,-552694604240.000000,-32285363300.000000,,,,-6535319210.000000,-15261534556.000000,-28291292960.000000,,-28291292960.000000,-28291292960.000000,-2744872534.000000,287024264.000000,11324752182.000000,8866903912.000000
12M 2019,246159075871.000000,927522051308.000000,145616314217.000000,,621306502.000000,-230632553729.000000,,-487363751411.000000,,-22277807918.000000,-13547050437.000000,-257265560.000000,-73522167101.000000,,246159075871.000000,-196341323170.000000,115549433672.000000,1050268076973.000000,103790400363.000000,,25212667662.000000,,741521999336.000000,355469333.000000,917133139.000000,-1083524977413.000000,,-50000000000.000000,-25017716920.000000,,-689162734440.000000,-384382955356.000000,,,,-1868119519.000000,-196341323170.000000,-25754804480.000000,,-25754804480.000000,-25754804480.000000,24062948221.000000,-279688416.000000,8866903912.000000,32650163717.000000
12M 2020,276281912185.000000,964176013952.000000,120993529776.000000,,10235907712.000000,-264824258608.000000,,-458693565813.000000,,-14699908952.000000,-13432055040.000000,-100643712.000000,-67373107130.000000,,276281912185.000000,-266339377382.000000,117076158130.000000,2371659655061.000000,175766155379.000000,,,,33395692166.000000,194653667.000000,2978424013.000000,-2422316636483.000000,,-40000000000.000000,-2293650000.000000,,-493828395000.000000,-6193738585.000000,,,,-2777695730.000000,-266339377382.000000,-25718451237.000000,,-25718451237.000000,-25718451237.000000,-15775916434.000000,2485399502.000000,32650163717.000000,19359646785.000000
12M 2021,-142283513852.000000,538020890606.000000,145139798831.000000,,-2164550459.000000,-237919566086.000000,,-495002973277.000000,,-5240206112.000000,-19732944005.000000,-72155622.000000,-65311807728.000000,,-142283513852.000000,157282727419.000000,138598746699.000000,2627623832395.000000,1153883852231.000000,,171060350040.000000,,857757037750.000000,85650000.000000,3391362563.000000,-2857515808407.000000,,78742431288.000000,-379314442440.000000,,-609525282000.000000,-1025001861600.000000,,,,-2503141100.000000,157282727419.000000,-25695423520.000000,,-25695423520.000000,-25695423520.000000,-10696209953.000000,129110160.000000,19359646785.000000,8792546992.000000
12M 2022,-44283711301.000000,810141154610.000000,195833934133.000000,,1580884026.000000,-406722573579.000000,,-584119772502.000000,,-150997016.000000,-18601130964.000000,-62968918.000000,-42182241091.000000,,-44283711301.000000,39874032727.000000,73458697167.000000,3406317055766.000000,2064191537872.000000,,323569102379.000000,,289092173203.000000,381650000.000000,5764184936.000000,-3293693938706.000000,,,-252496784120.000000,,-575520000000.000000,-1997132000000.000000,,,,-4057645770.000000,39874032727.000000,,,,,-4409678574.000000,1524666644.000000,8792546992.000000,5907535062.000000
12M 2023,54317800950.000000,822892487199.000000,453335090383.000000,,17065157059.000000,-440168408892.000000,,-719122446867.000000,1712712666.000000,-2270430026.000000,-16872218854.000000,-125654566.000000,-62128487152.000000,,54317800950.000000,-44857612773.000000,192320127174.000000,4970110653365.000000,799951842724.000000,,22714840000.000000,,649127569500.000000,702793400.000000,667770590.000000,-5133205644385.000000,-89460000000.000000,,-15535000000.000000,,-512130480000.000000,-926060000000.000000,,,,-4062085141.000000,-44857612773.000000,-6964898545.000000,,-6964898545.000000,-6964898545.000000,2495289632.000000,-196951827.000000,5907535062.000000,8205872867.000000
12M 2024,70512055444.000000,890058895128.000000,384036665174.000000,,234221238.000000,-430464895301.000000,,-677550783664.000000,,-2658625583.000000,-27982765748.000000,-73504576.000000,-65087151224.000000,,70512055444.000000,-71734306213.000000,141598642414.000000,13016585754838.000000,173584552831.000000,,10111545000.000000,,170565400000.000000,721584496.000000,336662203.000000,-12392846287643.000000,-220811688.000000,,,,-1188680164359.000000,,,,,-3491184305.000000,-71734306213.000000,-6964929733.000000,,-6964929733.000000,-6964929733.000000,-8187180502.000000,4780575845.000000,8205872867.000000,4799268210.000000
