Period,Total Pendapatan,Premi Bruto,Penurunan (Kenaikan) Premi Yang Belum Merupakan Pendapatan,Hasil Investasi,Others,Total Pendapatan,Total Beban Usaha,Beban Underwriting,Klaim Bruto,Perubahan Bersih Estimasi Liabilitas Klaim,Others,Total Beban Underwriting,Beban Komisi,Beban Usaha,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2015,841099176999.000000,1075257685259.000000,-55430385249.000000,39745850942.000000,-218473973953.000000,841099176999.000000,-695944655423.000000,,-606922862887.000000,-10560687718.000000,107109930147.000000,-510373620458.000000,-118757481944.000000,-66813553021.000000,-695944655423.000000,145154521576.000000,18339092655.000000,163493614231.000000,-27992930748.000000,-27992930748.000000,,-27992930748.000000,135500683483.000000,394162884.000000,135894846367.000000,135500683483.000000,135500683483.000000,,135500683483.000000,135894846367.000000,135894846367.000000,,135894846367.000000
12M 2016,1026579121973.000000,1451202222380.000000,-55358164096.000000,62166718640.000000,-431431654951.000000,1026579121973.000000,-896524046263.000000,,-820352157640.000000,-39070711948.000000,179536281902.000000,-679886587686.000000,-141368991769.000000,-75268466808.000000,-896524046263.000000,130055075710.000000,29685054696.000000,159740130406.000000,-13910600925.000000,-13910600925.000000,,-13910600925.000000,145829529481.000000,-3784763957.000000,142044765524.000000,145829529481.000000,145829529481.000000,,145829529481.000000,142044765524.000000,142044765524.000000,,142044765524.000000
12M 2017,1149382541042.000000,1805138962608.000000,-28556397721.000000,87840681739.000000,-715040705584.000000,1149382541042.000000,-956371610195.000000,,-950850478639.000000,-76459915298.000000,306039204016.000000,-721271189921.000000,-154047711053.000000,-81052709221.000000,-956371610195.000000,193010930847.000000,-7963698725.000000,185047232122.000000,-23971724536.000000,-23971724536.000000,,-23971724536.000000,161075507586.000000,6752153784.000000,167827661370.000000,161075507586.000000,161075507586.000000,,161075507586.000000,167827661370.000000,167827661370.000000,,167827661370.000000
12M 2018,1299873127643.000000,2215762114438.000000,-65117661462.000000,82899527279.000000,-933670852612.000000,1299873127643.000000,-1140122194318.000000,,-1216011541241.000000,-40598947081.000000,441540573091.000000,-815069915231.000000,-230878589909.000000,-94173689178.000000,-1140122194318.000000,159750933325.000000,1600338286.000000,161351271611.000000,-20484116566.000000,-20484116566.000000,,-20484116566.000000,140867155045.000000,-58845309125.000000,82021845920.000000,140867155045.000000,140867155045.000000,,140867155045.000000,82021845920.000000,82021845920.000000,,82021845920.000000
12M 2019,1600249082049.000000,2735842940441.000000,-58797479448.000000,129299277153.000000,-1206095656097.000000,1600249082049.000000,-1405539900435.000000,,-1564584507489.000000,-121522613253.000000,625858507053.000000,-1060248613689.000000,-249592498579.000000,-95698788167.000000,-1405539900435.000000,194709181614.000000,-1430389202.000000,193278792412.000000,-13996715513.000000,-13996715513.000000,,-13996715513.000000,179282076899.000000,31216808862.000000,210498885761.000000,179282076899.000000,179282076899.000000,,179282076899.000000,210498885761.000000,210498885761.000000,,210498885761.000000
12M 2020,1642534002693.000000,2628261646095.000000,46162018187.000000,116277129226.000000,-1148166790815.000000,1642534002693.000000,-1524986556204.000000,,-1650635673487.000000,-184353366305.000000,666570263150.000000,-1168418776642.000000,-269235091447.000000,-87332688115.000000,-1524986556204.000000,117547446489.000000,-4793732040.000000,112753714449.000000,-7570855659.000000,-7570855659.000000,,-7570855659.000000,105182858790.000000,81420139724.000000,186602998514.000000,105182858790.000000,105182858790.000000,,105182858790.000000,186602998514.000000,186602998514.000000,,186602998514.000000
12M 2021,1702613771902.000000,2546282325557.000000,-9239274076.000000,165359137931.000000,-999788417510.000000,1702613771902.000000,-2002217523066.000000,,-2169739774155.000000,-212916211946.000000,730516388398.000000,-1652139597703.000000,-271104302512.000000,-78973622851.000000,-2002217523066.000000,-299603751164.000000,2992421346.000000,-296611329818.000000,5571824283.000000,5571824283.000000,,5571824283.000000,-291039505535.000000,-55853321556.000000,-346892827091.000000,-291039505535.000000,-291039505535.000000,,-291039505535.000000,-346892827091.000000,-346892827091.000000,,-346892827091.000000
12M 2022,1749963941001.000000,2656235936545.000000,-29637143757.000000,163580786227.000000,-1040215638014.000000,1749963941001.000000,-1711246700243.000000,,-1934005825341.000000,-177874536485.000000,733109645821.000000,-1378770716005.000000,-268501816122.000000,-63974168116.000000,-1711246700243.000000,38717240758.000000,4641605305.000000,43358846063.000000,-5771253473.000000,-5771253473.000000,,-5771253473.000000,37587592590.000000,-25005940923.000000,12581651667.000000,37587592590.000000,37587592590.000000,,37587592590.000000,12581651667.000000,12581651667.000000,,12581651667.000000
12M 2023,1945034936043.000000,3037606954770.000000,-96519053604.000000,149168992750.000000,-1145221957873.000000,1945034936043.000000,-1878381157453.000000,,-1962382916896.000000,-261616718289.000000,746857514858.000000,-1477142120327.000000,-316841472163.000000,-84397564963.000000,-1878381157453.000000,66653778590.000000,3464404034.000000,70118182624.000000,-8761298294.000000,-8761298294.000000,,-8761298294.000000,61356884330.000000,-3786982239.000000,57569902091.000000,61356884330.000000,61356884330.000000,,61356884330.000000,57569902091.000000,57569902091.000000,,57569902091.000000
12M 2024,2176368034534.000000,3510354634551.000000,-107137036150.000000,159750442356.000000,-1386600006223.000000,2176368034534.000000,-2139029597979.000000,,-2406014409732.000000,-200791782627.000000,937178737155.000000,-1669627455204.000000,-372643645445.000000,-96758497330.000000,-2139029597979.000000,37338436555.000000,3286886828.000000,40625323383.000000,10186109073.000000,10186109073.000000,,10186109073.000000,50811432456.000000,-36980658080.000000,13830774376.000000,50811432456.000000,50811432456.000000,,50811432456.000000,13830774376.000000,13830774376.000000,,13830774376.000000
