Period,Aset,Kas Dan Setara Kas,Piutang Reasuransi,Pihak Berelasi,Pihak Ketiga,Total Piutang Reasuransi,Deposito Berjangka,Efek Tersedia Untuk Dijual,Sukuk Ijarah,Properti Investasi,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Utang Reasuransi,Pihak Berelasi,Pihak Ketiga,Total Utang Reasuransi,Beban Akrual,Utang Pajak,Liabilitas Pajak Tangguhan,Liabilitas Kontrak Asuransi,Utang Lain-Lain,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2015,,46222431591.000000,,7311768277.000000,207348528573.000000,214660296850.000000,519748084432.000000,22774759310.000000,,136682100000.000000,16460804847.000000,14046864488.000000,468090222703.000000,1438685564221.000000,,,18194070092.000000,93841523.000000,18100228569.000000,18194070092.000000,328517645.000000,2514113471.000000,,717163546254.000000,30949253323.000000,45863008507.000000,815012509292.000000,,77668752200.000000,6686343793.000000,539543199626.000000,15533750439.000000,524009449187.000000,539543199626.000000,,-225240690.000000,623673054929.000000,1438685564221.000000,388343761.000000
12M 2016,,10109567983.000000,,17464680514.000000,305042246311.000000,322506926825.000000,449837227180.000000,274719801930.000000,,166089900000.000000,18801910238.000000,23265684765.000000,568220422400.000000,1833551441321.000000,,,29387213950.000000,424773071.000000,28962440879.000000,29387213950.000000,267803429.000000,11130014947.000000,,901235845885.000000,37530456679.000000,107660871168.000000,1087212206058.000000,,77668752200.000000,6686343793.000000,666190945349.000000,15533750439.000000,650657194910.000000,666190945349.000000,,-4206806079.000000,746339235263.000000,1833551441321.000000,388343761.000000
12M 2017,,11324752182.000000,,,485446729365.000000,485446729365.000000,940565258160.000000,510822448762.000000,,142292835000.000000,56236061292.000000,26142322943.000000,707158191352.000000,2879988599056.000000,,,36911288550.000000,,36911288550.000000,36911288550.000000,573122954.000000,12672389046.000000,,1223777523973.000000,42609666452.000000,206510942703.000000,1523054933678.000000,,103558336200.000000,444922435477.000000,803751681593.000000,15533750439.000000,788217931154.000000,803751681593.000000,,4701212108.000000,1356933665378.000000,2879988599056.000000,517791681.000000
12M 2018,,8866903912.000000,,,745865600840.000000,745865600840.000000,529555508769.000000,963384703528.000000,,146260100000.000000,56864203151.000000,23877570134.000000,951943705893.000000,3426618296227.000000,,,192521525427.000000,,192521525427.000000,192521525427.000000,276145131.000000,4819847758.000000,,1463726494104.000000,47613377537.000000,307183937427.000000,2016141327384.000000,,103558336200.000000,444922435477.000000,915768778678.000000,20711667240.000000,895057111438.000000,915768778678.000000,,-53772581512.000000,1410476968843.000000,3426618296227.000000,517791681.000000
12M 2019,,32650163717.000000,,,940051512297.000000,940051512297.000000,569856446810.000000,967142498926.000000,,146313100000.000000,51455786161.000000,27428050552.000000,1180701589553.000000,3915599148016.000000,,,37275869272.000000,,37275869272.000000,37275869272.000000,229521476.000000,4641971768.000000,,1728856189827.000000,48881654246.000000,500627670873.000000,2320512877462.000000,,103558336200.000000,444922435477.000000,1067075086777.000000,20711667240.000000,1046363419537.000000,1067075086777.000000,,-20469587900.000000,1595086270554.000000,3915599148016.000000,517791681.000000
12M 2020,,19359646785.000000,,,715740623763.000000,715740623763.000000,612012596844.000000,1503189128888.000000,,146371430000.000000,47281288654.000000,25995216942.000000,1133395334196.000000,4203345266072.000000,,,23874340362.000000,,23874340362.000000,23874340362.000000,287081436.000000,1628184870.000000,,1880575058843.000000,40768474813.000000,500412440730.000000,2447545581054.000000,,103558336200.000000,444922435477.000000,1149906504183.000000,20711667240.000000,1129194836943.000000,1149906504183.000000,,57412409158.000000,1755799685018.000000,4203345266072.000000,517791681.000000
12M 2021,,8792546992.000000,,,598251255880.000000,598251255880.000000,1073351562992.000000,1244303413441.000000,,146437030000.000000,43361032873.000000,29325156622.000000,837387431321.000000,3981209430121.000000,,,151262458575.000000,,151262458575.000000,151262458575.000000,41038960.000000,572978811.000000,,2061767941376.000000,36743365853.000000,347804372669.000000,2598192156244.000000,,103558336200.000000,444922435477.000000,833893740738.000000,20711667240.000000,813182073498.000000,833893740738.000000,,642761462.000000,1383017273877.000000,3981209430121.000000,517791681.000000
12M 2022,,5907535062.000000,,,520605585626.000000,520605585626.000000,974642864000.000000,1503601214564.000000,,147632856000.000000,41808090922.000000,25492851940.000000,1066435029118.000000,4286126027232.000000,,,94014970898.000000,,94014970898.000000,94014970898.000000,282990160.000000,837890553.000000,,2448030149176.000000,37125455995.000000,308868938275.000000,2889160395057.000000,,103558336200.000000,444922435477.000000,871234492002.000000,22078373871.000000,849156118131.000000,871234492002.000000,,-22749631504.000000,1396965632175.000000,4286126027232.000000,517791681.000000
12M 2023,,8205872867.000000,,,704016730938.000000,704016730938.000000,1131000096000.000000,1305305035853.000000,,147823996000.000000,40137509591.000000,16729396958.000000,1419462012775.000000,4772680650982.000000,,,78123410894.000000,,78123410894.000000,78123410894.000000,1524677201.000000,705929698.000000,,2986215303972.000000,2918024923.000000,256224719481.000000,3325712066169.000000,,103558336200.000000,444922435477.000000,925459419995.000000,22278299633.000000,903181120362.000000,925459419995.000000,,-26971606859.000000,1446968584813.000000,4772680650982.000000,517791681.000000
12M 2024,,4799268210.000000,,,816757978303.000000,816757978303.000000,525266533800.000000,1659142345934.000000,239294470997.000000,148062932000.000000,37354862735.000000,28590293431.000000,1506562838221.000000,4965831523631.000000,,,75963754622.000000,,75963754622.000000,75963754622.000000,141231576.000000,169562235.000000,,3158636815461.000000,5008269954.000000,272710027561.000000,3512629661409.000000,,103558336200.000000,444922435477.000000,963566472978.000000,22447677882.000000,941118795096.000000,963566472978.000000,,-58845382432.000000,1453201862223.000000,4965831523632.000000,517791681.000000
