Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2015,,,,,,,,,,,,,,,0.0
12M 2016,,,,,,,,,58.22,55.77,0.63,0.6,,,0.0
12M 2017,,,,,,,,,30.63,21.13,0.49,0.47,,,0.0
12M 2018,,,,,,,,,22.99,22.76,0.41,0.41,,,0.0
12M 2019,,,,,,,,,29.55,30.55,0.44,0.42,,,0.0
12M 2020,,,,,,,,,33.27,34.48,0.4,0.4,,,0.0
12M 2021,,,,,,,,,37.57,38.74,0.42,0.42,,,0.0
12M 2022,,,,,,,,,41.09,41.35,0.42,0.4,,,0.0
12M 2023,,,,,,,,,47.47,49.05,0.43,0.42,,,0.0
12M 2024,,,,,,,,,56.17,57.08,0.45,0.43,,,0.0
