Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,174643348463.000000,-172777903305.000000,1865445158.000000,-1614465890.000000,-906142203.000000,-708323687.000000,-1614465890.000000,250979268.000000,1608045270.000000,1522385119.000000,1444644.000000,-2971042.000000,87186549.000000,1608045270.000000,1859024538.000000,-521542314.000000,-527621000.000000,6078686.000000,,-521542314.000000,1337482224.000000,,,1337482224.000000,1337482224.000000,,1337482224.000000,,,,
12M 2009,223495352234.000000,-219179578970.000000,4315773264.000000,-1728018451.000000,-1082196928.000000,-645821523.000000,-1728018451.000000,2587754813.000000,-1516806866.000000,-1571059538.000000,690030.000000,-2916230.000000,56478872.000000,-1516806866.000000,1070947947.000000,-416422943.000000,-337891960.000000,-78530983.000000,,-416422943.000000,654525004.000000,,,654525004.000000,654525004.000000,,654525004.000000,,,,
12M 2010,231254609150.000000,-228165143555.000000,3089465595.000000,-1931922481.000000,-1102377594.000000,-829544887.000000,-1931922481.000000,1157543114.000000,-518672864.000000,,,,-518672864.000000,-518672864.000000,638870250.000000,-179382403.000000,-199397000.000000,20014597.000000,,-179382403.000000,459487847.000000,,,459487847.000000,459487847.000000,,459487847.000000,,,,
12M 2011,234796669304.000000,-230910237954.000000,3886431350.000000,-3302278351.000000,-1170613414.000000,-2131664937.000000,-3302278351.000000,584152999.000000,188692173.000000,,747951.000000,,187944222.000000,188692173.000000,772845172.000000,-205649249.000000,,,,-205649249.000000,567195923.000000,,567195923.000000,567195923.000000,567195923.000000,,567195923.000000,567195923.000000,567195923.000000,,567195923.000000
12M 2012,253337347700.000000,-247380998531.000000,5956349169.000000,-6154147759.000000,-907533312.000000,-5246614447.000000,-6154147759.000000,-197798590.000000,890962921.000000,,795808.000000,,890167113.000000,890962921.000000,693164331.000000,-173092000.000000,,,,-173092000.000000,520072331.000000,,520072331.000000,520072331.000000,520072331.000000,,520072331.000000,520072331.000000,520072331.000000,,520072331.000000
12M 2013,102752163835.000000,-101141131452.000000,1611032383.000000,-2466794739.000000,-1362286685.000000,-1104508054.000000,-2466794739.000000,-855762356.000000,3308778364.000000,,,,3308778364.000000,3308778364.000000,2453016008.000000,-613797500.000000,,,,-613797500.000000,1839218508.000000,,1839218508.000000,1839218508.000000,1839218508.000000,,1839218508.000000,1839218508.000000,1839218508.000000,,1839218508.000000
12M 2014,27248554912.000000,-27126791833.000000,121763079.000000,-2657642043.000000,-1048278575.000000,-1609363468.000000,-2657642043.000000,-2535878964.000000,-6953639.000000,,,,-6953639.000000,-6953639.000000,-2542832603.000000,554473279.000000,,,,554473279.000000,-1988359324.000000,,-1988359324.000000,-1988359324.000000,-1988359324.000000,,-1988359324.000000,-1988359324.000000,-1988359324.000000,,-1988359324.000000
12M 2015,152500000.000000,-147500000.000000,5000000.000000,-2941596027.000000,-1472256600.000000,-1469339427.000000,-2941596027.000000,-2936596027.000000,59720773.000000,7250708.000000,283498.000000,-3370286.000000,55556853.000000,59720773.000000,-2876875254.000000,711235387.000000,,,,711235387.000000,-2165639867.000000,30369000.000000,-2135270867.000000,-2165639867.000000,-2165639867.000000,,-2165639867.000000,-2135270867.000000,-2135270867.000000,,-2135270867.000000
12M 2016,464827400.000000,-409957410.000000,54869990.000000,-2233201629.000000,-1246692075.000000,-986509554.000000,-2233201629.000000,-2178331639.000000,-38035117.000000,-408015093.000000,21396051.000000,-3103118.000000,351687043.000000,-38035117.000000,-2216366756.000000,-1261936440.000000,,,,-1261936440.000000,-3478303196.000000,-4352250.000000,-3482655446.000000,-3478303196.000000,-3478303196.000000,,-3478303196.000000,-3482655446.000000,-3482655446.000000,,-3482655446.000000
12M 2017,2617767650.000000,-2477499950.000000,140267700.000000,-1430523071.000000,-853645050.000000,-576878021.000000,-1430523071.000000,-1290255371.000000,-297436321.000000,-1691692.000000,41555131.000000,-3552637.000000,-333747123.000000,-297436321.000000,-1587691692.000000,-26126427.000000,,,,-26126427.000000,-1613818119.000000,-26016750.000000,-1639834869.000000,-1613818119.000000,-1613818119.000000,,-1613818119.000000,-1639834869.000000,-1639834869.000000,,-1639834869.000000
