Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Piutang Lain-Lain,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Utang Pajak,Utang Lain-Lain,Beban Akrual,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Lain-Lain,Liabilitas Pajak Tangguhan,Utang Jangka Panjang Dari Pihak Berelasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,71954986.000000,80845498262.000000,200000.000000,104166672.000000,81021819920.000000,,194628136.000000,80942897.000000,,275571033.000000,81297390953.000000,,,60916095644.000000,60511820225.000000,263771699.000000,,140503720.000000,,60916095644.000000,252768000.000000,,,,252768000.000000,252768000.000000,61168863644.000000,,11000000000.000000,4215565685.000000,4912961624.000000,,,4912961624.000000,,20128527309.000000,81297390953.000000,110000000.000000
12M 2009,,,60239806.000000,182350831215.000000,,20833344.000000,182431904365.000000,,116097152.000000,27878771.000000,,143975923.000000,182575880288.000000,,,161406213974.000000,161246164190.000000,65092962.000000,,94956822.000000,,161406213974.000000,386614000.000000,,,,386614000.000000,386614000.000000,161792827974.000000,,11000000000.000000,4215565685.000000,5567486629.000000,,,5567486629.000000,,20783052314.000000,182575880288.000000,110000000.000000
12M 2010,,,119200699.000000,145798439725.000000,750000.000000,24750000.000000,145943140424.000000,,136111749.000000,115509899.000000,,251621648.000000,146194762072.000000,,,124407774911.000000,124215015385.000000,95202141.000000,,97557385.000000,,124407774911.000000,544447000.000000,,,,544447000.000000,544447000.000000,124952221911.000000,,11000000000.000000,4215565685.000000,6026974476.000000,,,6026974476.000000,,21242540161.000000,146194762072.000000,110000000.000000
12M 2011,,,62105068.000000,162921008914.000000,1150000.000000,18428001.000000,163002691983.000000,,178461000.000000,97966149.000000,16600000.000000,293027149.000000,163295719132.000000,,,140772139048.000000,140375724074.000000,117147145.000000,,279267829.000000,,140772139048.000000,713844000.000000,,,,713844000.000000,713844000.000000,141485983048.000000,,11000000000.000000,4215565685.000000,6594170399.000000,28359796.000000,6565810603.000000,6594170399.000000,,21809736084.000000,163295719132.000000,110000000.000000
12M 2012,,,218319899.000000,45243968155.000000,,13845423.000000,45476133477.000000,,167126250.000000,89484915.000000,33428704.000000,290039869.000000,45766173346.000000,,,22767859931.000000,22282542524.000000,116358961.000000,,368958446.000000,,22767859931.000000,668505000.000000,,,,668505000.000000,668505000.000000,23436364931.000000,,11000000000.000000,4215565685.000000,7114242730.000000,54363413.000000,7059879317.000000,7114242730.000000,,22329808415.000000,45766173346.000000,110000000.000000
12M 2013,,,13596316.000000,24573705407.000000,,39770452.000000,24627072175.000000,,200500.000000,5086977.000000,16600000.000000,21887477.000000,24648959652.000000,,,479130729.000000,,370572129.000000,,108558600.000000,,479130729.000000,802000.000000,,,,802000.000000,802000.000000,479932729.000000,,11000000000.000000,4215565685.000000,8953461238.000000,146324338.000000,8807136900.000000,8953461238.000000,,24169026923.000000,24648959652.000000,110000000.000000
12M 2014,,,118782611.000000,22431205404.000000,,57789312.000000,22607777327.000000,,554673779.000000,2999994.000000,16600000.000000,574273773.000000,23182051100.000000,,,313056416.000000,,78938423.000000,,234117993.000000,,313056416.000000,688327085.000000,,,486091300.000000,202235785.000000,688327085.000000,1001383501.000000,,11000000000.000000,4215565685.000000,6965101914.000000,146324338.000000,6818777576.000000,6965101914.000000,,22180667599.000000,23182051100.000000,110000000.000000
12M 2015,,,2958364496.000000,16706345404.000000,,5000000.000000,19669709900.000000,,1265909166.000000,1000000.000000,,1266909166.000000,20936619066.000000,,,500163334.000000,,100969334.000000,,399194000.000000,,500163334.000000,391059000.000000,,,,391059000.000000,391059000.000000,891222334.000000,,11000000000.000000,4215565685.000000,4799462047.000000,146324338.000000,4653137709.000000,4799462047.000000,30369000.000000,20045396732.000000,20936619066.000000,110000000.000000
12M 2016,,,11709646124.000000,,2050000.000000,5297500000.000000,17009196124.000000,,,,,,17009196124.000000,,,361919588.000000,,67090570.000000,,294829018.000000,,361919588.000000,34535250.000000,,51250.000000,,34484000.000000,34535250.000000,396454838.000000,,11000000000.000000,4265565685.000000,1321158851.000000,146324338.000000,1174834513.000000,1321158851.000000,26016750.000000,16612741286.000000,17009196124.000000,220000000.000000
12M 2017,,,43138538.000000,,,15057500000.000000,15100638538.000000,,,,,,15100638538.000000,,,127732121.000000,,5328882.000000,,122403239.000000,,127732121.000000,,,,,,,127732121.000000,,11000000000.000000,4265565685.000000,-292659268.000000,146324338.000000,-438983606.000000,-292659268.000000,,14972906417.000000,15100638538.000000,220000000.000000
12M 2018,,,3706467.000000,,,17529500000.000000,17533206467.000000,,,,,,17533206467.000000,,,2587500000.000000,,,,112500000.000000,2475000000.000000,2587500000.000000,609909626.000000,609909626.000000,,,,609909626.000000,3197409626.000000,,11000000000.000000,4265565685.000000,-929768844.000000,146324338.000000,-1076093182.000000,-929768844.000000,,14335796841.000000,17533206467.000000,220000000.000000
12M 2019,,,2091615.000000,,,17529500000.000000,17531591615.000000,,,,,,17531591615.000000,,,2966250000.000000,,,,491250000.000000,2475000000.000000,2966250000.000000,926700212.000000,926700212.000000,,,,926700212.000000,3892950212.000000,,11000000000.000000,4265565685.000000,-1626924282.000000,146324338.000000,-1773248620.000000,-1626924282.000000,,13638641403.000000,17531591615.000000,220000000.000000
12M 2020,,,68517942.000000,3184176534.000000,,50000000.000000,3302694476.000000,,,,17479500000.000000,17479500000.000000,20782194476.000000,,,3804112122.000000,3028019944.000000,23592178.000000,,752500000.000000,,3804112122.000000,4202504467.000000,1727504467.000000,,,2475000000.000000,4202504467.000000,8006616589.000000,,11000000000.000000,4265565685.000000,-2489987798.000000,146324338.000000,-2636312136.000000,-2489987798.000000,,12775577887.000000,20782194476.000000,220000000.000000
12M 2021,,,841995662.000000,4809371668.000000,,79482688.000000,5730850018.000000,,331869506.000000,,17479500000.000000,17811369506.000000,23542219524.000000,,,4833968127.000000,4373402502.000000,565625.000000,,460000000.000000,,4833968127.000000,3317941842.000000,842941842.000000,,,2475000000.000000,3317941842.000000,8151909969.000000,,11000000000.000000,4265565685.000000,124743870.000000,146324338.000000,-21580468.000000,124743870.000000,,15390309555.000000,23542219524.000000,220000000.000000
12M 2022,,,1842873288.000000,9936469842.000000,,50000000.000000,11829343130.000000,,,,17479500000.000000,17479500000.000000,29308843130.000000,,,11143382967.000000,8966650938.000000,1931732029.000000,,245000000.000000,,11143382967.000000,2585225651.000000,110225651.000000,,,2475000000.000000,2585225651.000000,13728608618.000000,,11000000000.000000,4265565685.000000,314668827.000000,146324338.000000,168344489.000000,314668827.000000,,15580234512.000000,29308843130.000000,220000000.000000
12M 2023,,,5234148.000000,,,20730989.000000,25965137.000000,,3845490000.000000,15468840.000000,,3860958840.000000,3886923977.000000,,,1899063645.000000,,1605313645.000000,,293750000.000000,,1899063645.000000,167405189.000000,167405189.000000,,,,167405189.000000,2066468834.000000,,11000000000.000000,4265565685.000000,-13445110542.000000,146324338.000000,-13591434880.000000,-13445110542.000000,,1820455143.000000,3886923977.000000,220000000.000000
12M 2024,,,8659749.000000,,,6259229.000000,14918978.000000,,3845490000.000000,11250060.000000,,3856740060.000000,3871659038.000000,,,1980384307.000000,,1237514130.000000,,742592677.000000,277500.000000,1980384307.000000,1552378053.000000,1552378053.000000,,,,1552378053.000000,3532762360.000000,,11000000000.000000,4265565685.000000,-14926669007.000000,146324338.000000,-15072993345.000000,-14926669007.000000,,338896678.000000,3871659038.000000,220000000.000000
