Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada:,Pemasok,Karyawan Dan Beban Usaha,Total Pembayaran Kas Kepada:,Pembayaran Beban Usaha,Penerimaan (Pembayaran) Pajak,Uang Jaminan,Penerimaan (Pembayaran) Piutang (Hutang) Lain-Lain,Penerimaan (Pembayaran) Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penjualan Aset Tetap,Piutang Lain-Lain - Pihak Ketiga,Penambahan Aset Lain-Lain,Penurunan Beban Ditangguhkan,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pinjaman Jangka Pendek,Penerimaan Pinjaman Pihak Berelasi,Biaya Dibayar Di Muka,Biaya Yang Masih Harus Dibayar,Penambahan Liabilitas Pihak Berelasi,Kewajiban Dari Sewa Guna Usaha,Total Arus Kas Dari Aktivitas Pendanaan,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,262693809.000000,131493713002.000000,,-131188550317.000000,,-131188550317.000000,-1490385424.000000,-349295396.000000,,189166674.000000,1608045270.000000,262693809.000000,-11000000.000000,-11000000.000000,,,,,-11000000.000000,-223533456.000000,,,83333328.000000,-360452784.000000,,53586000.000000,-223533456.000000,,28160353.000000,43794633.000000,71954986.000000
12M 2009,-183347611.000000,121990019281.000000,,-118392170878.000000,,-118392170878.000000,-1728018452.000000,-536570697.000000,,200000.000000,-1516806865.000000,-183347611.000000,,,,,,,,171632432.000000,,,83333328.000000,-45546896.000000,,133846000.000000,171632432.000000,,-11715179.000000,71954986.000000,60239807.000000
12M 2010,173885893.000000,267807000640.000000,,-265196292360.000000,-1748861704.000000,-266945154064.000000,,-169287821.000000,,,-518672862.000000,173885893.000000,-114925000.000000,-114175000.000000,,-750000.000000,,,-114925000.000000,,,,,,,,,,58960893.000000,60239806.000000,119200699.000000
12M 2011,-40095631.000000,217674100115.000000,,-214749529265.000000,-2927305150.000000,-217676834415.000000,,-226053496.000000,,,188692165.000000,-40095631.000000,-17000000.000000,,,-400000.000000,-16600000.000000,,-17000000.000000,,,,,,,,,,-57095631.000000,119200699.000000,62105068.000000
12M 2012,179893535.000000,371014388459.000000,,-365474180081.000000,-6088732322.000000,-371562912403.000000,,-162545434.000000,,,890962913.000000,179893535.000000,-23678704.000000,-8000000.000000,,1150000.000000,-16828704.000000,,-23678704.000000,,,,,,,,,,156214831.000000,62105068.000000,218319899.000000
12M 2013,-296552287.000000,123422426583.000000,,-123423673976.000000,-2707284585.000000,-126130958561.000000,,-230131248.000000,,,2642110939.000000,-296552287.000000,91828704.000000,,75000000.000000,,16828704.000000,,91828704.000000,,,,,,,,,,-204723583.000000,218319899.000000,13596316.000000
12M 2014,-380905005.000000,29391054915.000000,,-27126791833.000000,-1990049655.000000,-29116841488.000000,,-648164793.000000,,,-6953639.000000,-380905005.000000,,,,,,,,486091300.000000,,,,,486091300.000000,,486091300.000000,,105186295.000000,13596316.000000,118782611.000000
12M 2015,3325673185.000000,5877360000.000000,,-147500000.000000,-2112885767.000000,-2260385767.000000,,-352303031.000000,,,61001983.000000,3325673185.000000,,,,,,,,-486091300.000000,,,,,-486091300.000000,,-486091300.000000,,2839581885.000000,118782611.000000,2958364496.000000
12M 2016,8751281628.000000,17171172804.000000,,-5649957410.000000,-2023011560.000000,-7672968970.000000,,-355149019.000000,,-2050000.000000,-389723187.000000,8751281628.000000,,,,,,,,,,,,,,,,,8751281628.000000,2958364496.000000,11709646124.000000
12M 2017,-11666507586.000000,2617767650.000000,,-12237499950.000000,-1446442063.000000,-13683942013.000000,,-245948789.000000,,,-354384434.000000,-11666507586.000000,,,,,,,,,,,,,,,,,-11666507586.000000,11709646124.000000,43138538.000000
12M 2018,-649341697.000000,2475000000.000000,,-2479500000.000000,-621174205.000000,-3100674205.000000,,-7887238.000000,,,-15780254.000000,-649341697.000000,,,,,,,,609909626.000000,,,,,609909626.000000,,609909626.000000,,-39432071.000000,43138538.000000,3706467.000000
12M 2019,-318405439.000000,,,,-317998394.000000,-317998394.000000,,,,,-407045.000000,-318405439.000000,,,,,,,,316790587.000000,,,,,316790587.000000,,316790587.000000,,-1614852.000000,3706467.000000,2091615.000000
12M 2020,-734377928.000000,1534259108.000000,,-1459016838.000000,-705871550.000000,-2164888388.000000,,,,,-103748648.000000,-734377928.000000,,,,,,,,800804255.000000,,,,,800804255.000000,,800804255.000000,,66426327.000000,2091615.000000,68517942.000000
12M 2021,1658040345.000000,36882009108.000000,,-33878542323.000000,-1168903514.000000,-35047445837.000000,,-78664319.000000,,,-97858607.000000,1658040345.000000,,,,,,,,-884562625.000000,,,,,-884562625.000000,,-884562625.000000,,773477720.000000,68517942.000000,841995662.000000
12M 2022,1733593817.000000,27785192297.000000,,-25030789717.000000,-817037061.000000,-25847826778.000000,,-120768397.000000,,,-83003305.000000,1733593817.000000,,,,,,,,-732716191.000000,,,,,-732716191.000000,,-732716191.000000,,1000877626.000000,841995662.000000,1842873288.000000
12M 2023,-1877943578.000000,19692567589.000000,,-18145661244.000000,-2085916330.000000,-20231577574.000000,,-616387076.000000,,,-722546517.000000,-1877943578.000000,-16875100.000000,-16875100.000000,,,,,-16875100.000000,57179538.000000,,57179538.000000,,,,,57179538.000000,,-1837639140.000000,1842873288.000000,5234148.000000
12M 2024,-1381547263.000000,262500000.000000,,,-1643235304.000000,-1643235304.000000,,,,,-811959.000000,-1381547263.000000,,,,,,,,1384972864.000000,,1384972864.000000,,,,,1384972864.000000,,3425601.000000,5234148.000000,8659749.000000
