Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.48,7540.88,0.48,7540.88,248 B,345 B,593 B,493 B,183 B
12M 2009,1.39,7456.87,1.39,7456.87,245 B,460 B,705 B,483 B,196 B
12M 2010,2.42,10757.32,2.42,10757.32,214 B,276 B,490 B,315 B,22 B
12M 2011,2.32,14315.97,2.32,14315.97,357 B,886 B,"1,242 B","1,037 B",(66 B)
12M 2012,0.74,1795.64,0.74,1795.64,657 B,"1,932 B","2,588 B","2,153 B",384 B
12M 2013,0.48,2389.47,0.48,2389.47,736 B,"2,039 B","2,775 B","2,078 B",821 B
12M 2014,0.39,2378.49,0.39,2378.49,677 B,"1,694 B","2,371 B","1,558 B",862 B
12M 2015,0.12,2437.01,0.12,2426.33,732 B,"1,723 B","2,455 B","1,716 B",693 B
12M 2016,0.32,2267.86,0.32,2257.45,354 B,"1,681 B","2,035 B","1,143 B","1,065 B"
12M 2017,0.69,2394.29,0.70,2383.80,284 B,"1,709 B","1,993 B","1,214 B",863 B
12M 2018,0.65,2735.87,0.66,2724.66,146 B,"2,613 B","2,759 B","1,772 B","1,482 B"
12M 2019,0.55,2920.97,0.55,2910.21,172 B,"2,103 B","2,275 B","1,105 B","1,053 B"
12M 2020,0.60,3227.28,0.60,3216.36,283 B,"1,343 B","1,626 B",(264 B),"1,219 B"
12M 2021,0.59,3673.42,0.59,3662.36,,732 B,732 B,(544 B),920 B
12M 2022,0.94,4594.55,0.94,4582.47,704 B,441 B,"1,145 B",182 B,557 B
12M 2023,1.46,3593.92,1.60,3291.33,573 B,"2,295 B","2,868 B","1,741 B",675 B
12M 2024,6.93,3986.70,7.53,3670.04,603 B,"4,769 B","5,372 B","3,515 B","2,067 B"
