Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Bagian Atas Hasil Bersih Entitas Asosiasi,Pendapatan Keuangan,Beban Keuangan,Bagian Atas Hasil Bersih Pengendalian Bersama Entitas,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Final,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,205794000.000000,-175123000.000000,30671000.000000,-19802000.000000,-19802000.000000,-19802000.000000,10869000.000000,-5829000.000000,163000.000000,957000.000000,-2231000.000000,,1080000.000000,-182000.000000,,-5616000.000000,-5829000.000000,5040000.000000,-3265000.000000,,,,-3265000.000000,1775000.000000,,,,,1775000.000000,1775000.000000,,1775000.000000,,,,
12M 2009,171826000.000000,-116427000.000000,55399000.000000,-15902000.000000,-15902000.000000,-15902000.000000,39497000.000000,-34933000.000000,429000.000000,113000.000000,-4071000.000000,,,-4505000.000000,,-26899000.000000,-34933000.000000,4564000.000000,-2974000.000000,,,,-2974000.000000,1590000.000000,,,,,1590000.000000,1590000.000000,,1590000.000000,,,,
12M 2010,186949000.000000,-131683000.000000,55266000.000000,-16970000.000000,-16970000.000000,-16970000.000000,38296000.000000,13297000.000000,14385000.000000,334000.000000,-3050000.000000,,,1366000.000000,,262000.000000,13297000.000000,51593000.000000,-9339000.000000,,,,-9339000.000000,42254000.000000,,,,,42254000.000000,42254000.000000,,42254000.000000,,,,
12M 2011,263769000.000000,-187442000.000000,76327000.000000,-23939000.000000,-23939000.000000,-23939000.000000,52388000.000000,13879000.000000,12316000.000000,222000.000000,-5575000.000000,,,,,6916000.000000,13879000.000000,66267000.000000,-13624000.000000,,,,-13624000.000000,52643000.000000,-1000.000000,-1000.000000,-1000.000000,52642000.000000,52643000.000000,52643000.000000,,52643000.000000,52642000.000000,52642000.000000,,52642000.000000
12M 2012,385492000.000000,-272764000.000000,112728000.000000,-32627000.000000,-32627000.000000,-32627000.000000,80101000.000000,-16536000.000000,2759000.000000,138000.000000,-13972000.000000,,,,,-5461000.000000,-16536000.000000,63565000.000000,-14443000.000000,,,,-14443000.000000,49122000.000000,-7000.000000,-7000.000000,-7000.000000,49115000.000000,49122000.000000,49122000.000000,,49122000.000000,49115000.000000,49115000.000000,,49115000.000000
12M 2013,360096000.000000,-269467000.000000,90629000.000000,-28513000.000000,-28513000.000000,-28513000.000000,62116000.000000,-34520000.000000,-4019000.000000,1440000.000000,-25178000.000000,,,,,-6763000.000000,-34520000.000000,27596000.000000,-10288000.000000,,,,-10288000.000000,17308000.000000,-22000.000000,-22000.000000,-22000.000000,17286000.000000,17308000.000000,17308000.000000,,17308000.000000,17286000.000000,17286000.000000,,17286000.000000
12M 2014,347968000.000000,-281377000.000000,66591000.000000,-26488000.000000,-26488000.000000,-26488000.000000,40103000.000000,-18098000.000000,-3921000.000000,1881000.000000,-12278000.000000,,,,,-3780000.000000,-18098000.000000,22005000.000000,-19752000.000000,,,,-19752000.000000,2253000.000000,-2000.000000,-2000.000000,-2000.000000,2251000.000000,2253000.000000,2253000.000000,,2253000.000000,2251000.000000,2251000.000000,,2251000.000000
12M 2015,206834000.000000,-177691000.000000,29143000.000000,-19409000.000000,-19409000.000000,-19409000.000000,9734000.000000,-17558000.000000,-1421000.000000,969000.000000,-9665000.000000,,,,,-7441000.000000,-17558000.000000,-7824000.000000,-4867000.000000,-3110000.000000,,-1757000.000000,-4867000.000000,-12691000.000000,246000.000000,246000.000000,246000.000000,-12445000.000000,-12691000.000000,-12719000.000000,28000.000000,-12691000.000000,-12445000.000000,-12473000.000000,28000.000000,-12445000.000000
12M 2016,209370000.000000,-174501000.000000,34869000.000000,-18778000.000000,-18778000.000000,-18778000.000000,16091000.000000,-24888000.000000,-2208000.000000,639000.000000,-9514000.000000,,,,-2629000.000000,-11176000.000000,-24888000.000000,-8797000.000000,972000.000000,,,,972000.000000,-7825000.000000,-3000.000000,-3000.000000,-3000.000000,-7828000.000000,-7825000.000000,-7934000.000000,109000.000000,-7825000.000000,-7828000.000000,-7937000.000000,109000.000000,-7828000.000000
12M 2017,259868000.000000,-218943000.000000,40925000.000000,-19004000.000000,-19004000.000000,-19004000.000000,21921000.000000,-11127000.000000,-473000.000000,627000.000000,-9194000.000000,,,,-2230000.000000,143000.000000,-11127000.000000,10794000.000000,-2483000.000000,,,,-2483000.000000,8311000.000000,-976000.000000,-976000.000000,-976000.000000,7335000.000000,8311000.000000,8230000.000000,81000.000000,8311000.000000,7335000.000000,7254000.000000,81000.000000,7335000.000000
