Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Efek Tersedia Untuk Dijual,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Pada Entitas Pengendalian Bersama,Aset Tetap,Aset Pajak Tangguhan,Goodwill,Piutang Lain-Lain,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Pihak Ketiga,Pihak Berelasi,Total Beban Akrual,Utang Jangka Panjang Dari Pihak Berelasi,Utang Sewa Pembiayaan,Utang Obligasi,Liabilitas Derivatif,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Utang Dari Pihak Ketiga,Utang Jangka Panjang Dari Pihak Berelasi,Utang Obligasi,Liabilitas Derivatif,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,9068000.000000,,61519000.000000,58981000.000000,2538000.000000,61519000.000000,4514000.000000,229000.000000,4285000.000000,4514000.000000,3934000.000000,,11934000.000000,90969000.000000,,677000.000000,83744000.000000,2878000.000000,,,,87299000.000000,178268000.000000,,,74271000.000000,2504000.000000,,41936000.000000,4041000.000000,45977000.000000,,957000.000000,1058000.000000,2015000.000000,509000.000000,659000.000000,,,659000.000000,,12227000.000000,,7939000.000000,2441000.000000,74271000.000000,33340000.000000,31464000.000000,,,,,,1876000.000000,33340000.000000,107611000.000000,,34015000.000000,250000.000000,45421000.000000,1475000.000000,43946000.000000,45421000.000000,,-9029000.000000,70657000.000000,178268000.000000,102600000.000000
12M 2009,,,23628000.000000,,28858000.000000,21109000.000000,7749000.000000,28858000.000000,9695000.000000,338000.000000,9357000.000000,9695000.000000,4000000.000000,,15935000.000000,82116000.000000,,1106000.000000,108882000.000000,2405000.000000,,,,112393000.000000,194509000.000000,,,61216000.000000,5500000.000000,,28694000.000000,10000.000000,28704000.000000,,1929000.000000,,1929000.000000,791000.000000,2385000.000000,,,2385000.000000,,20513000.000000,,,1394000.000000,61216000.000000,53282000.000000,48950000.000000,,,,,,4332000.000000,53282000.000000,114498000.000000,,33438000.000000,,46573000.000000,1475000.000000,45098000.000000,46573000.000000,,,80011000.000000,194509000.000000,100860500.000000
12M 2010,,,19443000.000000,,31963000.000000,27417000.000000,4546000.000000,31963000.000000,1281000.000000,609000.000000,672000.000000,1281000.000000,5609000.000000,,10446000.000000,68742000.000000,,10591000.000000,142781000.000000,398000.000000,,,,153770000.000000,222512000.000000,,,66319000.000000,5500000.000000,,34416000.000000,119000.000000,34535000.000000,,208000.000000,62000.000000,270000.000000,1900000.000000,5153000.000000,,,5153000.000000,,18271000.000000,,,690000.000000,66319000.000000,35518000.000000,30679000.000000,,,,,,4839000.000000,35518000.000000,101837000.000000,,33438000.000000,,87237000.000000,1475000.000000,85762000.000000,87237000.000000,,,120675000.000000,222512000.000000,100860500.000000
12M 2011,,,22587000.000000,,50360000.000000,31650000.000000,18710000.000000,50360000.000000,3641000.000000,3138000.000000,503000.000000,3641000.000000,8494000.000000,,20097000.000000,105179000.000000,,17857000.000000,254262000.000000,,,,,272119000.000000,377298000.000000,,,112459000.000000,12500000.000000,,64334000.000000,191000.000000,64525000.000000,,651000.000000,,651000.000000,2518000.000000,,4540000.000000,584000.000000,5124000.000000,,26828000.000000,,,313000.000000,112459000.000000,105607000.000000,42658000.000000,,55000000.000000,,,160000.000000,7789000.000000,105607000.000000,218066000.000000,,33438000.000000,,125796000.000000,1475000.000000,124321000.000000,125796000.000000,,-2000.000000,159232000.000000,377298000.000000,100860500.000000
12M 2012,,,44974000.000000,,81084000.000000,49678000.000000,31406000.000000,81084000.000000,1365000.000000,1024000.000000,341000.000000,1365000.000000,7466000.000000,,30745000.000000,165634000.000000,,20494000.000000,343614000.000000,,,,,364108000.000000,529742000.000000,,,125918000.000000,12500000.000000,,49502000.000000,219000.000000,49721000.000000,,1420000.000000,,1420000.000000,1100000.000000,,3808000.000000,1666000.000000,5474000.000000,,55417000.000000,,,286000.000000,125918000.000000,216534000.000000,89750000.000000,,110000000.000000,,,5691000.000000,11093000.000000,216534000.000000,342452000.000000,,33438000.000000,,153861000.000000,1475000.000000,152386000.000000,153861000.000000,,-9000.000000,187290000.000000,529742000.000000,1008605000.000000
12M 2013,,,57125000.000000,,92596000.000000,65985000.000000,26611000.000000,92596000.000000,1055000.000000,569000.000000,486000.000000,1055000.000000,4745000.000000,2539000.000000,30529000.000000,188589000.000000,,16067000.000000,304586000.000000,,,,,320653000.000000,509242000.000000,,,121305000.000000,12500000.000000,,47415000.000000,1844000.000000,49259000.000000,,2572000.000000,1316000.000000,3888000.000000,889000.000000,,3094000.000000,3582000.000000,6676000.000000,,47827000.000000,,,266000.000000,121305000.000000,190361000.000000,51795000.000000,,115363000.000000,,,13212000.000000,9991000.000000,190361000.000000,311666000.000000,,33438000.000000,,164169000.000000,1475000.000000,162694000.000000,164169000.000000,,-31000.000000,197576000.000000,509242000.000000,1008605000.000000
12M 2014,,,65370000.000000,,76947000.000000,69098000.000000,7849000.000000,76947000.000000,839000.000000,486000.000000,353000.000000,839000.000000,5012000.000000,2922000.000000,25742000.000000,176832000.000000,,9453000.000000,279315000.000000,,,,2132000.000000,290900000.000000,467732000.000000,,,107514000.000000,22782000.000000,,39419000.000000,220000.000000,39639000.000000,,4778000.000000,1316000.000000,6094000.000000,697000.000000,,2783000.000000,3582000.000000,6365000.000000,,31632000.000000,,,305000.000000,107514000.000000,167391000.000000,20820000.000000,,115363000.000000,,,20235000.000000,10973000.000000,167391000.000000,274905000.000000,,33438000.000000,,159422000.000000,1475000.000000,157947000.000000,159422000.000000,,-33000.000000,192827000.000000,467732000.000000,1008605000.000000
12M 2015,,,53574000.000000,,49612000.000000,41494000.000000,8118000.000000,49612000.000000,1624000.000000,1313000.000000,311000.000000,1624000.000000,4416000.000000,,31961000.000000,141187000.000000,,7991000.000000,269468000.000000,,781000.000000,,5941000.000000,284181000.000000,425368000.000000,,,90941000.000000,32109000.000000,,29079000.000000,767000.000000,29846000.000000,,3468000.000000,1316000.000000,4784000.000000,817000.000000,,2213000.000000,,2213000.000000,1869000.000000,19074000.000000,,,229000.000000,90941000.000000,156150000.000000,9568000.000000,,115363000.000000,,,20569000.000000,10650000.000000,156150000.000000,247091000.000000,,33438000.000000,,145211000.000000,1475000.000000,143736000.000000,145211000.000000,98000.000000,-470000.000000,178277000.000000,425368000.000000,1008605000.000000
12M 2016,,,66425000.000000,,52499000.000000,45965000.000000,6534000.000000,52499000.000000,621000.000000,306000.000000,315000.000000,621000.000000,4974000.000000,,23217000.000000,147736000.000000,,5798000.000000,233189000.000000,,781000.000000,,5921000.000000,245689000.000000,393425000.000000,,,68442000.000000,16254000.000000,,37208000.000000,305000.000000,37513000.000000,,99000.000000,1316000.000000,1415000.000000,636000.000000,,2311000.000000,,2311000.000000,3226000.000000,6860000.000000,,,227000.000000,68442000.000000,154534000.000000,9759000.000000,,115363000.000000,,,16727000.000000,12685000.000000,154534000.000000,222976000.000000,,33438000.000000,,137277000.000000,1475000.000000,135802000.000000,137277000.000000,207000.000000,-473000.000000,170449000.000000,393425000.000000,1008605000.000000
12M 2017,,,57487000.000000,,74684000.000000,67167000.000000,7517000.000000,74684000.000000,580000.000000,315000.000000,265000.000000,580000.000000,7283000.000000,,21050000.000000,161084000.000000,,5358000.000000,263685000.000000,,781000.000000,,5936000.000000,275760000.000000,436844000.000000,,,97387000.000000,10597000.000000,,64668000.000000,306000.000000,64974000.000000,,136000.000000,1316000.000000,1452000.000000,912000.000000,,2450000.000000,,2450000.000000,3226000.000000,7135000.000000,,,6641000.000000,97387000.000000,160922000.000000,10797000.000000,,115363000.000000,,,16551000.000000,18211000.000000,160922000.000000,258309000.000000,,33438000.000000,751000.000000,145507000.000000,1475000.000000,144032000.000000,145507000.000000,288000.000000,-1449000.000000,178535000.000000,436844000.000000,1008605000.000000
