Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Karyawan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Total Pembayaran Kas Kepada Pemasok Dan Karyawan,Pencairan Aset Keuangan Lainnya,Penerimaan Bunga,Pembayaran Bunga Dan Beban Keuangan,Penerimaan (Pembayaran) Pajak Penghasilan,Penempatan Aset Keuangan Lainnya,Pembayaran Penalti Pajak Dan Lainnya,Penerimaan Restitusi Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Piutang (Pinjaman)Dari Pengendalian Bersama Entitas Dan Asosiasi,Penerimaan Dividen Dari Pengendalian Bersama Entitas,Penerimaan Bunga,Penempatan Aset Keuangan Lainnya,Penempatan Rekening Bank Dibatasi Penggunaannya,Pencairan Aset Keuangan Lainnya,Perolehan Aset Tetap,Hasil Penjualan Investasi Pada Pengendalian Bersama Entitas,Penempatan Investasi Entitas Asosiasi,Hasil Penjualan Investasi Pada Entitas Anak,Hasil Penjualan Aset Tetap,Penambahan Aset Tidak Berwujud,Pembayaran Aset Eksplorasi Dan Evaluasi Dan Properti Pertambangan,Pemberian Pinjaman Jangka Panjang Pihak Ketiga,Pencairan (Penempatan) Deposito Berjangka,Akuisisi Entitas Anak,Hasil Penjualan Efek,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Transaksi Jual Dan Sewa-Balik,Penerimaan Pinjaman Jangka Panjang Dari Pihak Ketiga,Pembayaran Pinjaman Jangka Panjang Dari Pihak Ketiga,Penerimaan Pinjaman Jangka Panjang Dari Pihak Berelasi,Pembayaran Pinjaman Jangka Panjang Dari Pihak Berelasi,Penerimaan Dari Utang Obligasi,Penerimaan Dari Utang Sukuk Ijarah,Penerimaan Dari Penjualan Saham Treasury,Penerimaan Dari Utang Bank,Pembayaran Liabilitas Sewa,Pembayaran Dividen,Pembayaran Dividen Entitas Anak,Penempatan Rekening Bank Yang Dibatasi Penggunaannya,Pembelian Kembali Saham,Pembayaran Liabilitas Sewa Pembiayaan,Pembayaran Liabilitas Sewa Pembiayaan - Psak 73,Pembayaran Biaya Transaksi,Pembayaran Utang Bank,Pembayaran Bunga,Pembayaran Pinjaman,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,4490000.000000,180297000.000000,-169030000.000000,,,-169030000.000000,,,-1947000.000000,-4830000.000000,,,,4490000.000000,-9948000.000000,-798000.000000,,957000.000000,,,,-16055000.000000,,,,4527000.000000,,,,,,1421000.000000,-9948000.000000,-7056000.000000,,,,,,,,,2504000.000000,,,,,,-9560000.000000,,,,,,-7056000.000000,-12514000.000000,21582000.000000,,9068000.000000
12M 2009,38269000.000000,189457000.000000,-142199000.000000,,,-142199000.000000,,,-4071000.000000,-4918000.000000,,,,38269000.000000,-11932000.000000,-5505000.000000,,113000.000000,,,,-6540000.000000,,,,,,,,,,,-11932000.000000,-11777000.000000,,,,,,,,,2996000.000000,,,,,,-14773000.000000,,,,,,-11777000.000000,14560000.000000,9068000.000000,,23628000.000000
12M 2010,63465000.000000,184886000.000000,-118823000.000000,,,-118823000.000000,,,-3050000.000000,452000.000000,,,,63465000.000000,-45547000.000000,9383000.000000,5000000.000000,334000.000000,,,,-60264000.000000,,,,,,,,,,,-45547000.000000,-22103000.000000,,,,,,,,,,,-1590000.000000,,,,-20513000.000000,,,,,,-22103000.000000,-4185000.000000,23628000.000000,,19443000.000000
12M 2011,84291000.000000,252791000.000000,-153405000.000000,,,-153405000.000000,,,-4939000.000000,-13169000.000000,,,3013000.000000,84291000.000000,-104841000.000000,485000.000000,5050000.000000,222000.000000,,,,-110598000.000000,,,,,,,,,,,-104841000.000000,23694000.000000,,,,55000000.000000,,,,,7000000.000000,,-13978000.000000,,,,-24328000.000000,,,,,,23694000.000000,3144000.000000,19443000.000000,,22587000.000000
12M 2012,53575000.000000,362104000.000000,-277869000.000000,,,-277869000.000000,,,-12880000.000000,-17894000.000000,,,114000.000000,53575000.000000,-102809000.000000,187000.000000,122000.000000,139000.000000,,,,-106257000.000000,,,,3000000.000000,,,,,,,-102809000.000000,71621000.000000,81000000.000000,,,55000000.000000,,,,,,,-20938000.000000,,,,-43441000.000000,,,,,,71621000.000000,22387000.000000,22587000.000000,,44974000.000000
12M 2013,91250000.000000,358758000.000000,-238663000.000000,,,-238663000.000000,,,-23392000.000000,-10333000.000000,,,4880000.000000,91250000.000000,-23832000.000000,,408000.000000,1441000.000000,,,,-26410000.000000,,,,729000.000000,,,,,,,-23832000.000000,-55267000.000000,8082000.000000,,,115363000.000000,-115363000.000000,,,,,,-6975000.000000,,,,-56374000.000000,,,,,,-55267000.000000,12151000.000000,44974000.000000,,57125000.000000
12M 2014,90903000.000000,366723000.000000,,-198044000.000000,-53453000.000000,-251497000.000000,,1553000.000000,-11938000.000000,-15318000.000000,,-1936000.000000,3316000.000000,90903000.000000,-38677000.000000,,,,,,,-38928000.000000,,,,27000.000000,-1420000.000000,,,,,1644000.000000,-38677000.000000,-43981000.000000,,,,,,,,,10246000.000000,,-6650000.000000,,,,-47577000.000000,,,,,,-43981000.000000,8245000.000000,57125000.000000,,65370000.000000
12M 2015,45987000.000000,225496000.000000,,-121554000.000000,-39853000.000000,-161407000.000000,,1258000.000000,-11353000.000000,-12184000.000000,,-541000.000000,4718000.000000,45987000.000000,-41057000.000000,,,,,,,-39863000.000000,,,,59000.000000,-259000.000000,,,,-994000.000000,,-41057000.000000,-16726000.000000,7128000.000000,,,,,,,,51997000.000000,,-1696000.000000,,,,-31418000.000000,,,,,-42737000.000000,-16726000.000000,-11796000.000000,65370000.000000,,53574000.000000
12M 2016,53777000.000000,206483000.000000,,-105383000.000000,-42584000.000000,-147967000.000000,,657000.000000,-8271000.000000,-4861000.000000,,,7736000.000000,53777000.000000,-12663000.000000,,,,,,,-12718000.000000,,,,55000.000000,,,,,,,-12663000.000000,-28263000.000000,7678000.000000,,,,,,,,155475000.000000,,,,,,-20172000.000000,,,,,-171244000.000000,-28263000.000000,12851000.000000,53574000.000000,,66425000.000000
12M 2017,52203000.000000,245821000.000000,,-137323000.000000,-46516000.000000,-183839000.000000,,627000.000000,-9164000.000000,-1944000.000000,,-8027000.000000,8729000.000000,52203000.000000,-49299000.000000,,,,,,,-49648000.000000,,,,433000.000000,-84000.000000,,,,,,-49299000.000000,-11842000.000000,1915000.000000,,,,,,,,60948000.000000,,,,,,-8087000.000000,,,,,-66618000.000000,-11842000.000000,-8938000.000000,66425000.000000,,57487000.000000
12M 2018,75497000.000000,408335000.000000,,-204961000.000000,-115604000.000000,-320565000.000000,,497000.000000,-11727000.000000,-3140000.000000,,-111000.000000,2208000.000000,75497000.000000,-114844000.000000,,1331000.000000,,,,,-112057000.000000,5967000.000000,,,,-1523000.000000,,,,-8562000.000000,,-114844000.000000,42286000.000000,,77793000.000000,-2107000.000000,,,,,,74608000.000000,,-12533000.000000,,,,-9803000.000000,,-467000.000000,,,-85205000.000000,42286000.000000,2939000.000000,65228000.000000,,68167000.000000
12M 2019,92000000.000000,504245000.000000,,-250396000.000000,-147644000.000000,-398040000.000000,,1177000.000000,-11662000.000000,,,-12941000.000000,9221000.000000,92000000.000000,-66333000.000000,,,,,,2790000.000000,-58343000.000000,,,,1559000.000000,-12339000.000000,,,,,,-66333000.000000,-10852000.000000,30895000.000000,93124000.000000,-41911000.000000,,-75000000.000000,,,,20000000.000000,,-8675000.000000,-99000.000000,,,-9186000.000000,,,,,-20000000.000000,-10852000.000000,14815000.000000,68167000.000000,1200000.000000,84182000.000000
12M 2020,107463000.000000,358413000.000000,,-132805000.000000,-107640000.000000,-240445000.000000,,2251000.000000,-8724000.000000,,,-15092000.000000,11060000.000000,107463000.000000,-31291000.000000,,,,,,,-29993000.000000,,,5512000.000000,1301000.000000,-8111000.000000,,,,,,-31291000.000000,-25772000.000000,13052000.000000,55007000.000000,-44297000.000000,,-41534000.000000,,,,104000000.000000,-18842000.000000,-6996000.000000,-129000.000000,,-2033000.000000,,,,,,-84000000.000000,-25772000.000000,50400000.000000,84182000.000000,-637000.000000,133945000.000000
12M 2021,109637000.000000,401340000.000000,,-169145000.000000,-112906000.000000,-282051000.000000,,2237000.000000,-5084000.000000,,,-6805000.000000,,109637000.000000,-77559000.000000,,,,-23937000.000000,,,-42045000.000000,,,,26000.000000,-11603000.000000,,,,,,-77559000.000000,-76890000.000000,,8757000.000000,-43158000.000000,,,,,,,-14383000.000000,-7880000.000000,-226000.000000,,,,,,,,-20000000.000000,-76890000.000000,-44812000.000000,133945000.000000,192000.000000,89325000.000000
12M 2022,97247000.000000,453901000.000000,,-203396000.000000,-132112000.000000,-335508000.000000,,1017000.000000,-6564000.000000,-18725000.000000,,,3126000.000000,97247000.000000,-90527000.000000,,,,24000000.000000,,,-54496000.000000,,-574000.000000,,632000.000000,-5120000.000000,,-54969000.000000,,,,-90527000.000000,-32909000.000000,,,-58879000.000000,,,,,,107000000.000000,-18839000.000000,,-191000.000000,,,,,,,,-62000000.000000,-32909000.000000,-26189000.000000,89325000.000000,-1376000.000000,61760000.000000
12M 2023,107766000.000000,562342000.000000,,-285839000.000000,-142691000.000000,-428530000.000000,,1070000.000000,-18856000.000000,-15279000.000000,,,7019000.000000,107766000.000000,-156979000.000000,,,,,,,,,-2316000.000000,,1943000.000000,-3954000.000000,,-62110000.000000,,-90542000.000000,,-156979000.000000,59088000.000000,8693000.000000,174324000.000000,-28714000.000000,,,,,,81509000.000000,-8853000.000000,-75359000.000000,-175000.000000,-2828000.000000,,,,,-89509000.000000,,,59088000.000000,9875000.000000,61760000.000000,1352000.000000,72987000.000000
12M 2024,27936000.000000,706478000.000000,,-487540000.000000,-146318000.000000,-633858000.000000,,1015000.000000,-25903000.000000,-19796000.000000,,,,27936000.000000,-129465000.000000,,,,-2680000.000000,-3696000.000000,,,,,,89000.000000,-1418000.000000,-4126000.000000,-117634000.000000,,,,-129465000.000000,146154000.000000,4337000.000000,254603000.000000,-192384000.000000,,,61564000.000000,30790000.000000,8475000.000000,59000000.000000,-10002000.000000,-3099000.000000,-219000.000000,-4911000.000000,,,,,-62000000.000000,,,146154000.000000,44625000.000000,72987000.000000,-2691000.000000,114921000.000000
