Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Beban Penjualan,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2021,2318022575855.0,-1578338347669.0,739684228186.0,-226879746702.0,-132774083482.0,-104057368643.0,9951705423.0,-226879746702.0,512804481484.0,-1903783373.0,4144972203.0,-5219761135.0,-828994441.0,-1903783373.0,510900698111.0,-119822174507.0,391078523604.0,1096409340.0,1096409340.0,1096409340.0,392174932944.0,391078523604.0,391057610898.0,20912706.0,391078523604.0,392174932944.0,392154020238.0,20912706.0,392174932944.0
12M 2022,2873062753230.0,-2120054619260.0,753008133970.0,-225305908246.0,-132290534028.0,-113079930732.0,20064556514.0,-225305908246.0,527702225724.0,-6600159606.0,3514506035.0,-9411764434.0,-702901207.0,-6600159606.0,521102066118.0,-116767104375.0,404334961743.0,11118754920.0,11118754920.0,11118754920.0,415453716663.0,404334961743.0,404319339430.0,15622313.0,404334961743.0,415453716663.0,415438094350.0,15622313.0,415453716663.0
12M 2023,3134978416726.0,-2202728389509.0,932250027217.0,-222318609671.0,-154167111071.0,-120779967986.0,52628469386.0,-222318609671.0,709931417546.0,3401489467.0,12570629874.0,-6655014432.0,-2514125975.0,3401489467.0,713332907013.0,-153575957008.0,559756950005.0,3206973900.0,3206973900.0,3206973900.0,562963923905.0,559756950005.0,559740335234.0,16614771.0,559756950005.0,562963923905.0,562947309134.0,16614771.0,562963923905.0
