Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Lain-Lain,Pembayaran Untuk Beban Usaha,Pembayaran Kas Kepada Karyawan,Penerimaan Dari Pendapatan Bunga,Pengembalian Pajak Penghasilan,Pembayaran Untuk Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Dari Hasil Penjualan Aset Tetap,Pembayaran Uang Muka Pembelian Aset Tetap,Penambahan Aset Lancar Lainnya,Perolehan Aset Tetap,Perolehan Aset Tak Berwujud,Penurunan Aset Keuangan Lancar Lainnya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Liabilitas Sewa,Pembayaran Beban Bunga Dan Beban Keuangan,Pembayaran Utang Bank,Pembayaran Dividen,Penerbitan Saham Baru,Penerimaan Dari Utang Bank,Penerimaan Atas Tambahan Setoran Modal,Pembayaran Atas Pengembalian Uang Muka Setoran Modal,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Tahun,Kas Dan Setara Kas Akhir Periode
12M 2021,465867061945.000000,2467203928641.000000,-1124582136212.000000,-684312596021.000000,-87817182768.000000,3315977762.000000,,-107940929457.000000,465867061945.000000,-309709785220.000000,385251421.000000,-147892000896.000000,,-166203035745.000000,,4000000000.000000,-309709785220.000000,-8970683339.000000,-686237666.000000,-5029327080.000000,-55523663836.000000,-60000000000.000000,,115019440243.000000,,-2750895000.000000,-8970683339.000000,147186593386.000000,243053894223.000000,390240487609.000000
12M 2022,405023213271.000000,2834919177432.000000,-1674241487598.000000,-530299822524.000000,-50628261082.000000,2811604828.000000,,-177537997785.000000,405023213271.000000,-396608595625.000000,103657844.000000,-65981145850.000000,,-330185916219.000000,-545191400.000000,,-396608595625.000000,-108198129506.000000,-508424126.000000,-8571113676.000000,-34118591704.000000,-65000000000.000000,,,,,-108198129506.000000,-99783511860.000000,390240487609.000000,290456975749.000000
12M 2023,575890375979.000000,3164319665024.000000,-1775759783881.000000,-590310793087.000000,-102336346203.000000,10056503899.000000,,-130078869773.000000,575890375979.000000,-316108210116.000000,392342345.000000,-147936963655.000000,,-168563588806.000000,,,-316108210116.000000,231372857503.000000,-477237212.000000,-6257692776.000000,-37293662509.000000,-125000000000.000000,400401450000.000000,,,,231372857503.000000,491155023366.000000,290456975749.000000,781611999115.000000
