Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2021,,,390240487609.000000,206446443771.000000,,206446443771.000000,206446443771.000000,140388517.000000,,140388517.000000,140388517.000000,271314525197.000000,4361260859.000000,872503105953.000000,,2042635594.000000,592350855640.000000,149404339952.000000,743797831186.000000,1616300937139.000000,,,541198288991.000000,,,257744390392.000000,257744390392.000000,,,28197886054.000000,28197886054.000000,65111393270.000000,121112468197.000000,69032151078.000000,541198288991.000000,161355935042.000000,,111446355210.000000,85681832.000000,,111532037042.000000,,49823898000.000000,161355935042.000000,702554224033.000000,,14006250000.000000,36828650000.000000,862791595462.000000,,862791595462.000000,862791595462.000000,120217644.000000,913746713106.000000,1616300937139.000000,1000.000000
12M 2022,,,290456975749.000000,246819772850.000000,,246819772850.000000,246819772850.000000,7375632641.000000,,7375632641.000000,7375632641.000000,440138394478.000000,14548601364.000000,999339377082.000000,,4631341711.000000,956018566574.000000,103150358622.000000,1063800266907.000000,2063139643989.000000,,,672291259440.000000,,,400363275748.000000,400363275748.000000,,,30187412338.000000,30187412338.000000,10091580694.000000,146213864238.000000,85435126422.000000,672291259440.000000,126647954780.000000,,76933158780.000000,,,76933158780.000000,,49714796000.000000,126647954780.000000,798939214220.000000,,14006250000.000000,36828650000.000000,1213229689812.000000,,1213229689812.000000,1213229689812.000000,135839957.000000,1264200429769.000000,2063139643989.000000,1000.000000
12M 2023,,,781611999115.000000,214708540352.000000,,214708540352.000000,214708540352.000000,2024515847.000000,,2024515847.000000,2024515847.000000,372558438936.000000,3007902200.000000,1373911396450.000000,,2901542903.000000,1085116258797.000000,175150766179.000000,1263168567879.000000,2637079964329.000000,,,461971371977.000000,,,193004575260.000000,193004575260.000000,,,38653134315.000000,38653134315.000000,34525867188.000000,116603074044.000000,79184721170.000000,461971371977.000000,72542788678.000000,,31556176343.000000,270797335.000000,,31826973678.000000,,40715815000.000000,72542788678.000000,534514160655.000000,,414407700000.000000,36828650000.000000,1651176998946.000000,2801250000.000000,1648375748946.000000,1651176998946.000000,152454728.000000,2102565803674.000000,2637079964329.000000,414407700.000000
12M 2024,,,579329966321.000000,353017949525.000000,,353017949525.000000,353017949525.000000,885514931.000000,,885514931.000000,885514931.000000,316601631915.000000,95107421734.000000,1344942484426.000000,,,1317323240566.000000,11081502568.000000,1328404743134.000000,2673347227560.000000,,,383164253373.000000,,,200603219076.000000,200603219076.000000,,,31132769143.000000,31132769143.000000,19597682061.000000,113727897026.000000,18102686067.000000,383164253373.000000,45244732666.000000,,,,430582769.000000,430582769.000000,6432091610.000000,38382058287.000000,45244732666.000000,428408986039.000000,,414407700000.000000,36828650000.000000,1793534014237.000000,82881540000.000000,1710652474237.000000,1793534014237.000000,167877284.000000,2244938241521.000000,2673347227560.000000,8288154000.000000
